1 w21_4952_lopenr_person 0 0 NA NA NA NA NA NA NA NA
2 REGDATO 0 0 197409 202009 201259.01 201309 356857.38 597.38 -0.39 -0.98
3 KODE 0 0 0 2 1.93 2 0.1 0.32 -4.82 23.53
4 TILGDATO 0 0 197011 202009 200351.18 200509 712456.94 844.07 -1.3 2.37
5 AVGDATO 9572210 98.25 197409 201909 201289.99 201409 227962.07 477.45 -0.82 0.28
6 TOMDATO 9200424 94.44 197409 201909 201321.72 201409 209994.84 458.25 -0.82 0.29
7 REGTOM 2160834 22.18 197409 202009 201360.64 201409 303014.87 550.47 -0.5 -0.87
8 KOMMNR 0 0 0 9999 1404.33 1103 1712605.62 1308.67 1.51 1.54
9 KOMMNRDATO 0 0 197011 202009 200923.07 201109 647988.37 804.98 -0.71 1.1
10 STATBORG 486 0 0 990 28.37 0 10491.65 102.43 4.6 23.51
11 STATBORGDATO 486 0 198609 202009 200408.12 200509 562015.08 749.68 -0.62 -0.08
12 BU 0 0 99901 899999 412054.84 401112 42366477237 205831.19 0.29 -1.41
13 BUDATO 0 0 197011 202009 201023.83 201009 335237.67 579 -0.13 -0.95
14 BU_KLTRINN 76131 0.78 0 22 12.08 13 15.18 3.9 -1.05 2.52
15 BU_KLTRINNDATO 76131 0.78 197011 202009 200989.92 201009 381035.1 617.28 -0.46 0.4
16 BU_REGDATO 0 0 199910 202009 200985.24 201006 335552.33 579.27 -0.02 -1.15
17 MRK_BU_GRSKOLE 9557431 98.1 1 1 1 1 0 0 NaN NaN
18 lopenr_kurs 0 0 NA NA NA NA NA NA NA NA
