1 w21_4952_lopenr_person 0 0 NA NA NA NA NA NA NA NA
2 lopenr_orgnr 0 0 NA NA NA NA NA NA NA NA
3 lopenr_orgnrbed 0 0 NA NA NA NA NA NA NA NA
4 w21_4952_lnr_inr 0 0 NA NA NA NA NA NA NA NA
5 REGDATO 0 0 199910 202009 201027.4 201010 342052.48 584.85 -0.06 -1.13
6 KODE 0 0 0 2 0.67 1 0.45 0.67 0.49 -0.77
7 TILGDATO 0 0 197409 202009 200991.89 201008 341932.67 584.75 -0.07 -1.09
8 AVGDATO 25194549 55.92 199910 202009 201036.15 201012 349506.51 591.19 -0.08 -1.16
9 TOMDATO 844694 1.87 199910 202009 201046.67 201105 333299.13 577.32 -0.07 -1.12
10 GYLDIG_TV_FOM 0 0 197409 209912 205801.35 209912 20061384.73 4478.99 -0.19 -1.93
11 NUS2000 0 0 99901 999999 543275.56 624104 28659267882.04 169290.48 -0.59 -0.98
12 RECTYPE 25351483 56.27 1 4 3.06 3 0.06 0.24 3.62 12.46
13 REGTOM 595429 1.32 199910 202009 201039.27 201012 336266.34 579.88 -0.05 -1.13
14 HOVED 0 0 0 9 2.55 3 0.37 0.61 -1.02 0.12
15 UTD 0 0 100 710 314.34 311 12613 112.31 0.47 0.86
16 UTD_DATO 18537070 41.15 198810 202009 200953.97 201006 338067.28 581.44 -0.04 -1.05
17 NUS89 44917385 99.7 310000 896200 656183.05 671101 12392170887.08 111320.13 -0.7 -0.49
18 KLTRINN2000 3318 0.01 0 22 13.47 14 6.43 2.54 -1.65 8.46
19 KLTRINN2000DATO 18537070 41.15 198108 202009 200972.23 201008 340926.24 583.89 -0.03 -1.09
20 HELDEL 362 0 1 2 1.14 1 0.12 0.34 2.13 2.53
21 HELDELDATO 18537070 41.15 198808 202009 200960.78 201006 339503.01 582.67 -0.03 -1.08
22 VOKSEN 42873074 95.16 1 2 1.96 2 0.04 0.2 -4.55 18.71
23 VOKSENDATO 43375636 96.28 197409 200009 199946.42 200006 8551.09 92.47 -2.72 14.78
24 KILDE 0 0 7 62 34.89 40 180.3 13.43 -0.44 -1.37
25 KILDE_DATO 18537070 41.15 199306 202009 200955.98 201006 337156.22 580.65 -0.03 -1.09
26 KILDEBHU 45052656 100 Inf -Inf NaN NA NA NA NaN NaN
27 KODETYPE 15784 0.04 1 2 1.74 2 0.19 0.44 -1.1 -0.79
28 UTFALL 19381764 43.02 1 8 5.73 8 10.1 3.18 -0.7 -1.48
29 UTFALLU 0 0 NA NA NA NA 1.74 1.32 NA NA
30 FULLAND 3432 0.01 0 999 9.49 0 6436.01 80.22 10.34 112.75
31 FULLANDDATO 18537070 41.15 197409 202009 200952.74 201006 338992.55 582.23 -0.03 -1.06
32 GRUNNSKOLEPOENG 37707458 83.7 0 265.6 6.77 0 246.81 15.71 2.01 2.36
33 STUDRETN 32541582 72.23 1 99 53.35 62 403.94 20.1 -0.47 -1.26
34 STUDRETNDATO 18537070 41.15 197409 202009 200952.75 201006 338931.75 582.18 -0.03 -1.06
35 KURSTRIN 0 0 NA NA NA NA 1.57 1.25 NA NA
36 KURSTRINDATO 18537099 41.15 197409 202009 200952.75 201006 338914.71 582.16 -0.03 -1.06
37 KTRINN 32194898 71.46 1 5 2.13 2 0.96 0.98 0.55 0.09
38 KTRINNDATO 18537070 41.15 197409 202009 200952.79 201006 338998.88 582.24 -0.03 -1.06
39 KOMP 40437488 89.76 1 5 1.51 1 0.57 0.75 1.92 4.82
40 KOMPDATO 18558379 41.19 199306 202009 200953.89 201006 337545.44 580.99 -0.03 -1.07
41 TAF 45000799 99.88 1 4 3.39 3 0.42 0.65 -1.24 3.02
42 TAF_DATO 30102370 66.82 200510 202009 201250.64 201208 165021.08 406.23 0.1 -1.11
43 RETT 0 0 NA NA NA NA 0.14 0.38 NA NA
44 MORSMAL 43346978 96.21 1 2 2 2 0 0.07 -15.1 226.03
45 MORSMAL_DATO 25301803 56.16 200010 202009 201022.79 201008 291415.33 539.83 0.01 -1.1
46 SPESUND 43308594 96.13 1 2 1.95 2 0.05 0.22 -4.09 14.73
47 SPESUND_DATO 25301798 56.16 200010 202009 201022.79 201008 291407.64 539.82 0.01 -1.1
48 SPRAKOPP 43331040 96.18 1 2 1.98 2 0.02 0.13 -7.16 49.2
49 SPRAKOPP_DATO 25301803 56.16 200010 202009 201022.79 201008 291413.41 539.83 0.01 -1.1
50 AARTIMER 35235250 78.21 0 13168 896.44 981 121668.56 348.81 -1.02 3.16
51 AARTIMER_DATO 25300938 56.16 200010 202009 201023.15 201008 291621.1 540.02 0.01 -1.1
52 DELPROS 33371223 74.07 0 3.89 0.83 1 0.14 0.37 -1.55 1.02
53 DELPROS_DATO 25287478 56.13 200010 202009 201023.2 201008 291432.12 539.84 0.01 -1.1
