1 aar 0 0 NA NA NA NA NA NA NA NA
2 kommunenavn 0 0 NA NA NA NA NA NA NA NA
3 driftsansvar 0 0 NA NA NA NA NA NA NA NA
4 H 0 0 0 0 0 0 0 0 NaN NaN
5 I 0 0 0 1140473 692.81 202.5 396495987.6 19912.21 57.18 3269.9
6 J 0 0 0 1176390 714.7 202 421863131.59 20539.31 57.18 3269.9
7 K 0 0 0 2316863 1407.52 416 1636290535.23 40451.09 57.18 3270.04
8 L 0 0 0 1217824 738.63 0 452473223.98 21271.42 57.11 3264.57
9 M 0 0 0 3534687 2146.15 805 3807913200.84 61708.29 57.19 3271.17
10 N 0 0 0 248378 150.73 0 18835642.03 4340 57.04 3259.6
11 O 0 0 0 237221 144.45 0 17180305.03 4144.91 57.05 3260.01
12 P 0 0 0 485599 295.18 0 71988966.95 8484.63 57.05 3260.24
13 Q 0 0 0 162160 98.66 0 8055793.81 2838.27 56.76 3237.62
14 R 0 0 0 647759 393.84 0 128049824.98 11315.91 57.08 3262.62
15 S 0 0 0 0 0 0 0 0 NaN NaN
16 T 0 0 0 0 0 0 0 0 NaN NaN
17 U 0 0 0 0 0 0 0 0 NaN NaN
18 V 0 0 0 67602 41.16 0 1404924.3 1185.3 56.47 3215.12
19 W 0 0 0 67602 41.16 0 1404924.3 1185.3 56.47 3215.12
20 X 0 0 0 0 0 0 0 0 NaN NaN
21 Y 0 0 0 0 0 0 0 0 NaN NaN
22 Z 0 0 0 0 0 0 0 0 NaN NaN
23 AA 0 0 0 0 0 0 0 0 NaN NaN
24 AB 0 0 0 0 0 0 0 0 NaN NaN
25 AC 0 0 0 0 0 0 0 0 NaN NaN
26 AD 0 0 0 0 0 0 0 0 NaN NaN
27 AE 0 0 0 0 0 0 0 0 NaN NaN
28 AF 0 0 0 0 0 0 0 0 NaN NaN
29 AG 0 0 0 0 0 0 0 0 NaN NaN
30 AH 0 0 0 0 0 0 0 0 NaN NaN
31 AI 0 0 0 0 0 0 0 0 NaN NaN
32 AJ 0 0 0 0 0 0 0 0 NaN NaN
33 AK 0 0 0 0 0 0 0 0 NaN NaN
34 AL 0 0 0 0 0 0 0 0 NaN NaN
35 AM 0 0 0 0 0 0 0 0 NaN NaN
36 AN 0 0 0 0 0 0 0 0 NaN NaN
37 AO 0 0 0 0 0 0 0 0 NaN NaN
38 AP 0 0 0 0 0 0 0 0 NaN NaN
39 AQ 0 0 0 0 0 0 0 0 NaN NaN
40 AR 0 0 0 153906 93.49 27 7220709.29 2687.14 57.18 3269.9
41 AS 0 0 0 158781 96.46 27 7685390.41 2772.25 57.18 3269.9
42 AT 0 0 0 312687 189.96 56 29804327.08 5459.33 57.18 3270.04
43 AU 0 0 0 185665 112.61 0 10516805.85 3242.96 57.11 3264.57
44 AV 0 0 0 498352 302.57 112 75693865.1 8700.22 57.19 3271.12
45 AW 0 0 0 33520 20.34 0 343053.7 585.71 57.04 3259.6
46 AX 0 0 0 32005 19.49 0 312723.14 559.22 57.05 3260.02
47 AY 0 0 0 65525 39.83 0 1310763.33 1144.89 57.05 3260.24
48 AZ 0 0 0 24735 15.05 0 187430.67 432.93 56.76 3237.68
49 BA 0 0 0 90260 54.88 0 2486256.02 1576.79 57.08 3262.57
50 BB 0 0 0 0 0 0 0 0 NaN NaN
51 BC 0 0 0 0 0 0 0 0 NaN NaN
52 BD 0 0 0 0 0 0 0 0 NaN NaN
53 BE 0 0 0 10326 6.29 0 32778.09 181.05 56.47 3215.34
54 BF 0 0 0 10326 6.29 0 32778.09 181.05 56.47 3215.34
55 BG 0 0 0 0 0 0 0 0 NaN NaN
56 BH 0 0 0 0 0 0 0 0 NaN NaN
57 BI 0 0 0 0 0 0 0 0 NaN NaN
58 BJ 0 0 0 0 0 0 0 0 NaN NaN
59 BK 0 0 0 0 0 0 0 0 NaN NaN
60 BL 0 0 0 0 0 0 0 0 NaN NaN
61 BM 0 0 0 0 0 0 0 0 NaN NaN
62 BN 0 0 0 0 0 0 0 0 NaN NaN
63 BO 0 0 0 0 0 0 0 0 NaN NaN
64 BP 0 0 0 0 0 0 0 0 NaN NaN
65 BQ 0 0 0 0 0 0 0 0 NaN NaN
66 BR 0 0 0 0 0 0 0 0 NaN NaN
67 BS 0 0 0 0 0 0 0 0 NaN NaN
68 BT 0 0 0 0 0 0 0 0 NaN NaN
69 BU 0 0 0 0 0 0 0 0 NaN NaN
70 BV 0 0 0 0 0 0 0 0 NaN NaN
71 BW 0 0 0 0 0 0 0 0 NaN NaN
72 BX 0 0 0 0 0 0 0 0 NaN NaN
73 BY 0 0 0 0 0 0 0 0 NaN NaN
74 BZ 0 0 0 0 0 0 0 0 NaN NaN
75 CA 0 0 0 19335 11.74 4 113959.94 337.58 57.18 3269.98
76 CB 0 0 0 8005 4.86 1 19535.35 139.77 57.17 3269.46
77 CC 0 0 0 27340 16.6 5 227845.66 477.33 57.18 3270.28
78 CD 0 0 0 6368 3.87 0 12367.69 111.21 57.14 3266.67
79 CE 0 0 0 2723 1.66 0 2262.03 47.56 57.11 3264.87
80 CF 0 0 0 9091 5.53 1 25204.85 158.76 57.14 3267
81 CG 0 0 0 2438 1.48 0 1812.7 42.58 57.14 3267.05
82 CH 0 0 0 3685 2.23 0 4140.59 64.35 57.16 3268.14
83 CI 0 0 0 1247 0.76 0 474.4 21.78 57.11 3264.79
84 CJ 0 0 0 10194 6.19 2 31676.23 177.98 57.18 3270.28
85 CK 0 0 0 4133 2.51 1 5207.97 72.17 57.16 3268.87
86 CL 0 0 0 14327 8.7 3 62567.22 250.13 57.18 3270.4
87 CM 0 0 0 19000 11.54 4 110030.66 331.71 57.19 3270.84
88 CN 0 0 0 8103 4.92 2 20014.54 141.47 57.18 3270.13
89 CO 0 0 0 27103 16.46 6 223891.33 473.17 57.19 3270.9
90 CP 0 0 0 0 0 0 0 0 NaN NaN
91 CQ 0 0 0 0 0 0 0 0 NaN NaN
92 CR 0 0 0 0 0 0 0 0 NaN NaN
93 CS 0 0 0 0 0 0 0 0 NaN NaN
94 CT 0 0 0 0 0 0 0 0 NaN NaN
95 CU 0 0 0 0 0 0 0 0 NaN NaN
96 CV 0 0 0 0 0 0 0 0 NaN NaN
97 CW 0 0 0 0 0 0 0 0 NaN NaN
98 CX 0 0 0 0 0 0 0 0 NaN NaN
99 CY 0 0 0 0 0 0 0 0 NaN NaN
100 CZ 0 0 0 0 0 0 0 0 NaN NaN
101 DA 0 0 0 0 0 0 0 0 NaN NaN
102 DB 0 0 0 0 0 0 0 0 NaN NaN
103 DC 0 0 0 0 0 0 0 0 NaN NaN
104 DD 0 0 0 0 0 0 0 0 NaN NaN
105 DE 0 0 0 0 0 0 0 0 NaN NaN
106 DF 0 0 0 0 0 0 0 0 NaN NaN
107 DG 0 0 0 0 0 0 0 0 NaN NaN
108 DH 0 0 0 0 0 0 0 0 NaN NaN
109 DI 0 0 0 0 0 0 0 0 NaN NaN
110 DJ 0 0 0 0 0 0 0 0 NaN NaN
111 DK 0 0 0 0 0 0 0 0 NaN NaN
112 DL 0 0 0 0 0 0 0 0 NaN NaN
113 DM 0 0 0 380381 231.29 74 44101432.81 6640.89 57.19 3270.7
114 DN 0 0 0 81668 49.55 0 2035827.04 1426.82 57.07 3261.36
115 DO 0 0 0 0 0 0 0 0 NaN NaN
116 kommunenr 0 0 0 5061 1319.02 1149 1286651.98 1134.31 2.14 4.75
117 w21_4952_lopenr_orgnr 0 0 NA NA NA NA NA NA NA NA
