1 w21_4952_lopenr_person 0 0 NA NA NA NA NA NA NA NA
2 lopenr_husholdning 0 0 NA NA NA NA NA NA NA NA
3 aargang 0 0 1993 2020 2007.08 2007 65.47 8.09 -0.09 -1.2
4 wyrkinnt 0 0 -2388678856 490316731 187284.77 48038 140967149534.1 375455.92 -1855.91 12254853.85
5 wlonn 0 0 -1094464 185580494 174128.2 27180 74943479329.05 273758.07 18.12 4813.06
6 wnarinnt 0 0 NaN 0 0 0 0 261853.24 -5490.15 51777485.82
7 kapitalinnt 0 0 -1590719863 2186315312 15821.88 260 360478028883.06 600398.23 680.35 2370668.46
8 renteinnt 0 0 -175390 165230409 3751.25 170 1320443432.94 36337.91 1102.26 3688469.89
9 aksjeutbytte 0 0 -365 2182538400 7675.33 0 239812017279.44 489706.05 1335.25 3895168.33
10 realisasjonsgevinst 0 0 -58062 511544721 3604.33 0 41664238576.85 204118.2 793.41 1274735.56
11 realisasjonstap 0 0 -18823 1590769026 1516.55 0 45938309140.98 214332.24 4538.55 28376505.25
12 andrekapitalinnt 0 0 -10702197 989630628 2307.52 0 17944114277.54 133955.64 4924.52 33335590.98
13 woverfor 0 0 -1357692 100696385 59473.98 1270 11487206440.89 107178.39 10.45 6046.14
14 wskpl_overf 0 0 -1357692 100696385 51894.65 0 11183884362.99 105753.89 10.72 6371.01
15 folketrygd 0 0 -1357692 13019778 38650.15 0 6402627690.67 80016.42 2.21 11.7
16 alderspensj_folketr 0 0 -45660 2150000 23292.36 0 4199816337.6 64805.99 3 8.65
17 uforetrygd 0 0 -323000 2260000 9963.52 0 1931540589.78 43949.3 5.08 28.59
18 aap 0 0 0 2558410 2718.68 0 594733257.47 24387.15 10.38 123.45
19 tjenestepensjon_afp 0 0 -164983 100650068 10312.3 0 1958218712.69 44251.77 115.53 207011.53
20 arbledtrygd 0 0 -32041 638595 2054.22 0 232922017.37 15261.78 10.93 147.89
21 sykepenger 71 0 -457543 8282600 4016.09 0 619392018.41 24887.59 9.64 204.99
22 foreldrepenger 0 0 -446770 872767 1762.83 0 323038133.11 17973.26 13.16 202.38
23 wskfrie_overf 0 0 -733519 8296566 7579.33 0 439149081.07 20955.88 26.15 4486.38
24 barnetrygd 0 0 -339380 419840 2929.38 0 71963461.31 8483.13 3.29 12.95
25 bostotte 0 0 -27206 4e+05 455.68 0 12261532.48 3501.65 9.94 125.86
26 studiestipend 0 0 -320824 480835.18 1308.86 0 44640276.83 6681.34 8.04 96.13
27 forsorgerfradrag 26639623 19.83 0 36400 146.19 0 379350.88 615.91 5.81 47.96
28 sos_stonad 0 0 0 2232948 1000 0 92875121 9637.17 15.6 421.2
29 grunn_hjelp 0 0 -91608 334983 603.96 0 15696388.61 3961.87 10.82 175.47
30 kontantstotte 0 0 -105000 247500 326.77 0 11068201.14 3326.89 12.83 203.84
31 saminnt 0 0 -2384227473 2182382692 262587.56 203601 518251635457.13 719896.96 148.51 2069941.61
32 skatt_negoverf 0 0 -819493 318772916 66463.69 34229 35063033532.39 187251.26 302.36 269358.54
33 fastsatt_skatt 0 0 -819000 318773000 64714.86 33000 34746125489.22 186403.13 305.94 273819.63
34 ies 0 0 -2384227473 2144661279 196123.87 165859 379126471057.46 615732.47 83.27 3619867.77
35 renteutgift 0 0 -59100 223436269 16148.81 34 3390908034.86 58231.5 1230.31 3957753.82
36 yrkinnt 0 0 -2388678856 490316731 127279.96 0 130238839210.74 360886.19 -2101.66 14349332.26
37 lonn 77 0 -7466333 185580494 119181.72 0 69829707362.24 264253.11 19.87 5463.39
38 narinnt 0 0 NaN 0 0 0 0 246732.88 -6599.76 65655754.6
39 overfor 0 0 -1357692 100696385 48560.34 0 11721829528.15 108267.4 10.42 5808.64
40 skpl_overf 0 0 -1357692 100696385 43952.95 0 11183930913.92 105754.11 10.93 6372.3
41 tjenpen 0 0 -473274 100650068 6462.77 0 1378530922.28 37128.57 191.65 417632.08
42 bankinnskudd 0 0 -2155400 975635246 140993.85 17540 345163432286.24 587506.11 253.72 246257.36
