1 w21_4952_lopenr_person 0 0 NA NA NA NA NA NA NA NA
2 lopenr_virksomhet 3937369 100 Inf -Inf NaN NA NA NA NaN NaN
3 lopenr_foretak 3937369 100 Inf -Inf NaN NA NA NA NaN NaN
4 ARB_ARBKOMM 1366849 34.71 0 2599 900.73 821 346006.28 588.22 0.34 -1.14
5 ARB_ARBMARK_STATUS 0 0 0 4 0.73 1 0.37 0.61 0.71 2.3
6 ARB_TYPE 0 0 NA NA NA NA NA NA NA NA
7 VIRK_NACE1_SN07 1402350 35.62 0 99000 61676.45 66030 529763039.67 23016.58 -0.8 -0.12
8 PERS_TILTAK 3797986 96.46 0 7 4.21 6 9.56 3.09 -0.48 -1.61
9 ARB_YRKE 0 0 NA 9999999 NA 21520 6612612915592.33 2571500.13 NA NA
10 karbtim 25709 0.65 1 3 1.15 1 0.22 0.46 3.21 9.2
11 FRTK_ORG_FORM 0 0 NA NA NA NA NA NA NA NA
12 sektor 1381264 35.08 110 900 619.75 710 36624.53 191.38 -1.85 2.31
13 yrke_imp 1701218 43.21 0 9999 4693.42 5122 4914101.63 2216.78 0.36 -0.71
14 kyrke_imp 0 0 NA NA NA NA NA NA NA NA
15 pers_spgrad 3829329 97.26 0 100 83.66 100 650.87 25.51 -1.13 -0.3
16 ARB_ARBEIDSTID 1375468 34.93 1 60 31.8 37.5 106.55 10.32 -1.05 0.09
17 PERS_PERSONTYPE 0 0 0 10 9.86 10 1.34 1.16 -8.42 68.86
