1 w21_4952_lopenr_person 0 0 NA NA NA NA NA NA NA NA
2 lopenr_virksomhet 4291758 100 Inf -Inf NaN NA NA NA NaN NaN
3 lopenr_foretak 4291758 100 Inf -Inf NaN NA NA NA NaN NaN
4 ARB_ARBKOMM 1601189 37.31 101 2699 900.94 829 346691.96 588.81 0.34 -1.13
5 ARB_ARBMARK_STATUS 0 0 0 3 0.7 1 0.36 0.6 0.61 1.33
6 ARB_TYPE 0 0 NA NA NA NA NA NA NA NA
7 ARB_YRKE 1933819 45.06 0 9999999 4295093.06 4114105 6122113619870.24 2474290.53 0.23 -0.69
8 VIRK_NACE1_SN07 1614583 37.62 0 99000 61751.65 64190 646981181.02 25435.82 -0.61 -0.61
9 PERS_TILTAK 4019427 93.65 0 7 4.62 6 7.65 2.77 -0.97 -0.93
10 karbtim 33872 0.79 1 3 1.12 1 0.18 0.42 3.73 12.94
11 FRTK_ORG_FORM 0 0 NA NA NA NA NA NA NA NA
12 FRTK_SEKTOR_2014 1603083 37.35 1110 9000 3951.1 2100 5511551.51 2347.67 0.49 -1.5
13 pers_spgrad 4174278 97.26 0 100 79.15 100 733.91 27.09 -0.77 -0.96
14 ARB_ARBEIDSTID 1600898 37.3 0 70.38 31.97 37.5 105.33 10.26 -1.11 0.41
15 PERS_PERSONTYPE 0 0 0 10 9.86 10 1.41 1.19 -8.19 65.13
