1 aar 0 0 NA NA NA NA NA NA NA NA
2 kommunenavn 0 0 NA NA NA NA NA NA NA NA
3 driftsansvar 0 0 NA NA NA NA NA NA NA NA
4 h 0 0 NA NA NA NA NA NA NA NA
5 i 0 0 0 32 0.02 0 0.34 0.58 53.46 2944.87
6 j 0 0 0 243 0.15 0 18.92 4.35 55.28 3083.32
7 k 0 0 0 105 0.07 0 3.67 1.92 52.36 2856.81
8 l 0 0 0 664 0.42 0 141.31 11.89 55.24 3080.44
9 m 0 0 NA NA NA NA NA NA NA NA
10 n 0 0 0 3758 2.39 0 4485.82 66.98 55.99 3136.54
11 o 0 0 0 6455 4.1 1 13230.34 115.02 56.02 3138.71
12 p 0 0 0 335 0.21 0 35.91 5.99 55.38 3090.19
13 q 0 0 0 4394 2.79 0 6131.62 78.3 56 3137.61
14 r 0 0 0 129 0.08 0 5.46 2.34 53.43 2940.13
15 s 0 0 0 15071 9.57 4 72105.75 268.53 56.04 3140.06
16 t 0 0 0 29004 18.42 2 267243.34 516.96 55.98 3135.64
17 u 0 0 0 46131 29.3 7 675730.62 822.03 56.02 3138.58
18 v 0 0 0 5045 3.2 0 8128.84 90.16 55.54 3102.38
19 w 0 0 0 10867 6.9 1 37516.41 193.69 55.98 3135.48
20 x 0 0 0 4124 2.62 0 5438.13 73.74 55.44 3095.14
21 y 0 0 0 95171 60.45 20 2875641.38 1695.77 56.03 3139.48
22 z 0 0 0 1384 0.88 0 610.84 24.72 55.66 3111.64
23 aa 0 0 0 2198 1.4 0 1539.21 39.23 55.74 3117.62
24 ab 0 0 0 1558 0.99 0 778.69 27.9 55.17 3074.99
25 ac 0 0 0 5140 3.26 0 8412.29 91.72 55.79 3121.26
26 ad 0 0 0 1954 1.24 0 1223.64 34.98 55.25 3081.02
27 ae 0 0 0 1237 0.79 0 489.84 22.13 55.35 3088.01
28 af 0 0 0 343 0.22 0 38.22 6.18 54.19 2999.2
29 ag 0 0 0 3534 2.24 0 3992.86 63.19 55.45 3096
30 kommunenr 0 0 0 5444 3283.12 3413 2202825.35 1484.19 -0.39 -0.93
31 w21_4952_lopenr_orgnr 0 0 NA NA NA NA NA NA NA NA
