1 alder1 780 0.09 17 98 26.7 24 61.22 7.82 1.91 3.62
2 alder 780 0.09 -1 95 23.67 21 76.77 8.76 0.78 3.66
3 ansattnr 0 0 NA NA NA NA 0.28 0.53 NA NA
4 antall_bestatt 899 0.11 0 6 0.85 1 0.17 0.42 -0.86 2.12
5 antall_tellende 899 0.11 0 14 1.11 1 0.24 0.49 4.27 40.92
6 arstall1 780 0.09 -1 2011 1994.18 2010 31583.71 177.72 -11.14 122.05
7 arstall 481 0.06 1 2010 2009.31 2010 1375.27 37.08 -53.45 2855.67
8 arstall_nsdrapportert 7208 0.84 3 2011 2009.31 2010 1386.01 37.23 -53.24 2833.07
9 artermin1 0 0 NA NA NA NA NA NA NA NA
10 artermin 0 0 NA NA NA NA NA NA NA NA
11 campuskode1 0 0 NA NA NA NA NA NA NA NA
12 campuskode 0 0 NA NA NA NA NA NA NA NA
13 campusnavn 0 0 NA NA NA NA NA NA NA NA
14 dsp_id 780 0.09 -1 1475255 753994.75 1365540 496973264721.69 704963.31 -0.13 -1.98
15 emnekode 0 0 NA NA NA NA 15044590.36 3878.74 NA NA
16 emnenavn_bokmal 0 0 NA NA NA NA NA NA NA NA
17 emnetypekode 0 0 NA NA NA NA 0 0 NA NA
18 emne 0 0 NA NA NA NA 71.37 8.45 NA NA
19 erasmusnivakode1 0 0 NA NA NA NA NA NA NA NA
20 erasmusnivakode 0 0 NA NA NA NA NA NA NA NA
21 fagkode 0 0 NA NA NA NA 6.73 2.59 NA NA
22 fagnavn_norsk 0 0 NA NA NA NA NA NA NA NA
23 fag 0 0 NA NA NA NA 150.43 12.26 NA NA
24 faknr1 780 0.09 0 222 34.51 30 563.28 23.73 0.39 -0.52
25 faknr 1079 0.13 -1 95 34.46 30 577.39 24.03 0.24 -1.45
26 fakultet1 0 0 NA NA NA NA NA NA NA NA
27 fakultet 0 0 NA NA NA NA 0 0 NA NA
28 fak_akronym1 0 0 NA NA NA NA 1419.02 37.67 NA NA
29 fak_akronym 0 0 NA NA NA NA 1473.76 38.39 NA NA
30 fak_navn1 0 0 NA NA NA NA NA NA NA NA
31 fak_navn 0 0 NA NA NA NA NA NA NA NA
32 finansiering 0 0 NA NA NA NA NA NA NA NA
33 finanskatkode 0 0 NA NA NA NA 2.57 1.6 NA NA
34 finanstypekode 178684 20.89 1 99 1.65 1 30.99 5.57 16.53 285.39
35 fodselsar 821 0.1 0.9 1993 1982.72 1986 1177.45 34.31 -53.12 2972.91
36 fylkesnavn 0 0 NA NA NA NA 3.35 1.83 NA NA
37 fylkesnavn_hjemsted 0 0 NA NA NA NA 1.28 1.13 NA NA
38 gsk_beregnet 0 0 NA NA NA NA NA NA NA NA
39 institusjonsnavn_samarbeid 0 0 NA NA NA NA 0.82 0.91 NA NA
40 institusjonsnr 1079 0.13 6 251 199.42 194 225.32 15.01 0.66 1.29
41 institusjonsnr_eier 780 0.09 4 251 199.36 194 235.37 15.34 0.14 6.32
42 institusjonsnr_samarbeid 0 0 NA NA NA NA 0.05 0.23 NA NA
43 institusjonsnr_undervisning 855364 100 1 1 1 1 0 0 NaN NaN
44 institutt1 0 0 NA NA NA NA 183.57 13.55 NA NA
45 instituttnr1 1079 0.13 0 94 15.17 6 420.94 20.52 1.96 3.62
46 instituttnr 1079 0.13 -1 94 12.06 3 416.93 20.42 2.41 5.47
47 institutt 0 0 NA NA NA NA 183.66 13.55 NA NA
48 int_akronym1 0 0 NA NA NA NA NA NA NA NA
49 int_akronym 0 0 NA NA NA NA NA NA NA NA
50 kandidatlopenr 134716 15.75 1 999997 33267.22 1123 7423597098.49 86160.3 4.18 24.76
51 karakternavn 0 0 NA NA NA NA NA NA NA NA
52 karaktertall 117032 13.68 0 67 57.06 63 351.51 18.75 -2.64 5.04
53 karaktertall_del1 506688 59.24 0 67 16.13 0.8 731.26 27.04 1.2 -0.56
54 karaktertall_del2 721728 84.38 0 715 39.3 62 960.38 30.99 -0.02 4.3
55 karaktertall_del3 808685 94.54 0.8 356 34.71 61 979.45 31.3 -0.14 -1.74
56 karaktertall_dv 298321 34.88 1 5 3.21 3 1.24 1.11 -0.22 -0.59
57 karaktertall_original 0 0 NA NA NA NA NA NA NA NA
58 karregelkode 1079 0.13 1 38 28.11 30 67.13 8.19 -2.37 4.44
59 kjonn 0 0 NA NA NA NA NA NA NA NA
60 kommislopenr 731520 85.52 0 154 5.66 1 113.75 10.67 3.5 15.45
61 kommunenavn 0 0 NA NA NA NA NA NA NA NA
62 kommunenavn_hjemsted 0 0 NA NA NA NA NA NA NA NA
63 kvalgrunnlagkode_genstudkomp 0 0 NA NA NA NA NA NA NA NA
64 kvalgrunnlagkode_teknisk_fagsk 0 0 NA NA NA NA 0.27 0.52 NA NA
65 landnavn_engelsk1 0 0 NA NA NA NA 2394520113.19 48933.83 NA NA
66 landnavn_engelsk 0 0 NA NA NA NA NA NA NA NA
67 landnavn_engelsk_hjemland 0 0 NA NA NA NA 0 0 NA NA
68 landnavn_norsk_hjemland 0 0 NA NA NA NA NA NA NA NA
69 landnr1 3569 0.42 0 0 0 0 0 0 NaN NaN
70 landnr 780 0.09 0 722963 118.01 0 55756183.16 7467.01 75.21 6296.41
71 landnr_hjemland 56398 6.59 0 2967233 523.12 0 1088031467.67 32985.32 76.4 6126.15
72 landnr_vdg_opplaring 849819 99.35 0 9 4.08 4 11.43 3.38 0.44 -1.41
