1 w21_4952_lopenr_person 0 0 NA NA NA NA NA NA NA NA
2 skoleaar 0 0 20122013 20192020 20158258.45 20162017 507978776.74 22538.38 -0.09 -1.19
3 utveks 1 0 1 2 1.86 2 0.12 0.34 -2.11 2.44
4 utveksland 14 0.02 0 990 403.24 369 74339.28 272.65 0.37 -1.31
5 instinr 30 0.04 212 8253 1786.62 1150 5447639.39 2334.02 2.31 3.59
6 studieprogram 0 0 NA NA NA NA NaN NaN NA NA
7 utveks_inst 0 0 NA NA NA NA 699113424640191 26440753.1 NA NA
8 utveksavtale 27 0.04 1 99 10.56 5 111.87 10.58 1.2 0.11
9 utveks_fradato 1 0 20040801 20200601 20159698 20160801 578321359.72 24048.31 -0.15 -0.98
10 utveks_tildato 1 0 20110617 20200630 20162960.17 20161220 521654629.66 22839.76 -0.1 -1.11
