V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
0.047,0.047,0.047,0.047,0.048,0.047,0.047,0.047,0.047,0.048
0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019
0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014
0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014
0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023
0.068,0.068,0.068,0.069,0.069,0.069,0.069,0.07,0.069,0.069
0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023
0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015
0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013
0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017
0.039,0.039,0.039,0.038,0.039,0.039,0.039,0.039,0.039,0.039
0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019
0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014
0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014
0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052
0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023
0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015
0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013
0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017
0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033
0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016
0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014
0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015
0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015
0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014
0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017
0.062,0.061,0.062,0.062,0.062,0.062,0.061,0.061,0.062,0.061
0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023
0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015
0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014
0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016
0.055,0.056,0.055,0.056,0.055,0.055,0.056,0.055,0.056,0.056
0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022
0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015
0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014
0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016
0.088,0.088,0.086,0.088,0.087,0.086,0.089,0.091,0.087,0.086
0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017
0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013
0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016
0.1,0.105,0.099,0.101,0.102,0.101,0.103,0.102,0.104,0.1
0.033,0.033,0.034,0.034,0.034,0.034,0.033,0.033,0.034,0.033
0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017
0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013
0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017
0.099,0.098,0.102,0.1,0.101,0.101,0.1,0.103,0.102,0.101
0.037,0.037,0.038,0.038,0.037,0.038,0.038,0.038,0.037,0.037
0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019
0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013
0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015
0.242,0.242,0.22,0.23,0.236,0.236,0.23,0.242,0.248,0.236
0.044,0.044,0.044,0.044,0.045,0.045,0.044,0.044,0.045,0.044
0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018
0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013
0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016
0.034,0.032,0.033,0.033,0.034,0.033,0.035,0.033,0.034,0.034
0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016
0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014
0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015
0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023
0.032,0.033,0.032,0.032,0.033,0.032,0.033,0.032,0.033,0.032
0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017
0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014
0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015
0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023
0.031,0.031,0.031,0.031,0.031,0.03,0.031,0.031,0.032,0.031
0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015
0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013
0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017
0.034,0.034,0.034,0.035,0.035,0.035,0.034,0.033,0.033,0.034
0.063,0.062,0.065,0.063,0.058,0.059,0.063,0.06,0.061,0.061
0.026,0.026,0.026,0.026,0.025,0.026,0.025,0.026,0.026,0.026
0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016
0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014
0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015
0.067,0.069,0.066,0.067,0.067,0.067,0.068,0.064,0.069,0.071
0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023
0.016,0.016,0.016,0.016,0.016,0.015,0.016,0.016,0.016,0.016
0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014
0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015
