V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
-5.208,-5.215,-5.224,-5.201,-5.234,-5.234,-5.217,-5.214,-5.179,-5.254
-2.644,-2.65,-2.648,-2.639,-2.64,-2.645,-2.633,-2.641,-2.65,-2.646
-0.642,-0.643,-0.644,-0.644,-0.641,-0.643,-0.641,-0.641,-0.643,-0.647
1.21,1.212,1.212,1.206,1.208,1.21,1.212,1.209,1.209,1.211
3.445,3.447,3.452,3.452,3.443,3.447,3.437,3.445,3.44,3.449
-5.752,-5.801,-5.767,-5.799,-5.819,-5.812,-5.804,-5.86,-5.798,-5.821
-3.344,-3.341,-3.339,-3.348,-3.339,-3.341,-3.336,-3.341,-3.347,-3.339
-1.417,-1.42,-1.421,-1.419,-1.419,-1.42,-1.419,-1.422,-1.418,-1.42
0.307,0.308,0.308,0.304,0.308,0.309,0.309,0.306,0.307,0.307
2.53,2.531,2.533,2.532,2.525,2.529,2.525,2.53,2.527,2.532
-4.599,-4.621,-4.634,-4.591,-4.616,-4.664,-4.614,-4.624,-4.619,-4.613
-2.585,-2.588,-2.591,-2.578,-2.584,-2.583,-2.582,-2.58,-2.579,-2.583
-0.855,-0.85,-0.853,-0.855,-0.846,-0.851,-0.85,-0.852,-0.848,-0.852
0.976,0.979,0.981,0.973,0.974,0.971,0.976,0.977,0.974,0.975
3.001,3.002,3.007,3.007,2.998,3.007,2.997,3,3.002,3.005
-5.118,-5.091,-5.115,-5.073,-5.097,-5.114,-5.103,-5.09,-5.076,-5.083
-3.172,-3.198,-3.193,-3.18,-3.168,-3.184,-3.178,-3.178,-3.18,-3.178
-1.568,-1.562,-1.566,-1.565,-1.563,-1.562,-1.565,-1.566,-1.561,-1.563
0.372,0.373,0.371,0.366,0.372,0.37,0.369,0.369,0.371,0.37
2.518,2.52,2.524,2.522,2.515,2.518,2.516,2.517,2.515,2.519
-4.596,-4.626,-4.611,-4.608,-4.625,-4.603,-4.6,-4.605,-4.58,-4.604
-1.657,-1.658,-1.659,-1.662,-1.656,-1.66,-1.653,-1.66,-1.659,-1.661
-0.121,-0.118,-0.118,-0.119,-0.115,-0.118,-0.119,-0.117,-0.117,-0.121
1.102,1.106,1.104,1.1,1.103,1.102,1.102,1.103,1.101,1.103
2.889,2.891,2.896,2.895,2.889,2.89,2.889,2.887,2.892,2.897
-5.237,-5.255,-5.251,-5.238,-5.264,-5.259,-5.238,-5.253,-5.235,-5.237
-2.789,-2.796,-2.792,-2.785,-2.784,-2.794,-2.79,-2.794,-2.785,-2.788
-1.067,-1.064,-1.065,-1.066,-1.066,-1.063,-1.063,-1.066,-1.067,-1.068
0.392,0.393,0.39,0.388,0.391,0.39,0.393,0.394,0.396,0.39
2.34,2.342,2.347,2.343,2.341,2.343,2.338,2.338,2.337,2.345
-5.594,-5.577,-5.597,-5.608,-5.585,-5.599,-5.57,-5.572,-5.581,-5.571
-3.192,-3.197,-3.198,-3.187,-3.193,-3.197,-3.192,-3.194,-3.197,-3.198
-1.449,-1.447,-1.448,-1.444,-1.443,-1.443,-1.44,-1.447,-1.441,-1.446
0.139,0.142,0.138,0.134,0.138,0.138,0.14,0.136,0.139,0.137
2.252,2.253,2.256,2.255,2.249,2.253,2.251,2.253,2.25,2.256
-5.372,-5.402,-5.366,-5.435,-5.368,-5.387,-5.424,-5.356,-5.386,-5.396
-3.029,-3.056,-3.052,-3.031,-3.033,-3.043,-3.028,-3.048,-3.048,-3.026
-1.384,-1.379,-1.381,-1.382,-1.382,-1.382,-1.382,-1.382,-1.38,-1.389
0.224,0.224,0.22,0.216,0.223,0.227,0.227,0.222,0.227,0.223
2.235,2.245,2.249,2.243,2.238,2.236,2.241,2.24,2.238,2.245
-5.947,-5.965,-5.923,-5.942,-5.928,-5.882,-5.99,-6.03,-5.909,-5.892
-3.943,-3.961,-3.949,-3.942,-3.937,-3.956,-3.95,-3.95,-3.952,-3.955
-2.247,-2.242,-2.236,-2.242,-2.238,-2.247,-2.236,-2.248,-2.25,-2.238
-0.11,-0.115,-0.111,-0.114,-0.114,-0.115,-0.112,-0.107,-0.113,-0.113
2.475,2.473,2.475,2.471,2.467,2.467,2.469,2.465,2.469,2.474
-6.031,-6.148,-5.998,-6.038,-6.05,-6.051,-6.088,-6.079,-6.105,-6.037
-4.299,-4.32,-4.325,-4.317,-4.325,-4.332,-4.317,-4.303,-4.328,-4.317
-2.307,-2.317,-2.327,-2.319,-2.311,-2.316,-2.313,-2.319,-2.312,-2.311
-0.068,-0.068,-0.068,-0.07,-0.067,-0.066,-0.064,-0.065,-0.068,-0.07
2.594,2.592,2.6,2.596,2.596,2.594,2.588,2.592,2.592,2.597
-5.849,-5.848,-5.96,-5.871,-5.915,-5.917,-5.89,-5.962,-5.932,-5.921
-4.337,-4.344,-4.342,-4.362,-4.33,-4.353,-4.351,-4.346,-4.33,-4.325
-2.819,-2.825,-2.842,-2.829,-2.827,-2.827,-2.818,-2.831,-2.821,-2.828
-0.642,-0.637,-0.642,-0.646,-0.641,-0.64,-0.638,-0.64,-0.642,-0.643
2.19,2.188,2.196,2.191,2.195,2.194,2.19,2.192,2.19,2.196
-7.461,-7.486,-7.293,-7.367,-7.411,-7.404,-7.407,-7.498,-7.514,-7.474
-5.11,-5.105,-5.107,-5.109,-5.114,-5.152,-5.079,-5.11,-5.116,-5.077
-2.555,-2.552,-2.562,-2.555,-2.554,-2.556,-2.549,-2.553,-2.556,-2.555
-0.244,-0.235,-0.238,-0.242,-0.238,-0.238,-0.238,-0.241,-0.24,-0.242
2.402,2.405,2.407,2.408,2.406,2.401,2.403,2.404,2.405,2.405
-4.71,-4.562,-4.641,-4.647,-4.67,-4.625,-4.755,-4.623,-4.679,-4.669
-1.722,-1.628,-1.694,-1.672,-1.699,-1.682,-1.685,-1.699,-1.723,-1.709
-0.082,-0.041,-0.041,-0.061,-0.052,-0.057,-0.045,-0.06,-0.055,-0.069
1.476,1.487,1.463,1.486,1.511,1.485,1.474,1.478,1.499,1.469
3.293,3.274,3.245,3.28,3.248,3.271,3.274,3.277,3.26,3.282
-4.156,-4.263,-4.163,-4.22,-4.287,-4.243,-4.222,-4.155,-4.274,-4.147
-2.294,-2.298,-2.243,-2.286,-2.292,-2.248,-2.297,-2.272,-2.313,-2.296
-0.304,-0.28,-0.306,-0.269,-0.306,-0.328,-0.315,-0.303,-0.335,-0.299
1.488,1.471,1.439,1.454,1.473,1.492,1.445,1.491,1.491,1.476
3.251,3.259,3.233,3.246,3.232,3.201,3.222,3.198,3.23,3.216
-4.417,-4.43,-4.415,-4.42,-4.405,-4.354,-4.442,-4.426,-4.458,-4.447
-1.77,-1.742,-1.781,-1.776,-1.744,-1.726,-1.753,-1.764,-1.777,-1.753
0.517,0.529,0.558,0.529,0.562,0.542,0.533,0.558,0.517,0.552
2.356,2.368,2.362,2.358,2.364,2.38,2.367,2.334,2.36,2.355
4.149,4.112,4.153,4.203,4.165,4.157,4.149,4.076,4.061,4.079
-5.348,-5.303,-5.434,-5.336,-5.216,-5.186,-5.401,-5.196,-5.285,-5.258
-3.589,-3.637,-3.608,-3.602,-3.479,-3.587,-3.582,-3.597,-3.595,-3.591
-1.754,-1.723,-1.735,-1.726,-1.701,-1.689,-1.63,-1.7,-1.725,-1.699
0.076,0.13,0.054,0.105,0.108,0.121,0.148,0.107,0.137,0.1
1.145,1.214,1.164,1.165,1.188,1.199,1.197,1.188,1.184,1.159
-5.733,-5.824,-5.717,-5.697,-5.71,-5.764,-5.763,-5.65,-5.793,-5.887
