Item,A1,B1,A2,B2,A3,B3,A4,B4,A5,B5,A6,B6,A7,B7,A8,B8,A9,B9,A10,B10,A11,B11,A12,B12,A13,B13,A14,B14,A15,B15,A16,B16,A17,B17,A18,B18
1ab,5,5,5,5,2,2,6,5,4,4,1,1,4,2.5,5,4,3,3.75,5,4,3,3,3,4,1.5,1.5,3,1.5,4,3,2,2,6,6,19,19
1ab,2.5,2.5,3,1.5,3,2,6,6,3.5,4,1,1,2,2,6,5,4,4,4,2,6,4,5,5,2,2,2.5,2.5,3,2,1,1,4.5,4.5,17,17
1ab,5,5,4,4.5,2,1.5,2,2,4,4,0,0,0,0,3,2,1,2,4,3.5,4,3.5,0,1,2,1.5,3,3,0,1,0,0,2,0,11,11
1ab,5,5,2.5,2.5,2,1,3,2,4,3,2,2,0,0,3,1,2.5,2.5,1,1,2,3,0,0,2,2,2,2,1.5,1.5,0,0,0,0,8,8
1ab,1.5,2,0,1,1,0.5,0,1,2,1,0,0.5,0,0,3,1.5,0,0,1,1,0,0,0,0,0.5,0,0,1,0,0,0,0,0,0,13,13
1ab,0,0,2,1,3,1.5,0,0,2,1.5,0,0,0,0,0,3,3.5,4,4,3,2,1,0,0,2,2,3,1.5,5,5,0,0,4.5,4.5,14,14
1ab,5,5,5,5,3,3,5,7,3,2,0,1,2,3,7,5,4,3.5,4,2,4,3,4,5,2,2,1.5,1.5,4,4,2,2,4.5,4.5,16,16
1ab,5,5,5,5,2,2,6,7,3,3,1,1,2,2,6,3,4,4,5,4,5,5,5,4,2,2,3,3,7,5,0,0,6,6,19,19
1ab,5,5,5,5,3,3,3,5,4,4,2,2,5,3,8,7,4,4,4,4,6,6,3,5,2,2,3,3,4,3,1,2,6,6,19,19
1ab,5,5,3.5,4,2,2,0,0,2,3,0,1,1.5,2,6,6,3,3,3,2,1,2,2,2,1.5,1.5,2.5,3,3,3,0,1,4.5,4.5,17,17
1ab,2.5,2.5,3,3,0,1,0,0,3,3,0.5,1,1,2,3,0.5,3.5,3.5,1,1,1,2,0,0.5,2,1.75,3,1,1,1,0,0,0,0,10,10
1ab,4,4.5,2.5,3,3,3,0,0,4,3,1,1,3,4,6,6,1.5,3,3,4,1.5,4,0,0.25,2,2,3,3,1,1,0,0.5,3,3,14,14
1ab,4.5,5,3,2,3,2.5,0,0,3.5,3,0,0,0,0,4,1,4,4,3,4,3.5,4,3,2,2,2,2.5,1.5,0,0,0,0,2,3,13,13
1ab,4.5,4.5,4,4.5,3,3,4,5,3,1,0,0.5,2,5,7,5,4,4,5,4,3,4,2,2,2,2,3,3,4,5,0,1,4.5,4.5,20,20
1ab,3.5,3.5,3,3.5,3,2.5,0,0,2,1,0,0.5,0,0,6,4,2.5,2.5,1,1,1,3,0,0,1.5,1.5,3,3,2,2,0,0,4.5,4.5,16,16
1ab,4.5,4.5,4,4.5,2.5,2,1,3,4,3.5,0,1,4,3,5,4,3.5,4,2,2,1,1.5,2,1,2,2,3,3,1,1,0,0.5,6,6,17,17
1ac,0.5,0.5,0,0,3,2.5,0.5,0.5,0,0,0,0.5,4,4,3,3,2.5,2.5,5,2,1.5,1,0,0,1.5,1.5,1.5,1.5,0,2,0,0,0,0,14,14
1ac,4,4,4,5,3,3,1,2,3.5,3.5,0,0,2.5,2,5,3,3,4,4,3,5,5,0,0,1.5,1.5,3,3,2,2,1,1,6,6,18,18
1ac,5,5,4,5,3,3,0,0,4,3.5,0,0.5,0,0,4,4,0.5,1,3.5,2.5,2,3,1,2,2,1.5,3,3,4,2,0,0,0,0,15,15
1ac,4,4,4,4,3,3,1,0,1.5,3.5,0,0,2,2,4,4,0,0,2.5,1.5,1,2,0,0,1,1,1.5,1.5,1.5,1,0,0,6,6,11,11
1ac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1ac,5,5,4,1,2,3,0.5,0,4,3.5,1,1,3,4,5,5,3,3,4,3,2,5,2,2.5,2,2,1.5,1.5,1.5,1,0,1,5,4.5,16,16
1ac,2.5,2.5,0,0,3,2,0,0,0,0,0,0,1.5,2,0,0.5,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,9,9
1ac,0,0,0,0,2.5,3,0,0,0,0,0,0,0,0,0,0,0,0,3,2,4,3,1,0,0,0,0,0,0,0,0,0,0,0,9,9
1ac,4.5,4.5,3,3,1.5,2,1,0,2,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1.5,3,1.5,0,0,0,0,0,0,10,10
1ac,4.5,4.5,5,4,2,2,2,1,3.5,3,1,1,0,0,4,4,3,3,5,3,4,4,2.5,3,2,2,3,1.5,2,1,0,0,4.5,4.5,15,15
1ac,0,0,0,0,1,1.5,1,2,0,1.5,0,0,0,0,6,5,1.5,1.5,2.5,1.5,3,3,0,0,1.5,1.5,0.5,1.5,0,0,0,0,0,0,15,15
1ac,4,4,4,4,3,3,2,2,4,3.5,0,1,0,1,5,5,0,0,2,2.5,2,1.5,2,3,2,2,0,0,5,5,0,0,6,6,12,12
1ac,5,5,4,4,3,3,5,5,4,3.5,0,0.5,2.5,2,5,5,4,4,5,4,6,5,2,3,2,2,3,3,3,4,0,0,6,6,13,13
1ac,5,5,5,5,3,3,1,0,3.5,4,0,0,4,6,8,7,4,4,5,4,5,6,2,2,2,2,1.5,3,6,4,0,0,4.5,4.5,17,17
1ac,2.5,3,0,0,1,1,0,0,0,1,0,0,0,0,0,2,0,0,0.5,1,0,1,0,1,2,2,0,0,0,0,0,0,3,1,11,12
1ad,4,4,3,5,2.5,3,3,4,3,4,0,0,4,3,8,8,3.5,4,4,3,3,6,4,3,2,2,1.5,1.5,3,2,1.5,2,4.5,4.5,15,15
1ad,4.5,4.5,5,5,3,3,5,4,3.5,4,1,0,6,3,6,6,2,2,5,5,4,2,2,2,1.5,1.5,1.5,1.5,5,5,2,2,3,3,17,17
1ad,4,5,3,5,2,0,0,0,0.5,0,0,0,0,0,4.5,4,4,4,3,3,4,2,0,,2,2,3,3,3,6,0,"",4.5,4.5,12,12
1ad,2.5,3,3.5,4,2.5,2,1,0,3.5,2.5,0,0,1,0,6,8,2.5,3,3,3,2,0,1.5,0,2,2,3,3,3,5,0,0,6,6,16,16
1ad,5,5,4.5,4.5,3,3,0,0,4,4,1,1,3,3,6,6,2,3,5,4,0.5,0.5,0,0,1.5,1,2,3,0,0,0,0,1,0,13,13
1ad,4.5,4.5,1,0,2,1,0,0,2,4,1,1.5,0.5,2,5,4,3,4,5,2,4,3,3,4,1,1,0,0,2,1,0,0,1,1,14,14
1ad,5,5,5,5,3,3,5,7,4,4,0,0,4,3,6,6,3.5,3,5,2,4,4,4,5,2,2,1.5,2,7,7,2,2,6,6,20,20
1ad,4.5,5,5,4.5,3,3,2,0,3.5,4,0,0,1,0.5,6,4,4,4,0.5,1,3,6,0,0,2,2,1.5,3,3,3,0.5,"",6,6,16,16
1ad,5,5,5,5,2.5,3,5,4,4,4,1,1,6,4,7,6,4,4,4,2.5,3,5,5,5,2,2,3,3,6,6,2,2,6,6,19,19
1ad,5,5,4,5,1.5,3,5,3,3,4,1,1,4,3,3,4,4,4,3.5,2,6,3,2.5,2.5,2,2,3,3,6,4,1,1,4.5,6,13,13
1ad,1.5,1,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,1,1,0.5,0,0,0,0,0.5,1,0,0,0,0,0,0,0,0,7,7
1ad,1,2,0,0,1,0,1,0,4,2,0,0,0,0,4,2,0,0,3,1,2,0,0,0,2,2,2,2,2,0,2,1,1.5,0,11,11
1ad,4.5,4.5,5,4.5,3,3,2,0,4,4,1.5,1,5,4,8,8,3,3,5,5,5,3,3.5,5,2,2,3,3,3,1,0.5,0.5,6,6,17,17
1ad,2.5,3,0,0,2.5,3,0,0,4,2.5,0,0,2,3,0,0,0,0,0,0,0,0,0,0,2,2,3,2,0,0,0,0,0,0,15,15
1ad,5,5,0,,3,3,0,,4,3.5,0,,0,,5,7,3.5,4,4,2,2,3,3,5,2,2,1.5,3,0,,0,"",0,,13,13
1ad,5,5,4.5,5,3,3,7,3,3.5,2.5,0,,6,3,3,3,4,4,4,2,2,3,0.5,2,2,2,2,3,3,2,0,"",6,4,16,16
1ae,5,4.5,4.5,4.5,3,3,5.5,5,4,3.5,1,2,5.5,4,7,5,2.5,1.5,2,0,2.5,2,2,1,2,1.5,1.5,1.5,2,2,0,0,6,6,18,18
1ae,4.5,4.5,4,4,3,3,7,6,4,4,1,1,4,3,6,6,4,4,5,5,5.5,5,4.5,4,2,1.5,3,3,7,7,2,2,6,6,19,19
1ae,3.5,4,1.5,2,1.5,2,0,0,4,3,0,1,0,0,5.5,4,1.5,2,4,3,5,5,2,3,1.5,1.5,1,1,4,2,0,0,0,0,0,0
1ae,4.5,4.5,3,4,3,3,0,1.5,4,3.5,1.5,2,2,3,3.5,3,3.5,4,4,5,2.5,5,0,0,2,2,3,1,3,3,0,0,0,0,17,17
1ae,4,4.5,3,4.5,1.5,1,6,5,4,3,1,1,5,3,6,5.5,4,4,3.5,3.5,4.5,5,4.5,3,2,2,3,2,2,1,0,0,0,0,14,14
1ae,0.5,0.5,0,0,2,1,0,1,1.5,1.5,0,0,2,2,3,3,0,0,2,2,3,1.5,0,1,2,2,2.5,1.5,0.5,0,0,0,0,0,9,9
1ae,5,5,3,3.5,3,3,0,0,1.5,2,0,0.5,0,0,6,4,0,0,0,1,0,0,0,0,2,2,1.5,1.5,0.5,0,0,0,0,1,11,12
1ae,3.5,3.5,0,0,0.5,1.5,0,0,2,2,0,0,2,0,0,1,0,0,1,1,0,0.5,0,0,0.5,0.75,0,0,0,0,0,0,0,0,9,9
1ae,4.5,4,4,5,3,3,1,2,2,2.5,0,0,6,4.5,6,3,3,3,1,1,1.5,1,0,1.5,2,1.5,3,3,3,2.5,2,2,1.5,1,16,16
1ae,3.5,4,4,4,3,3,4,4.5,4,4,1.5,1.5,6,5,7,5.5,4,4,5,4.5,5,5,5,4.5,2,2,3,3,7,7,2,2,6,6,20,19
1ae,4,4,2.5,3.5,0,0,1,0,3.5,3.5,0,1,0,0,6,4.5,0.5,1,1,0.5,1.5,0,0,0,2,2,3,2,1,0,0,0,0,1,15,15
1ae,1,1,0,0,2.5,3,0,0,1,2,0,0,0,0,2,5,0.5,0,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,7
1ae,4,4,2,3.5,2,2,1,2,2,2,0,1,0,1.5,5,4,3,3,1.5,1.5,1,1.5,0,0,2,2,1.5,1.5,0.5,0.5,0,0,5,4.5,15,15
1ae,3.5,3.5,2.5,3,0,1,1,2.5,3.5,3,1,1,1,2,4,4,1.5,1.5,5,5,0,1.5,0,0,2,2,3,3,0,0,0,1,4.5,4,15,15
1ae,4.5,4.5,3.5,4,3,3,3,3,0,1.5,0,0,3,1.5,7,5,3,3,1,2,2,3,1,1,2,2,1,1.5,0,1,0,0,0,0,11,11
1ae,1.5,1.5,0,0.5,2,2,1,1,1,1.5,0,0,0,0,2,2,0,0,0,1,0,0,0,1,2,2,0,0,0,0,0,0,0,0,10,10
1af,5,5,5,5,3,3,7,7,3.5,3.5,1,1,5,5,7,7,4,4,3.5,3.5,5,5,5,5,2,2,3,3,5,5,2,2,3,3,20,20
1af,2.5,2.5,0,0,2.5,0.5,0,0,0,0.5,0,0.5,0,0.5,2,2,2.5,2.5,4,3,1,0,0,0,1.5,1.5,1.5,2,2,2,0,0,4.5,4.5,15,15
1af,3.5,3.5,3,2.5,2,1,0,0,0,2.5,0,0.5,1,1,2,1,2,2,3,3,0,0,0,0,2,2,2,3,0,1,0,1,6,6,9,9
