1cd,3.5,4,5,5,3,3,5,5,4,4,1.5,1.5,6,6,8,8,2,2,1.5,2,3,3,3,3.5,1.5,1.5,3,3,7,7,2,2,6,6,19,19
1cd,5,5,5,4.5,3,3,,0,2.5,3,,0,3,4,5,3,3,3,,0,,1,,0,2,2,3,3,2,2,,0,3,3,14,14
1cd,1.5,1.5,4,3,2,2,,0.5,4,4,,0,5,0,,5,1,1,,2,2,2,,0,1,1,3,2,,0,,0,,0,13,13
1cd,4,4,4.5,5,3,3,,0.5,4,4,2,2,3,3,3,3,0.5,0.5,2,3,,0.5,,1,1,1,,0,,1,,0,3,3,12,12
1cd,3.5,1.5,,0,,0,,0,2,2,,0,,0,,0,,0,,1,,0,,0,0.5,0.5,,0,,0,,0,,0,13,13
1cd,4,3.5,3,1,2,2,,0,2,2,1,0.5,,0,2,2,3,3,2.5,3,3,2,,0,,0,,0,,0,,0,6,6,9,9
1cd,5,5,4,4,3,3,5,5,4,4,1,1.5,3,3,5,5,4,4,5,4,,1,5,5,2,2,3,3,5,5,1,1,6,6,17,17
1cd,5,5,5,5,3,3,0,1,4,4,,1,3,3,8,8,4,4,5,4,6,6,3,2,2,2,3,3,4,5,1,1,4.5,4.5,20,20
1cd,4,4,5,5,3,3,0,1,3.5,3,,0.5,0.5,1,6,5,4,4,4,3,3,3,,0,2,2,3,3,1,6,6,1,5,5,17,17
1cd,4.5,4.5,5,5,3,3,7,7,4,4,1,1,3,4,7,6,4,4,4,4,5,5,5,5,2,2,3,3,7,7,2,2,4.5,4.5,20,20
1cd,1,1,2,1,,1,,0,2.5,3,1,1,3,3,5,4,3,1.5,2,2,,0,,0,2,2,3,3,2,2,,0,,0,17,17
1cd,4.5,4.5,4,4,2,2,5,3,4,4,2,2,3,4,6,5,4,4,3.5,4,5,6,4,5,2,2,3,3,5,5,,0,6,6,18,18
1cd,5,5,2,4,3,3,,1,4,4,,0,3,2,8,8,4,4,4,4,5,5,5,5,2,2,3,3,5,4,1,1,4.5,4.5,16,16
1cd,4,3.5,,0,2,2,,0,3,3,,0,2,2,3,2,4,3,2.5,3.5,1,1,,0,2,2,3,3,,1,,0,,0,8,8
1cd,4.5,4.5,3.5,4,3,3,,0,4,3,,0,3,3,5,5,2.5,3,2,3,2,2,5,4,2,2,3,3,1,1,0,0,3,3,13,13
1cd,5,5,2.5,4,3,3,2,2,4,3,,1,,0,7,7,4,4,3,4,3,3,4,3,2,2,3,3,,2,,0,4.5,4.5,16,16
