TIME	PUB	SEX	SALARY	CIT1	CITM
3	18	0	51876	13	50
6	3	0	54511	0	26
3	2	0	53425	10	50
8	17	1	61863	12	34
9	11	0	52926	9	41
6	6	1	47034	22	37
16	38	1	66432	23	48
10	48	1	61100	10	56
2	9	1	41934	7	19
5	22	1	47454	1	29
5	30	0	49832	6	28
6	21	1	47047	0	31
7	10	0	39115	0	25
11	27	1	59677	11	40
18	37	1	61458	28	61
6	8	1	54528	3	32
9	13	0	60327	14	36
7	6	1	56600	19	69
7	12	0	52542	4	47
3	29	0	50455	6	29
7	29	0	51647	1	35
5	7	1	62895	1	35
7	6	1	53740	2	18
13	69	1	75822	16	90
5	11	1	56596	19	60
8	9	0	55682	0	30
8	20	0	62091	0	27
7	41	0	42162	10	35
2	3	0	52646	0	14
13	27	1	74199	20	56
5	14	1	50729	22	50
3	23	1	70011	11	25
1	1	1	37939	14	35
3	7	1	39652	0	1
9	19	1	68987	31	69
3	11	1	55579	18	69
9	31	1	54671	0	27
3	9	1	57704	0	50
4	12	0	44045	3	32
10	32	1	51122	5	33
1	26	1	47082	15	45
11	12	1	60009	9	54
5	9	1	58632	15	47
1	6	1	38340	0	29
21	39	1	71219	19	69
7	16	0	53712	12	47
5	12	0	54782	15	43
16	50	1	83503	14	55
5	18	1	47212	19	33
4	16	0	52840	2	28
5	5	1	53650	9	42
11	20	1	50931	1	24
16	50	0	66784	8	31
3	6	0	49751	7	27
4	19	0	74343	23	83
4	11	0	57710	5	49
5	13	1	52676	0	14
6	3	0	41195	14	36
4	8	0	45662	11	34
8	11	0	47606	23	70
3	25	0	44301	0	27
4	4	0	58582	0	28
4	10	1	53725	9	 
5	10	1	59501	0	 
12	18	1	60422	7	 
8	7	1	57600	0	 
9	15	0	57622	11	 
3	17	0	56780	9	 
8	36	0	69133	22	 
