TIME	PUB	SEX	CIT	SALARY	TIMEA	PUBA	CITA	CITB
3	18	0	50	51876	3	18	50	50
6	3	0	26	54511	6	3	26	26
3	2	0	50	53425	3	2	50	50
8	17	1	34	61863	8	17	34	34
9	11	0	41	52926	9	11	41	41
6	6	1	37	47034	6	6	37	37
16	38	1	48	66432	16	38	48	48
10	48	1	56	61100	10	48	56	56
2	9	1	19	41934	2	9	19	19
5	22	1	29	47454	5	22	29	29
5	30	0	28	49832	5	30	28	28
6	21	1	31	47047	6	21	31	31
7	10	0	25	39115	7	10	25	25
11	27	1	40	59677	11	27	40	40
18	37	1	61	61458	18	37	61	61
6	8	1	32	54528	6	8	32	32
9	13	0	36	60327	9	13	36	36
7	6	1	69	56600	7	6	69	69
7	12	0	47	52542	7	12	47	47
3	29	0	29	50455	3	29	29	29
7	29	0	35	51647	7	29	35	35
5	7	1	35	62895	5	7	35	35
7	6	1	18	53740	7	6	18	18
13	69	1	90	75822	13	69	90	90
5	11	1	60	56596	5	11	60	60
8	9	0	30	55682	8	9	30	30
8	20	0	27	62091	8	20	27	27
7	41	0	35	42162	7	41	35	35
2	3	0	14	52646	2	3	14	14
13	27	1	56	74199	13	27	56	56
5	14	1	50	50729	5	14	50	50
3	23	1	25	70011	3	23	25	25
1	1	1	35	37939	1	1	35	35
3	7	1	1	39652	3	7	1	1
9	19	1	69	68987	9	19	69	69
3	11	1	69	55579	3	11	69	69
9	31	1	27	54671	9	31	27	27
3	9	1	50	57704	3	9	50	50
4	12	0	32	44045	4	12	32	32
10	32	1	33	51122	10	32	33	33
1	26	1	45	47082	1	26	45	45
11	12	1	54	60009	11	12	54	54
5	9	1	47	58632	5	9	47	47
1	6	1	29	38340	1	6	29	29
21	39	1	69	71219	21	39	69	69
7	16	0	47	53712	7	16	47	47
5	12	0	43	54782	5	12	43	43
16	50	1	55	83503	16	50	55	55
5	18	1	33	47212	5	18	33	33
4	16	0	28	52840	4	16	28	28
5	5	1	42	53650	5	5	42	42
11	20	1	24	50931	11	20	24	24
16	50	0	31	66784	16	50	31	31
3	6	0	27	49751	3	6	27	27
4	19	0	83	74343	4	19	83	83
4	11	0	49	57710	4	11	49	49
5	13	1	14	52676	5	13	14	14
6	3	0	36	41195	6	3	36	36
4	8	0	34	45662	4	8	34	34
8	11	0	70	47606	8	11	70	70
3	25	0	27	44301	3	25	27	27
4	4	0	28	58582	4	4	28	28
999	7	1	12	54832	16	7	12	12
999	11	1	24	53981	15	11	24	24
999	15	1	15	63111	17	15	15	15
999	22	1	33	61891	21	22	33	33
999	21	1	39	60989	14	21	39	39
999	25	1	30	60154	17	25	30	30
999	10	0	14	57370	19	10	14	14
999	16	0	42	58647	16	16	42	42
4	10	1	999	53725	4	10	999	53
5	10	1	999	59501	5	10	999	72
12	18	1	999	60422	12	18	999	43
8	7	1	999	57600	8	7	999	61
9	15	0	999	57622	9	15	999	41
3	17	0	999	56780	3	17	999	58
8	36	0	999	69133	8	36	999	86
5	999	1	999	47855	5	7	13	13
8	999	1	999	50080	8	11	10	10
9	999	1	999	63602	9	46	57	57
6	999	1	999	61220	6	9	30	30
12	999	1	999	84071	12	62	91	91
3	999	1	999	48879	3	20	26	26
4	999	1	999	58521	4	12	65	65
1	999	1	999	47222	1	7	28	28
14	999	0	999	62290	14	52	32	32
3	999	0	999	49705	3	26	26	26
