HOSPITAL	TREATMEN	Y
1	1	66.8448832162555
1	1	42.3823954852719
1	1	20.6935904015113
1	1	46.3628116618091
1	1	54.345231852894
1	1	37.979488535325
1	1	59.5015290926337
1	1	49.0630480858662
1	1	53.3141749205576
1	2	101.213149680167
1	2	126.063418547784
1	2	122.98900193055
1	2	129.699566413295
1	2	135.607240342647
1	2	143.104369295937
1	2	126.944635087095
1	2	116.998794469197
1	2	112.79194489354
1	3	97.6143844425821
1	3	90.8739040027557
1	3	89.962373172447
1	3	81.3151023831825
1	3	79.6240640233265
1	3	80.251015139161
2	1	76.2764601492959
2	1	68.5673876991447
2	1	66.0266252636773
2	1	62.4134018704998
2	1	69.6791657592679
2	1	45.1895647099178
2	1	114.313517309363
2	1	71.179352428923
2	1	82.2492327197194
2	1	55.7887305912218
2	2	141.336657822087
2	2	147.498452509524
2	2	131.22942833195
2	2	136.569002450118
2	2	89.9075314743637
2	2	133.795321489918
2	2	161.5780602321
2	2	133.853603157745
2	3	82.4730287072279
2	3	49.6726098123584
2	3	73.6916577452624
2	3	57.9699612580318
2	3	31.1352290349741
2	3	25.9967288928065
2	3	79.2979401347776
2	3	88.9719372148017
2	3	45.9574211091649
3	1	31.4319859589044
3	1	88.652284806336
3	1	28.9402813264521
3	1	34.6173680941527
3	1	36.0520860989822
3	1	59.6886078436422
3	1	79.5057915319536
3	1	43.1926806766295
3	1	58.1218609692701
3	1	48.9863301384081
3	1	83.1312726952324
3	1	64.5178025196434
3	2	98.2632886734829
3	2	99.6312806341079
3	2	120.109487147653
3	2	96.5280009449574
3	2	94.8711731394178
3	2	73.1346594517828
3	2	90.589159156682
3	2	102.410133553932
3	2	84.1612873374647
3	3	115.82150380237
3	3	98.5379705966807
3	3	103.056380582842
3	3	101.417034339441
3	3	115.884379323894
3	3	89.8041269617647
3	3	71.7900027741433
3	3	119.325188899924
3	3	65.8786771580699
4	1	102.01118691712
4	1	61.6770570992229
4	1	101.114860991346
4	1	126.617246616922
4	1	103.526287733715
4	1	99.7027587490786
4	1	72.6744285175749
4	1	88.612795792175
4	1	82.5375231223941
4	2	57.3213974653972
4	2	47.2043204260903
4	2	22.952650579072
4	2	57.9857783454112
4	2	78.8473549535457
4	2	59.0932799231248
4	3	57.6065821038631
4	3	82.1961789292929
4	3	71.2223960086992
4	3	53.1774887312336
4	3	43.6342178456912
4	3	68.1259638494455
4	3	109.998518223475
4	3	68.7696450905162
4	3	89.7782191030794
4	3	69.9731664184845
4	3	44.3381783553371
4	3	57.5126421888097
