TIME	PUB	SEX	CIT	SALARY
3	18	0	50	51876
6	3	0	26	54511
3	2	0	50	53425
8	17	1	34	61863
9	11	0	41	52926
6	6	1	37	47034
16	38	1	48	66432
10	48	1	56	61100
2	9	1	19	41934
5	22	1	29	47454
5	30	0	28	49832
6	21	1	31	47047
7	10	0	25	39115
11	27	1	40	59677
18	37	1	61	61458
6	8	1	32	54528
9	13	0	36	60327
7	6	1	69	56600
7	12	0	47	52542
3	29	0	29	50455
7	29	0	35	51647
5	7	1	35	62895
7	6	1	18	53740
13	69	1	90	75822
5	11	1	60	56596
8	9	0	30	55682
8	20	0	27	62091
7	41	0	35	42162
2	3	0	14	52646
13	27	1	56	74199
5	14	1	50	50729
3	23	1	25	70011
1	1	1	35	37939
3	7	1	1	39652
9	19	1	69	68987
3	11	1	69	55579
9	31	1	27	54671
3	9	1	50	57704
4	12	0	32	44045
10	32	1	33	51122
1	26	1	45	47082
11	12	1	54	60009
5	9	1	47	58632
1	6	1	29	38340
21	39	1	69	71219
7	16	0	47	53712
5	12	0	43	54782
16	50	1	55	83503
5	18	1	33	47212
4	16	0	28	52840
5	5	1	42	53650
11	20	1	24	50931
16	50	0	31	66784
3	6	0	27	49751
4	19	0	83	74343
4	11	0	49	57710
5	13	1	14	52676
6	3	0	36	41195
4	8	0	34	45662
8	11	0	70	47606
3	25	0	27	44301
4	4	0	28	58582
 	 	 	 	 
 	 	 	 	 
 	 	 	 	 
 	 	 	 	 
 	 	 	 	 
 	 	 	 	 
 	 	 	 	 
 	 	 	 	 
 	 	 	 	 
 	 	 	 	 
 	 	 	 	 
 	 	 	 	 
 	 	 	 	 
 	 	 	 	 
 	 	 	 	 
 	 	 	 	 
 	 	 	 	 
 	 	 	 	 
 	 	 	 	 
 	 	 	 	 
 	 	 	 	 
 	 	 	 	 
 	 	 	 	 
 	 	 	 	 
 	 	 	 	 
 	 	 	 	 
 	 	 	 	 
 	 	 	 	 
 	 	 	 	 
 	 	 	 	 
