RPERF2	RPERF1	SYMPT1	SYMPT2	EXPER1	EXPER1_5	EXPER2
99	78.877717139	100	67.665892617	91.552883148	82.751255618	97.2
57.852963156	77.683267956	85.338087722	87.069282789	74.476420342	55.252009575	73.493615213
40.056105455	49.229077213	41.31383777	52.699937267	14.274829354	64.32884101	27.493945571
19.211645745	14.867639854	53.444653774	36.601958101	28.543448894	3	13.400893649
75.646189317	54.304358632	72.330685817	64.7487735	63.765364242	63.476176021	82.99798146
26.702174432	29.722500366	18.285661358	38.142505558	8.816011887	19.192716501	7.834052228
17.479079794	7.735484285	47.176992589	30.770037187	31.804857215	34.896044119	5
58.670496485	78.648632084	64.816345482	64.75752648	93.477037817	59.789050547	42.22831836
46.098300199	31.172036787	39.284838055	56.984603306	17.901121962	72.101248543	34.504373422
29.432468177	48.646591295	53.725960674	50.594961535	66.993948058	57.135018492	41.147165519
75.942620735	84.765265084	60.296206882	45.578872881	92.478863962	43.53018538	96
68.564972252	56.172332906	45.799692172	44.301745434	29.651218771	58.530039178	47.24172106
51.969750342	43.6578726	39.320857065	64.322805581	50.683524424	40.661724738	17.489206981
89.571635365	51.951102301	68.313483305	81.458704237	46.15678755	92.815724289	97.149774497
40.828598638	49.884727717	39.732607953	38.121887448	62.812867832	24.448629111	32.849074465
87.14331171	89.840887119	52.214765119	57.931637185	53.832469194	66.011585247	49.402296525
34.043204402	24.509782121	32.193903852	49.737882241	13.434670705	21.613259514	65.164740338
63.163062697	56.296652961	37.152168602	55.79519319	96	51.004556756	38.697419458
61.66284249	63.086475783	63.410766316	29.307493494	99.370638487	82.866967628	33.785292447
82.902689938	75.883366044	95.26911126	73.008011612	64.970109598	97.058255793	78.231432768
54.405333208	53.090140897	58.216591001	49.977435755	9.562668929	22.902918746	62.18964451
25.117962838	26.487615855	1	39.382887602	0	25.560128984	4
64.899909552	60.878854674	68.889204567	78.67291059	71.288067293	79.712701483	40.357275016
28.80679188	51.723629766	53.781334444	33.460166728	61.577259174	59.055784809	36.030053819
5.111641637	19.868662922	11.247337485	45.126613565	21.904775303	40.044526506	.913045252
28.255131952	31.868586866	18.797512364	48.692028565	31.059742027	20.227401275	5.488472648
44.002077813	34.095402045	57.506698596	42.094857716	54.23874133	24.029408984	64.978696061
57.164844228	52.545151824	29.28047541	40.609658908	42.694910016	57.755274712	72.964352856
99.189033636	98	100	89.302790404	97	90.900243038	100
1.181054003	23.610803549	30.326113483	30.428430888	26.06088278	35.012410128	14.869940043
53.636797656	62.27454571	48.419142707	29.476083053	60.018099671	57.678793583	1.76062321
