GROUP	TIMEO	TIMEC
2	.913589852154363	.913589852154363
2	1.84786419881695	1.84786419881695
2	7.10123232930842	7.10123232930842
1	10	 
2	1.21425162478695	1.21425162478695
1	9.90791175982998	9.90791175982998
1	3.43876147214932	3.43876147214932
2	1.18567996746258	1.18567996746258
2	7.18185387868128	7.18185387868128
2	6.81826355880409	6.81826355880409
1	.642042224441437	.642042224441437
1	.803019456343453	.803019456343453
2	3.12147718720944	3.12147718720944
2	1.76880874289691	1.76880874289691
1	10	 
2	1.57179044340373	1.57179044340373
1	2.77218711228747	2.77218711228747
2	1.2724087179305	1.2724087179305
1	0	0
2	1.0970853869242	1.0970853869242
1	2.69515215990566	2.69515215990566
1	6.89152859794809	6.89152859794809
2	1.96500036384531	1.96500036384531
1	10	 
1	7.05592057016525	7.05592057016525
1	10	 
1	10	 
1	.988556319324309	.988556319324309
2	1.22652503332474	1.22652503332474
1	10	 
1	10	 
2	1.39323994653756	1.39323994653756
2	10	 
1	3.226084581199	3.226084581199
2	2.84825197732233	2.84825197732233
1	3.7772284628473	3.7772284628473
1	9.43728268451209	9.43728268451209
2	1.52416972397436	1.52416972397436
2	10	 
2	6.66128762207568	6.66128762207568
2	3.42625579635568	3.42625579635568
2	1.32527437040075	1.32527437040075
2	10	 
2	3.4095504953818	3.4095504953818
2	10	 
1	.348071337852584	.348071337852584
1	10.0545493094033	 
1	10	 
2	1.46071752514924	1.46071752514924
1	6.97442657347966	6.97442657347966
1	1.09982400531399	1.09982400531399
1	2.62828052720873	2.62828052720873
2	1.44550961362411	1.44550961362411
2	.997633797956997	.997633797956997
2	1.58461037487348	1.58461037487348
1	3.09730379869371	3.09730379869371
2	.906403481549554	.906403481549554
1	9.83025027653218	9.83025027653218
1	1.01290516167932	1.01290516167932
2	1.32688323176865	1.32688323176865
2	8.76131833778358	8.76131833778358
1	10	 
1	8.58265406141131	8.58265406141131
2	9.05614113032482	9.05614113032482
1	10	 
1	9.13053638450907	9.13053638450907
1	10	 
1	10	 
2	6.58704747172854	6.58704747172854
2	2.02472309204564	2.02472309204564
2	2.84064734595022	2.84064734595022
2	7.07666822723351	7.07666822723351
1	3.29473658879448	3.29473658879448
1	7.13187123898298	7.13187123898298
2	1.45008685231142	1.45008685231142
1	.597839781784733	.597839781784733
2	7.2366981884819	7.2366981884819
1	9.60201747528727	9.60201747528727
2	1.5695927345592	1.5695927345592
2	10	 
2	3.29833267918662	3.29833267918662
2	10	 
2	8.83086541005145	8.83086541005145
2	2.79268138158125	2.79268138158125
1	.423772420541755	.423772420541755
1	8.75968823555279	8.75968823555279
1	10	 
2	.898120449649922	.898120449649922
1	10	 
1	10	 
2	.620895704825975	.620895704825975
1	7.21037155383946	7.21037155383946
2	1.00415004350326	1.00415004350326
1	6.29567997140298	6.29567997140298
2	1.32707445727429	1.32707445727429
2	7.05086486809264	7.05086486809264
1	7.18083386750605	7.18083386750605
2	10	 
