SCADDB	SCCDB	SCOPDB	SEX	AGE	MONLY	MWORK	MAGE	POVERTY
73	41	23	0	9.46164383561644	0	1	24.75	0
54	40	26	0	12.1365296803653	0	1	30.0833333333333	0
59	42	23	1	12.0668949771689	0	1	22.1666666666667	0
90	66	43	1	16.5118721461187	0	2	27.0833333333333	0
85	43	36	1	16.2059360730594	0	3	24.4166666666667	0
76	48	34	1	18.0009132420091	0	2	27.5833333333333	0
73	45	34	1	9.43972602739725	0	2	27.75	0
67	39	29	1	11.6173515981735	0	3	20.5833333333333	0
64	40	24	0	10.4260273972603	0	3	23.75	0
87	50	39	0	12.9139269406393	0	3	26.3333333333333	0
51	40	22	0	12.3059360730594	0	2	22.9166666666667	0
71	52	37	0	17.3139269406393	0	1	37.3333333333333	0
51	42	36	0	17.2810502283105	1	3	34.3333333333333	0
82	51	26	1	16.1922374429224	0	1	29.4166666666667	0
106	59	47	0	14.7426940639269	0	2	38.8333333333333	0
58	50	23	1	13.6472602739726	0	1	33	0
79	40	25	1	14.8506849315069	0	1	42.75	0
76	46	33	1	12.6365296803653	0	1	25.5833333333333	0
80	57	43	1	16.8178082191781	0	3	30.75	0
97	55	48	1	16.5200913242009	0	1	17.0833333333333	1
53	41	24	0	17.7196347031963	0	3	33.9166666666667	0
76	40	28	1	15.0639269406393	0	3	20.5833333333333	0
78	45	22	1	9.42602739726027	0	1	20.75	0
62	40	24	0	9.90296803652968	1	3	17.3333333333333	1
68	41	32	1	11.525799086758	0	2	24.6666666666667	0
62	49	24	1	10.1842465753425	0	3	29	0
57	41	26	1	12.986301369863	1	3	34.25	1
51	43	24	1	15.608904109589	0	1	25	0
79	39	28	1	16.9422374429224	0	2	22.6666666666667	0
64	54	36	1	16.1034246575342	0	1	22.5	0
77	49	23	1	13.5639269406393	0	1	28.0833333333333	0
61	40	32	0	10.3755707762557	0	3	19.8333333333333	0
70	41	25	1	10.4780821917808	0	1	24.75	0
80	40	23	1	10.3618721461187	0	1	17.8333333333333	0
82	45	26	0	11.5981735159817	0	1	29.5833333333333	1
