case_ID F1_1 C_2 F1_3 C_4 F1_5 C_6 F1_7 C_8 F1_9 C_10 F1_11 C_12 F1_13 C_14 F1_15 C_16 F1_17 C_18 F1_19 C_20
1 0 0 0 1 0 1 1 0 0 0 1 0 1 0 1 1 0 0 0 0
2 0 1 0 1 0 1 1 1 0 0 1 1 1 1 1 1 0 0 0 1
3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4 0 1 1 1 0 1 1 1 0 1 1 0 1 0 0 1 1 0 0 1
5 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0
6 0 1 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0
7 0 0 0 0 1 1 1 0 0 1 1 0 1 0 1 1 1 0 0 1
8 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1
9 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 1
10 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0
11 1 1 1 1 1 1 1 1 0 1 1 1 1 0 1 1 1 0 0 1
12 1 1 0 0 0 0 1 0 0 0 1 0 1 0 0 1 1 0 0 0
13 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
14 0 0 1 1 0 1 1 0 1 1 1 1 1 0 1 1 1 0 0 1
15 0 1 1 1 1 0 1 0 0 1 1 1 1 1 1 1 0 0 0 0
16 1 1 0 1 0 0 0 0 0 1 1 0 1 0 1 1 0 0 0 0
17 0 1 1 1 0 1 1 1 1 1 1 1 1 0 1 1 0 0 0 1
18 1 0 0 1 0 1 0 0 1 0 1 1 1 0 0 1 0 1 0 1
19 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0
20 1 1 1 1 1 1 1 0 1 1 1 1 1 0 1 1 1 0 0 1
21 0 1 1 0 0 0 1 1 1 1 1 0 1 1 1 0 1 0 0 1
22 0 0 1 1 0 1 0 0 1 1 0 0 1 0 1 1 0 0 0 0
23 0 0 0 0 0 1 0 0 0 1 1 0 1 0 0 0 0 0 0 0
24 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1
25 0 1 0 0 0 0 1 0 0 0 1 1 1 0 0 1 0 1 0 1
26 0 1 0 0 0 1 1 0 0 1 1 0 1 0 0 1 0 0 0 0
27 0 1 0 1 0 1 1 1 1 1 1 0 1 0 1 1 0 0 0 0
28 0 1 0 0 0 1 1 1 1 1 1 0 1 0 0 1 0 0 0 0
29 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 1
30 0 0 0 1 0 0 0 0 0 0 1 0 1 0 1 0 1 0 0 0
31 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0
32 0 0 0 0 0 0 1 0 0 1 0 0 1 0 1 1 0 0 0 0
33 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0
34 0 1 0 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1
35 0 0 0 1 0 1 0 0 0 0 0 0 1 0 1 1 0 0 0 0
36 0 0 1 0 1 1 1 0 0 1 0 1 1 0 1 1 1 0 0 1
37 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
38 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
39 0 1 0 1 0 0 0 1 1 1 1 0 1 1 0 1 1 0 0 0
40 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
41 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0
42 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1
43 0 1 0 0 0 0 1 1 0 1 1 0 1 0 1 0 1 1 0 1
44 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 0 1
45 0 0 0 0 0 1 1 0 1 0 0 0 1 0 1 1 0 0 0 0
46 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0
47 0 0 0 1 0 1 1 1 1 1 1 0 1 1 0 1 0 1 0 0
48 0 0 0 0 1 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0
49 0 1 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0
50 1 0 0 1 0 1 0 1 1 1 1 0 1 0 0 0 0 0 0 1
51 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1
52 0 1 1 0 0 1 1 1 0 0 1 1 1 0 1 1 1 0 0 0
53 0 1 1 0 0 1 1 0 1 1 0 0 1 0 1 1 0 0 0 0
54 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
55 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0
56 0 1 1 1 1 0 1 1 0 1 0 1 1 0 1 1 0 0 0 0
57 0 1 1 1 1 1 1 0 1 1 1 1 1 0 1 1 0 0 0 0
58 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0
59 0 0 0 0 0 1 0 0 0 1 1 0 1 1 1 0 1 0 0 0
60 0 0 1 0 0 1 1 0 0 0 0 0 1 0 0 1 0 0 0 0
61 0 0 0 1 0 0 1 1 1 1 1 0 1 0 1 1 0 0 0 1
62 0 0 0 0 0 1 0 1 0 0 1 0 1 0 0 1 1 0 0 0
63 1 1 1 0 0 1 1 0 0 1 1 1 1 1 1 1 1 0 0 1
64 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0
65 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
66 0 0 1 1 0 0 1 1 1 1 1 0 1 0 0 1 0 0 0 1
67 0 1 0 0 1 1 0 0 0 1 1 1 1 0 0 1 0 0 0 0
68 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0
69 0 1 0 0 0 0 1 0 1 0 1 0 0 0 1 1 0 0 0 0
70 0 0 1 0 0 0 1 0 1 0 1 1 1 0 0 1 1 0 0 1
71 0 0 0 1 0 1 1 1 0 1 0 1 1 0 1 1 1 0 0 0
72 1 1 1 1 0 1 1 1 0 1 0 1 1 0 0 1 0 0 0 1
73 1 0 0 0 0 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1
74 0 1 0 1 0 0 1 0 0 1 1 1 1 0 1 1 0 0 0 0
75 0 1 1 1 1 1 1 0 1 1 1 1 1 0 1 1 1 0 0 1
76 0 1 0 1 0 0 1 0 1 0 0 0 1 0 0 1 1 0 0 0
77 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0
78 1 0 1 0 1 1 1 1 1 1 1 0 1 0 0 0 0 0 0 1
79 0 0 0 1 1 1 0 1 0 1 1 0 1 1 1 1 0 1 0 0
80 0 1 0 1 0 0 1 0 0 1 1 0 1 0 1 1 0 1 0 0
81 0 0 0 1 1 0 1 1 0 1 1 0 1 0 0 0 1 0 0 0
82 0 1 0 1 0 1 1 0 0 1 1 1 1 0 1 1 0 0 0 1
83 0 1 1 0 0 1 1 1 1 1 1 1 1 0 1 1 0 0 0 0
84 1 1 1 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0
85 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 0 0
86 0 0 0 1 0 1 1 0 0 1 1 1 0 0 1 0 0 0 0 1
87 0 1 1 1 0 1 1 0 0 1 1 1 1 1 1 1 0 0 0 0
88 0 1 1 0 1 0 1 0 0 1 0 0 1 0 0 1 0 0 0 0
89 0 1 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0
90 0 0 0 0 0 1 1 0 0 1 0 1 1 0 1 0 0 0 0 1
91 0 1 1 0 1 0 1 0 0 1 0 1 1 0 1 1 0 0 0 1
92 1 1 1 1 1 1 1 0 1 1 1 1 1 0 1 1 1 1 0 1
93 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
94 1 0 0 1 0 1 1 0 1 1 1 1 1 1 1 1 1 0 0 1
95 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
96 0 0 0 0 0 0 0 0 1 0 1 0 1 0 1 1 0 0 0 0
97 0 0 0 0 1 0 0 1 1 1 0 0 0 0 1 0 0 0 0 0
98 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1
99 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 1 0 0 0 1
100 0 1 0 0 0 1 1 1 1 0 1 1 1 1 0 1 0 0 0 0
101 0 0 1 0 0 1 1 1 0 1 1 0 1 0 1 1 0 0 0 0
102 0 1 0 0 0 1 1 0 0 1 1 0 1 0 1 0 0 0 0 0
103 1 0 0 0 0 0 1 0 1 0 1 0 1 1 0 1 0 0 0 0
104 1 1 1 1 0 1 0 1 1 1 1 1 1 1 1 1 1 0 0 1
105 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
106 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0
107 0 1 1 0 1 0 1 1 1 0 1 0 0 1 1 1 0 0 0 0
108 0 0 1 1 0 0 1 0 0 1 0 0 1 0 1 1 0 0 0 0
109 1 1 1 1 0 1 1 1 0 1 1 1 1 0 1 1 1 0 0 0
110 0 0 0 0 0 1 1 1 1 1 1 0 1 0 1 1 0 1 0 0
111 1 1 1 1 0 1 1 1 1 1 0 1 0 1 0 1 1 0 0 1
112 0 1 1 0 0 1 0 0 0 1 1 0 1 0 0 1 0 0 0 0
113 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0
114 0 1 0 0 0 1 0 1 0 0 0 1 1 0 1 1 0 0 0 1
115 0 0 0 1 0 1 0 0 1 1 0 0 0 0 1 0 0 0 0 0
116 1 1 0 0 0 0 0 0 1 1 0 0 1 0 1 1 0 0 0 1
117 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 1
118 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0
119 0 1 0 0 0 1 1 1 0 0 0 1 0 0 0 1 1 0 0 0
120 0 1 0 0 1 1 1 0 1 1 1 0 1 0 1 1 0 1 0 1
121 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1
122 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
123 1 1 0 0 0 0 1 0 1 1 1 1 1 1 1 1 1 0 0 1
124 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
125 0 1 0 0 0 1 1 0 0 0 0 1 1 0 0 1 0 0 0 1
126 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 1
127 0 1 0 1 1 1 1 1 0 0 1 1 1 0 1 1 1 0 0 0
128 0 1 0 0 0 0 1 0 0 0 1 0 1 0 1 1 0 0 0 0
129 1 0 0 1 0 0 0 0 1 1 0 0 0 0 1 1 0 0 0 0
130 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0
131 0 0 0 1 0 0 1 0 1 1 1 1 1 0 1 1 1 0 0 0
132 1 1 1 0 0 1 1 1 1 1 1 1 1 0 1 1 0 0 0 1
133 0 0 0 0 0 1 0 0 1 0 0 0 1 0 1 1 0 0 0 0
134 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
135 0 0 1 1 0 0 0 0 0 1 1 0 1 0 1 1 1 0 0 0
136 0 1 0 0 0 1 0 0 0 0 1 0 1 0 0 1 0 0 0 0
137 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0
138 0 1 1 1 0 0 1 0 0 1 1 1 1 0 0 1 1 0 0 0
139 0 1 0 0 1 1 1 0 1 1 1 0 1 0 1 0 0 0 0 0
140 0 1 0 1 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0
141 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1
142 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 1 1
143 1 1 0 0 0 1 0 0 1 1 1 0 1 0 1 1 1 0 0 0
144 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
145 0 0 0 0 0 1 1 0 0 1 1 0 1 0 1 1 0 0 0 0
146 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0
147 0 1 0 0 0 0 0 0 0 0 1 0 1 0 1 1 0 0 0 0
148 0 1 0 0 0 1 1 0 0 1 1 0 1 0 1 1 0 1 0 0
149 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1
150 0 1 1 1 0 1 1 1 1 1 1 1 1 0 1 1 1 1 0 1
151 0 1 0 0 0 1 1 0 0 0 1 0 1 0 0 1 0 0 0 0
152 0 0 0 0 0 1 0 0 0 0 1 0 1 0 1 1 0 0 0 0
153 0 1 1 0 1 0 1 1 1 1 1 0 1 0 0 1 1 0 0 1
154 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0
155 0 1 1 1 0 1 1 1 1 1 1 1 1 0 1 1 1 0 0 1
