case_ID F1_1 F1_3 F1_5 F1_7 F1_9 F1_11 F1_13 F1_15 F1_17 F1_19 C_2 C_4 C_6 C_8 C_10 C_12 C_14 C_16 C_18 C_20 F2_1 F2_3 F2_5 F2_7 F2_9 F2_11 F2_13 F2_15 F2_17 F2_19
1 0 0 0 1 0 1 1 1 0 0 0 1 1 0 0 0 0 1 0 0 NA NA NA NA NA NA NA NA NA NA
2 0 0 0 1 0 1 1 1 0 0 1 1 1 1 0 1 1 1 0 1 NA NA NA NA NA NA NA NA NA NA
3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA
4 0 1 0 1 0 1 1 0 1 0 1 1 1 1 1 0 0 1 0 1 NA NA NA NA NA NA NA NA NA NA
5 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA
6 0 0 0 0 0 1 1 0 0 0 1 0 0 1 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA
7 0 0 1 1 0 1 1 1 1 0 0 0 1 0 1 0 0 1 0 1 NA NA NA NA NA NA NA NA NA NA
8 1 1 0 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 NA NA NA NA NA NA NA NA NA NA
9 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 0 1 NA NA NA NA NA NA NA NA NA NA
10 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA
11 1 1 1 1 0 1 1 1 1 0 1 1 1 1 1 1 0 1 0 1 NA NA NA NA NA NA NA NA NA NA
12 1 0 0 1 0 1 1 0 1 0 1 0 0 0 0 0 0 1 0 0 NA NA NA NA NA NA NA NA NA NA
13 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA
14 0 1 0 1 1 1 1 1 1 0 0 1 1 0 1 1 0 1 0 1 NA NA NA NA NA NA NA NA NA NA
15 0 1 1 1 0 1 1 1 0 0 1 1 0 0 1 1 1 1 0 0 NA NA NA NA NA NA NA NA NA NA
16 1 0 0 0 0 1 1 1 0 0 1 1 0 0 1 0 0 1 0 0 NA NA NA NA NA NA NA NA NA NA
17 0 1 0 1 1 1 1 1 0 0 1 1 1 1 1 1 0 1 0 1 NA NA NA NA NA NA NA NA NA NA
18 1 0 0 0 1 1 1 0 0 0 0 1 1 0 0 1 0 1 1 1 NA NA NA NA NA NA NA NA NA NA
19 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 NA NA NA NA NA NA NA NA NA NA
20 1 1 1 1 1 1 1 1 1 0 1 1 1 0 1 1 0 1 0 1 NA NA NA NA NA NA NA NA NA NA
21 0 1 0 1 1 1 1 1 1 0 1 0 0 1 1 0 1 0 0 1 NA NA NA NA NA NA NA NA NA NA
22 0 1 0 0 1 0 1 1 0 0 0 1 1 0 1 0 0 1 0 0 NA NA NA NA NA NA NA NA NA NA
23 0 0 0 0 0 1 1 0 0 0 0 0 1 0 1 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA
24 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 NA NA NA NA NA NA NA NA NA NA
25 0 0 0 1 0 1 1 0 0 0 1 0 0 0 0 1 0 1 1 1 NA NA NA NA NA NA NA NA NA NA
26 0 0 0 1 0 1 1 0 0 0 1 0 1 0 1 0 0 1 0 0 NA NA NA NA NA NA NA NA NA NA
27 0 0 0 1 1 1 1 1 0 0 1 1 1 1 1 0 0 1 0 0 NA NA NA NA NA NA NA NA NA NA
28 0 0 0 1 1 1 1 0 0 0 1 0 1 1 1 0 0 1 0 0 NA NA NA NA NA NA NA NA NA NA
29 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 0 1 NA NA NA NA NA NA NA NA NA NA
30 0 0 0 0 0 1 1 1 1 0 0 1 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA
31 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 NA NA NA NA NA NA NA NA NA NA
32 0 0 0 1 0 0 1 1 0 0 0 0 0 0 1 0 0 1 0 0 NA NA NA NA NA NA NA NA NA NA
33 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 NA NA NA NA NA NA NA NA NA NA
34 0 0 1 1 1 1 1 1 1 0 1 0 1 1 1 0 1 1 1 1 NA NA NA NA NA NA NA NA NA NA
35 0 0 0 0 0 0 1 1 0 0 0 1 1 0 0 0 0 1 0 0 NA NA NA NA NA NA NA NA NA NA
36 0 1 1 1 0 0 1 1 1 0 0 0 1 0 1 1 0 1 0 1 NA NA NA NA NA NA NA NA NA NA
37 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA
38 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 NA NA NA NA NA NA NA NA NA NA
39 0 0 0 0 1 1 1 0 1 0 1 1 0 1 1 0 1 1 0 0 NA NA NA NA NA NA NA NA NA NA
40 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA
41 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA
42 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 NA NA NA NA NA NA NA NA NA NA
43 0 0 0 1 0 1 1 1 1 0 1 0 0 1 1 0 0 0 1 1 NA NA NA NA NA NA NA NA NA NA
44 1 1 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 NA NA NA NA NA NA NA NA NA NA
45 0 0 0 1 1 0 1 1 0 0 0 0 1 0 0 0 0 1 0 0 NA NA NA NA NA NA NA NA NA NA
46 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 NA NA NA NA NA NA NA NA NA NA
47 0 0 0 1 1 1 1 0 0 0 0 1 1 1 1 0 1 1 1 0 NA NA NA NA NA NA NA NA NA NA
48 0 0 1 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA
49 0 0 0 0 0 1 1 0 0 0 1 0 0 0 1 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA
50 1 0 0 0 1 1 1 0 0 0 0 1 1 1 1 0 0 0 0 1 NA NA NA NA NA NA NA NA NA NA
51 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 NA NA NA NA NA NA NA NA NA NA
52 0 1 0 1 0 1 1 1 1 0 1 0 1 1 0 1 0 1 0 0 NA NA NA NA NA NA NA NA NA NA
53 0 1 0 1 1 0 1 1 0 0 1 0 1 0 1 0 0 1 0 0 NA NA NA NA NA NA NA NA NA NA
54 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA
55 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 NA NA NA NA NA NA NA NA NA NA
56 0 1 1 1 0 0 1 1 0 0 1 1 0 1 1 1 0 1 0 0 NA NA NA NA NA NA NA NA NA NA
57 0 1 1 1 1 1 1 1 0 0 1 1 1 0 1 1 0 1 0 0 NA NA NA NA NA NA NA NA NA NA
58 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 NA NA NA NA NA NA NA NA NA NA
59 0 0 0 0 0 1 1 1 1 0 0 0 1 0 1 0 1 0 0 0 NA NA NA NA NA NA NA NA NA NA
60 0 1 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 NA NA NA NA NA NA NA NA NA NA
61 0 0 0 1 1 1 1 1 0 0 0 1 0 1 1 0 0 1 0 1 NA NA NA NA NA NA NA NA NA NA
62 0 0 0 0 0 1 1 0 1 0 0 0 1 1 0 0 0 1 0 0 NA NA NA NA NA NA NA NA NA NA
63 1 1 0 1 0 1 1 1 1 0 1 0 1 0 1 1 1 1 0 1 NA NA NA NA NA NA NA NA NA NA
64 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 NA NA NA NA NA NA NA NA NA NA
65 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA
66 0 1 0 1 1 1 1 0 0 0 0 1 0 1 1 0 0 1 0 1 NA NA NA NA NA NA NA NA NA NA
67 0 0 1 0 0 1 1 0 0 0 1 0 1 0 1 1 0 1 0 0 NA NA NA NA NA NA NA NA NA NA
68 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 NA NA NA NA NA NA NA NA NA NA
69 0 0 0 1 1 1 0 1 0 0 1 0 0 0 0 0 0 1 0 0 NA NA NA NA NA NA NA NA NA NA
70 0 1 0 1 1 1 1 0 1 0 0 0 0 0 0 1 0 1 0 1 NA NA NA NA NA NA NA NA NA NA
71 0 0 0 1 0 0 1 1 1 0 0 1 1 1 1 1 0 1 0 0 NA NA NA NA NA NA NA NA NA NA
