id i1 i2 i3 i4 i5 i6 i7 X
1 1 1 0 1 1 0 0 4
2 1 1 1 1 1 0 0 5
3 1 1 1 1 1 1 1 7
4 1 1 1 1 1 1 1 7
5 1 1 1 1 1 1 0 6
6 1 1 1 1 1 1 1 7
7 1 1 0 1 1 0 1 5
8 1 1 0 1 1 1 0 5
9 1 0 1 1 0 1 1 5
10 1 1 0 0 1 1 1 5
11 1 1 1 1 1 1 1 7
12 1 1 1 1 1 1 0 6
13 1 1 1 1 1 1 0 6
14 1 1 1 1 0 1 0 5
15 1 1 1 0 1 0 0 4
16 1 1 1 0 0 0 0 3
17 1 1 0 1 1 1 1 6
18 1 1 1 1 1 1 0 6
19 1 1 1 1 0 1 1 6
20 1 1 1 0 0 0 1 4
21 0 1 1 1 0 1 1 5
22 1 1 0 0 0 1 0 3
23 1 1 1 1 0 1 0 5
24 1 1 1 1 0 1 0 5
25 1 0 0 1 1 1 0 4
26 1 0 0 0 0 0 0 1
27 1 1 1 1 1 1 1 7
28 1 1 1 1 0 1 0 5
29 0 1 0 0 0 0 0 1
30 1 1 1 1 0 0 0 4
31 1 1 1 1 1 1 0 6
32 1 1 1 1 0 1 0 5
33 1 1 1 1 1 0 0 5
34 1 1 1 1 1 0 1 6
35 1 1 1 1 1 1 1 7
36 1 1 0 1 0 1 1 5
37 1 1 1 1 1 1 1 7
38 1 1 1 0 1 0 1 5
39 1 1 0 1 1 0 0 4
40 0 1 0 0 1 0 0 2
41 1 1 0 1 1 1 1 6
42 1 0 0 0 0 0 0 1
43 1 1 1 1 0 1 1 6
44 1 1 1 1 1 1 0 6
45 1 1 1 0 1 1 0 5
46 1 1 1 1 1 0 1 6
47 1 1 1 1 1 1 1 7
48 1 1 1 1 1 1 1 7
49 1 1 1 0 1 1 1 6
50 1 1 1 1 0 0 0 4
51 1 1 1 1 1 0 1 6
52 1 0 1 0 0 0 0 2
53 1 1 1 1 0 1 1 6
54 1 1 0 0 0 0 0 2
55 1 1 1 1 1 1 1 7
56 1 1 1 1 1 0 0 5
57 1 1 1 0 0 1 0 4
58 1 1 1 0 0 1 0 4
59 1 1 1 0 0 1 1 5
60 1 1 1 0 0 1 0 4
61 1 1 1 1 1 1 1 7
62 0 1 1 0 1 0 1 4
63 1 1 1 1 1 1 1 7
64 1 1 0 0 0 0 0 2
65 0 0 0 0 0 0 0 0
66 1 1 1 0 0 0 0 3
67 1 1 0 1 0 1 0 4
68 1 1 1 1 0 1 1 6
69 1 1 1 1 1 1 0 6
70 1 1 1 1 0 1 0 5
71 1 1 1 1 0 0 0 4
72 1 1 1 0 1 1 0 5
73 1 1 1 0 0 1 0 4
74 1 1 0 1 1 0 0 4
75 0 1 1 0 0 0 0 2
76 1 1 1 1 1 1 1 7
77 1 1 1 1 0 0 1 5
78 1 1 0 1 0 1 0 4
79 1 1 1 1 0 0 0 4
80 1 1 1 1 1 0 1 6
81 1 1 1 1 1 0 0 5
82 1 1 1 0 0 0 1 4
83 1 1 1 0 0 1 0 4
84 1 1 1 1 1 0 1 6
85 1 0 1 1 1 1 0 5
86 1 1 1 0 1 0 0 4
87 1 1 0 0 1 1 0 4
88 0 0 1 0 0 0 0 1
89 1 1 1 0 0 0 0 3
90 0 0 0 0 1 0 0 1
91 1 1 1 1 1 0 0 5
92 1 1 1 1 1 0 0 5
93 1 1 1 1 0 1 0 5
94 1 1 1 1 1 1 1 7
95 1 1 1 1 1 0 1 6
96 1 1 1 0 1 0 0 4
97 1 0 1 1 0 0 1 4
98 1 1 1 0 0 0 1 4
99 1 1 1 1 1 0 0 5
100 1 1 1 0 1 0 1 5
101 1 1 0 1 1 1 1 6
102 1 0 1 0 1 1 0 4
103 1 1 1 1 0 1 1 6
104 1 1 1 1 0 0 1 5
105 1 1 0 1 1 1 0 5
106 1 1 1 1 0 0 0 4
107 1 1 1 0 1 0 0 4
108 1 1 1 1 0 1 0 5
109 1 1 1 1 1 0 0 5
110 1 1 1 1 0 0 1 5
111 1 1 0 1 1 1 0 5
112 1 1 1 1 1 0 1 6
113 1 1 1 1 1 0 0 5
114 1 1 0 1 0 0 0 3
115 1 0 0 0 0 0 1 2
116 1 1 1 1 1 1 1 7
117 1 1 1 1 0 1 0 5
118 1 0 1 0 0 0 1 3
119 1 1 1 1 1 1 1 7
120 1 1 1 0 0 0 1 4
121 1 1 1 0 0 1 0 4
122 1 1 1 1 0 0 0 4
123 1 1 1 1 1 0 0 5
124 0 1 1 1 1 1 0 5
125 1 1 1 1 0 0 0 4
126 1 1 1 1 1 0 1 6
127 1 1 0 1 1 1 1 6
128 1 1 0 1 0 0 1 4
129 1 1 0 1 1 1 0 5
130 1 1 1 1 1 0 0 5
131 1 1 0 1 0 1 0 4
132 1 1 1 1 1 1 0 6
133 0 1 0 1 0 1 1 4
134 1 1 0 1 1 1 0 5
135 1 1 0 1 1 1 0 5
136 1 1 1 1 1 1 0 6
137 1 1 1 0 1 0 0 4
138 1 1 1 1 0 1 0 5
139 1 1 1 1 1 0 0 5
140 1 1 1 1 0 0 0 4
141 1 1 1 1 0 0 1 5
142 1 1 0 1 1 1 1 6
143 1 1 1 1 0 1 1 6
144 1 0 1 1 0 0 0 3
145 1 1 1 0 1 1 0 5
146 1 1 1 1 1 1 1 7
147 1 1 0 1 1 0 0 4
148 1 1 1 1 1 1 0 6
149 1 1 0 1 1 1 0 5
150 1 1 0 1 0 0 0 3
151 1 1 1 1 1 1 0 6
152 1 1 1 0 0 1 0 4
153 1 1 1 1 1 1 1 7
154 1 1 0 1 0 0 0 3
155 1 0 0 1 1 1 0 4
156 1 1 1 1 0 0 0 4
157 1 1 1 1 0 1 1 6
158 0 1 0 1 0 1 0 3
159 1 1 1 1 1 0 1 6
160 1 1 1 1 1 0 0 5
161 1 1 1 1 1 1 0 6
162 1 1 0 1 1 1 1 6
163 1 0 0 1 1 0 0 3
164 1 1 0 1 1 0 0 4
165 1 1 1 1 1 1 0 6
166 1 1 1 1 1 1 0 6
167 1 1 1 0 0 0 1 4
168 1 1 1 0 0 1 0 4
169 1 1 1 1 1 0 1 6
170 1 1 1 1 1 0 0 5
171 1 1 1 1 1 1 1 7
172 1 1 1 1 1 1 0 6
173 0 1 0 1 1 0 0 3
174 1 0 1 1 0 1 1 5
175 1 1 1 1 0 0 0 4
176 1 1 1 1 1 1 0 6
177 1 0 0 1 1 0 0 3
178 1 1 1 1 0 1 0 5
179 1 1 1 1 1 0 0 5
180 1 1 1 1 0 1 1 6
181 1 1 1 1 1 0 1 6
182 1 1 1 0 0 1 1 5
183 1 1 0 1 0 0 0 3
184 1 1 1 1 1 1 0 6
185 1 1 1 1 1 0 0 5
186 1 1 1 1 1 0 1 6
187 1 1 0 1 0 0 0 3
188 1 1 1 1 0 0 0 4
189 1 1 1 1 1 1 0 6
190 1 1 1 1 1 1 0 6
191 1 1 1 1 0 1 0 5
192 1 1 1 1 1 1 0 6
193 1 1 1 1 1 1 0 6
194 1 1 1 1 0 1 0 5
195 1 1 1 1 1 1 0 6
196 1 1 1 1 0 1 0 5
197 1 1 1 1 0 1 0 5
198 1 1 0 1 1 1 0 5
199 1 1 1 1 0 0 1 5
200 1 1 1 1 0 1 1 6
201 1 1 1 0 0 1 1 5
202 1 1 1 1 0 1 0 5
203 1 1 1 0 1 0 0 4
204 1 1 1 0 1 1 0 5
205 1 1 0 1 1 0 0 4
206 0 1 1 1 1 1 0 5
207 1 1 1 1 1 1 0 6
208 0 1 1 0 1 0 0 3
209 1 1 1 1 1 1 0 6
210 1 1 1 1 0 1 0 5
211 1 1 0 1 1 1 0 5
212 1 1 1 1 0 1 1 6
213 1 1 1 1 1 1 0 6
214 1 1 1 0 1 0 1 5
215 1 1 1 0 1 0 1 5
216 1 0 1 1 0 1 1 5
217 1 1 1 1 1 1 0 6
218 1 1 0 0 1 1 0 4
219 1 1 0 1 1 1 0 5
220 1 1 0 1 1 0 1 5
221 1 1 1 1 1 0 1 6
222 1 0 1 1 1 0 0 4
223 1 1 1 1 0 1 1 6
224 1 1 1 0 0 1 1 5
225 0 1 1 0 1 1 0 4
226 1 1 1 1 0 1 0 5
227 1 1 1 0 0 0 1 4
228 1 1 0 1 1 1 0 5
229 1 1 1 1 0 1 0 5
230 1 1 1 0 1 0 1 5
231 1 1 1 1 1 1 0 6
232 1 1 1 1 1 1 1 7
233 1 1 1 1 1 1 0 6
234 1 1 1 1 0 1 1 6
235 0 1 0 0 0 1 0 2
236 1 1 1 1 1 1 0 6
237 1 0 1 1 0 1 1 5
238 1 1 1 1 1 0 0 5
239 1 1 0 1 1 1 1 6
240 1 1 1 1 1 1 0 6
241 1 1 1 1 0 1 0 5
242 1 1 1 1 0 0 1 5
243 1 1 1 1 0 0 0 4
244 1 1 1 1 1 0 1 6
245 1 1 1 0 0 0 0 3
246 1 1 0 1 0 0 1 4
247 1 1 1 1 1 0 1 6
248 1 1 0 0 1 1 1 5
249 1 1 1 1 1 0 1 6
250 1 1 1 0 1 1 0 5
251 1 1 0 1 1 0 0 4
252 1 1 1 0 1 1 1 6
253 1 1 1 1 0 1 1 6
254 1 1 1 1 1 1 1 7
255 1 1 0 1 1 1 1 6
256 1 0 1 1 1 1 0 5
257 1 0 1 1 1 0 0 4
258 1 1 1 1 0 1 1 6
259 1 1 1 1 1 1 0 6
260 1 1 1 1 1 1 1 7
261 1 1 1 1 1 1 0 6
262 1 1 1 0 1 1 0 5
263 1 1 1 1 1 0 1 6
264 1 0 1 1 1 1 0 5
265 1 1 1 1 1 0 0 5
266 1 1 0 1 1 0 0 4
267 1 1 1 0 0 1 0 4
268 1 1 1 1 1 0 0 5
269 0 1 0 1 0 0 0 2
270 1 1 0 1 0 0 0 3
271 1 1 1 1 0 1 0 5
272 1 1 1 1 0 1 1 6
273 1 1 1 1 0 1 1 6
274 1 0 1 1 1 1 1 6
275 1 1 1 1 1 1 0 6
276 1 1 1 1 0 1 1 6
277 1 1 1 1 0 1 0 5
278 0 1 1 1 1 1 0 5
279 1 1 1 1 0 1 0 5
280 1 1 1 1 0 1 0 5
281 1 1 1 0 1 1 0 5
282 1 1 1 1 0 1 0 5
283 1 1 1 1 1 0 1 6
284 1 0 0 0 1 1 0 3
285 1 1 0 1 0 0 0 3
286 1 1 1 1 1 0 1 6
287 1 1 0 0 1 1 0 4
288 1 1 1 1 1 0 0 5
289 1 0 1 1 0 0 1 4
290 1 1 0 1 0 1 0 4
291 1 1 1 1 1 0 0 5
292 1 0 1 1 1 1 0 5
293 1 1 1 1 1 1 0 6
294 1 0 1 1 1 1 1 6
295 1 0 1 1 1 0 0 4
296 1 1 1 1 0 1 0 5
297 1 1 1 1 1 0 0 5
298 1 1 0 1 0 0 0 3
299 1 1 1 1 1 0 0 5
300 1 1 1 1 0 1 0 5
301 1 1 1 1 0 0 1 5
302 1 1 1 1 0 1 0 5
303 1 1 1 1 1 1 1 7
304 1 1 1 1 1 1 1 7
305 1 1 1 1 1 1 0 6
306 1 1 1 1 1 0 0 5
307 1 1 0 1 0 1 0 4
308 1 1 0 1 1 0 0 4
309 1 1 1 1 1 1 0 6
310 1 1 1 1 1 1 0 6
311 1 1 0 1 0 1 0 4
312 1 1 1 1 1 1 1 7
313 1 1 1 1 0 0 0 4
314 1 1 1 0 1 0 1 5
315 1 1 1 0 0 1 0 4
316 1 1 1 1 1 0 0 5
317 1 1 1 1 1 0 0 5
318 1 1 1 1 0 1 0 5
319 1 1 1 1 0 1 0 5
320 1 1 1 1 0 1 0 5
321 1 1 1 0 0 1 0 4
322 1 1 1 1 0 1 1 6
323 1 1 1 1 1 0 0 5
324 1 1 1 1 1 1 0 6
325 1 1 0 0 1 1 0 4
326 1 1 1 1 0 1 1 6
327 1 1 1 1 0 0 1 5
328 1 1 0 1 0 0 1 4
329 1 1 1 1 1 1 1 7
330 1 1 1 1 1 0 0 5
331 1 1 0 1 0 1 0 4
332 1 1 1 1 0 1 1 6
