"ID"	"Gender"	"Language"	"Item"	"Problem"	"Y"	"RT"	"Ysub"	"RTsub"	"Ytot"	"RTtot"
1	"Male"	"FR"	1	"1"	0	41	0	146	7	561
1	"Male"	"FR"	2	"1"	0	55	1	140	7	561
1	"Male"	"FR"	3	"1"	0	13	0	69	7	561
1	"Male"	"FR"	4	"1"	0	37	3	206	7	561
1	"Male"	"FR"	5	"2"	0	82	2	0	7	561
1	"Male"	"FR"	6	"2"	0	19	1	0	7	561
1	"Male"	"FR"	7	"2"	1	16	NA	NA	NA	NA
1	"Male"	"FR"	8	"2"	0	23	NA	NA	NA	NA
1	"Male"	"FR"	9	"3"	0	41	NA	NA	NA	NA
1	"Male"	"FR"	10	"3"	0	9	NA	NA	NA	NA
1	"Male"	"FR"	11	"3"	0	6	NA	NA	NA	NA
1	"Male"	"FR"	12	"3"	0	13	NA	NA	NA	NA
1	"Male"	"FR"	13	"4"	1	154	NA	NA	NA	NA
1	"Male"	"FR"	14	"4"	1	39	NA	NA	NA	NA
1	"Male"	"FR"	15	"4"	0	13	NA	NA	NA	NA
1	"Male"	"FR"	16	"4"	1	0	NA	NA	NA	NA
1	"Male"	"FR"	17	"5"	0	0	NA	NA	NA	NA
1	"Male"	"FR"	18	"5"	1	0	NA	NA	NA	NA
1	"Male"	"FR"	19	"5"	0	0	NA	NA	NA	NA
1	"Male"	"FR"	20	"5"	1	0	NA	NA	NA	NA
1	"Male"	"FR"	21	"6"	1	0	NA	NA	NA	NA
2	"Female"	"FR"	1	"1"	1	214	2	403	13	842
2	"Female"	"FR"	2	"1"	1	67	3	239	13	842
2	"Female"	"FR"	3	"1"	0	38	2	200	13	842
2	"Female"	"FR"	4	"1"	0	84	3	0	13	842
2	"Female"	"FR"	5	"2"	0	60	3	0	13	842
2	"Female"	"FR"	6	"2"	1	35	0	0	13	842
2	"Female"	"FR"	7	"2"	1	97	NA	NA	NA	NA
2	"Female"	"FR"	8	"2"	1	47	NA	NA	NA	NA
2	"Female"	"FR"	9	"3"	0	42	NA	NA	NA	NA
2	"Female"	"FR"	10	"3"	1	35	NA	NA	NA	NA
2	"Female"	"FR"	11	"3"	0	30	NA	NA	NA	NA
2	"Female"	"FR"	12	"3"	1	93	NA	NA	NA	NA
2	"Female"	"FR"	13	"4"	1	0	NA	NA	NA	NA
2	"Female"	"FR"	14	"4"	1	0	NA	NA	NA	NA
2	"Female"	"FR"	15	"4"	0	0	NA	NA	NA	NA
2	"Female"	"FR"	16	"4"	1	0	NA	NA	NA	NA
2	"Female"	"FR"	17	"5"	1	0	NA	NA	NA	NA
2	"Female"	"FR"	18	"5"	1	0	NA	NA	NA	NA
2	"Female"	"FR"	19	"5"	0	0	NA	NA	NA	NA
2	"Female"	"FR"	20	"5"	1	0	NA	NA	NA	NA
2	"Female"	"FR"	21	"6"	0	0	NA	NA	NA	NA
3	"Female"	"FR"	1	"1"	0	66	0	273	5	706
3	"Female"	"FR"	2	"1"	0	66	1	278	5	706
3	"Female"	"FR"	3	"1"	0	56	2	155	5	706
3	"Female"	"FR"	4	"1"	0	85	2	0	5	706
3	"Female"	"FR"	5	"2"	0	112	0	0	5	706
3	"Female"	"FR"	6	"2"	0	45	0	0	5	706
3	"Female"	"FR"	7	"2"	1	70	NA	NA	NA	NA
3	"Female"	"FR"	8	"2"	0	51	NA	NA	NA	NA
3	"Female"	"FR"	9	"3"	1	28	NA	NA	NA	NA
3	"Female"	"FR"	10	"3"	1	58	NA	NA	NA	NA
3	"Female"	"FR"	11	"3"	0	30	NA	NA	NA	NA
3	"Female"	"FR"	12	"3"	0	39	NA	NA	NA	NA
3	"Female"	"FR"	13	"4"	0	0	NA	NA	NA	NA
3	"Female"	"FR"	14	"4"	1	0	NA	NA	NA	NA
3	"Female"	"FR"	15	"4"	0	0	NA	NA	NA	NA
3	"Female"	"FR"	16	"4"	1	0	NA	NA	NA	NA
3	"Female"	"FR"	17	"5"	0	0	NA	NA	NA	NA
3	"Female"	"FR"	18	"5"	0	0	NA	NA	NA	NA
3	"Female"	"FR"	19	"5"	0	0	NA	NA	NA	NA
3	"Female"	"FR"	20	"5"	0	0	NA	NA	NA	NA
3	"Female"	"FR"	21	"6"	0	0	NA	NA	NA	NA
4	"Male"	"NL"	1	"1"	0	116	1	181	14	646
