"Person"	 "Item"	 "Problem"	 "Y"	 "Y.sub1"	 "Y.sub2"	 "Y.sub3"	 "Y.sub4"	 "Y.sub5"	 "Y.sub6"	 "Items"
1	 17	 5	 0	 0	 1	 0	 3	 2	 1	 "Item_17"
2	 17	 5	 1	 2	 3	 2	 3	 3	 0	 "Item_17"
3	 17	 5	 0	 0	 1	 2	 2	 0	 0	 "Item_17"
4	 17	 5	 1	 1	 4	 2	 4	 3	 0	 "Item_17"
5	 17	 5	 1	 1	 4	 2	 2	 3	 0	 "Item_17"
6	 17	 5	 1	 0	 3	 2	 2	 1	 0	 "Item_17"
7	 17	 5	 0	 1	 4	 3	 2	 1	 1	 "Item_17"
8	 17	 5	 0	 1	 3	 3	 3	 1	 0	 "Item_17"
9	 17	 5	 0	 1	 2	 3	 4	 1	 0	 "Item_17"
10	 17	 5	 1	 1	 1	 0	 4	 2	 0	 "Item_17"
11	 17	 5	 1	 2	 1	 3	 2	 3	 0	 "Item_17"
12	 17	 5	 0	 1	 2	 1	 3	 2	 0	 "Item_17"
13	 17	 5	 1	 2	 4	 3	 4	 4	 1	 "Item_17"
14	 17	 5	 1	 3	 3	 3	 4	 4	 0	 "Item_17"
15	 17	 5	 1	 1	 4	 2	 4	 4	 1	 "Item_17"
16	 17	 5	 1	 1	 3	 4	 4	 3	 1	 "Item_17"
17	 17	 5	 1	 0	 3	 3	 2	 3	 0	 "Item_17"
18	 17	 5	 1	 2	 4	 3	 3	 3	 1	 "Item_17"
19	 17	 5	 1	 2	 2	 3	 1	 3	 1	 "Item_17"
20	 17	 5	 1	 1	 3	 2	 3	 3	 0	 "Item_17"
21	 17	 5	 1	 0	 3	 3	 2	 2	 1	 "Item_17"
22	 17	 5	 0	 1	 1	 2	 3	 1	 1	 "Item_17"
23	 17	 5	 1	 1	 1	 3	 0	 2	 0	 "Item_17"
24	 17	 5	 1	 0	 0	 0	 2	 2	 0	 "Item_17"
25	 17	 5	 1	 2	 3	 3	 3	 4	 1	 "Item_17"
26	 17	 5	 1	 1	 4	 2	 3	 2	 0	 "Item_17"
27	 17	 5	 1	 0	 2	 2	 2	 1	 1	 "Item_17"
28	 17	 5	 1	 1	 3	 2	 3	 2	 0	 "Item_17"
29	 17	 5	 1	 0	 4	 3	 1	 3	 1	 "Item_17"
30	 17	 5	 1	 2	 4	 4	 4	 4	 1	 "Item_17"
31	 17	 5	 1	 1	 4	 3	 2	 2	 1	 "Item_17"
32	 17	 5	 0	 2	 2	 3	 3	 2	 1	 "Item_17"
33	 17	 5	 1	 0	 4	 2	 2	 3	 0	 "Item_17"
34	 17	 5	 0	 0	 3	 1	 3	 2	 1	 "Item_17"
35	 17	 5	 1	 1	 1	 3	 3	 4	 0	 "Item_17"
36	 17	 5	 0	 0	 2	 2	 3	 1	 1	 "Item_17"
37	 17	 5	 0	 1	 2	 2	 1	 2	 1	 "Item_17"
38	 17	 5	 1	 2	 4	 3	 4	 3	 0	 "Item_17"
39	 17	 5	 1	 1	 3	 2	 3	 2	 0	 "Item_17"
40	 17	 5	 1	 1	 4	 2	 3	 4	 1	 "Item_17"
41	 17	 5	 1	 4	 4	 4	 4	 4	 0	 "Item_17"
42	 17	 5	 1	 2	 2	 2	 3	 4	 0	 "Item_17"
43	 17	 5	 1	 0	 2	 0	 2	 2	 0	 "Item_17"
44	 17	 5	 0	 1	 2	 1	 3	 1	 0	 "Item_17"
45	 17	 5	 1	 0	 3	 2	 2	 3	 1	 "Item_17"
46	 17	 5	 1	 2	 4	 3	 4	 3	 0	 "Item_17"
47	 17	 5	 0	 0	 3	 2	 2	 1	 0	 "Item_17"
48	 17	 5	 1	 1	 3	 3	 4	 4	 0	 "Item_17"
49	 17	 5	 0	 0	 0	 0	 0	 1	 0	 "Item_17"
50	 17	 5	 0	 0	 3	 1	 1	 1	 0	 "Item_17"
51	 17	 5	 1	 1	 3	 3	 4	 3	 0	 "Item_17"
52	 17	 5	 1	 1	 4	 3	 4	 3	 0	 "Item_17"
53	 17	 5	 0	 0	 4	 1	 2	 1	 1	 "Item_17"
54	 17	 5	 1	 1	 3	 2	 4	 3	 0	 "Item_17"
55	 17	 5	 0	 0	 1	 0	 0	 1	 1	 "Item_17"
56	 17	 5	 1	 1	 2	 1	 2	 2	 0	 "Item_17"
57	 17	 5	 0	 0	 1	 0	 1	 1	 1	 "Item_17"
58	 17	 5	 1	 0	 1	 2	 0	 2	 0	 "Item_17"
59	 17	 5	 0	 2	 4	 3	 4	 2	 1	 "Item_17"
60	 17	 5	 1	 3	 4	 4	 4	 4	 1	 "Item_17"
61	 17	 5	 1	 1	 3	 2	 2	 2	 1	 "Item_17"
62	 17	 5	 1	 0	 1	 2	 3	 2	 0	 "Item_17"
63	 17	 5	 0	 1	 1	 0	 1	 1	 1	 "Item_17"
64	 17	 5	 1	 4	 4	 4	 4	 4	 0	 "Item_17"
65	 17	 5	 0	 1	 2	 1	 2	 0	 1	 "Item_17"
66	 17	 5	 1	 1	 1	 1	 3	 2	 1	 "Item_17"
67	 17	 5	 1	 2	 4	 4	 4	 4	 0	 "Item_17"
68	 17	 5	 0	 0	 1	 2	 1	 2	 0	 "Item_17"
69	 17	 5	 0	 0	 1	 0	 1	 1	 0	 "Item_17"
70	 17	 5	 0	 0	 2	 1	 1	 1	 1	 "Item_17"
71	 17	 5	 0	 0	 3	 2	 4	 1	 0	 "Item_17"
72	 17	 5	 1	 2	 2	 2	 3	 2	 0	 "Item_17"
73	 17	 5	 0	 0	 2	 3	 2	 1	 1	 "Item_17"
74	 17	 5	 1	 1	 2	 3	 3	 2	 0	 "Item_17"
75	 17	 5	 0	 0	 0	 3	 1	 2	 0	 "Item_17"
76	 17	 5	 1	 1	 2	 2	 2	 2	 0	 "Item_17"
77	 17	 5	 1	 1	 4	 1	 1	 2	 0	 "Item_17"
78	 17	 5	 1	 1	 4	 2	 3	 3	 0	 "Item_17"
79	 17	 5	 0	 0	 1	 0	 1	 1	 0	 "Item_17"
80	 17	 5	 1	 1	 2	 3	 3	 4	 0	 "Item_17"
81	 17	 5	 0	 0	 1	 2	 2	 1	 1	 "Item_17"
82	 17	 5	 0	 0	 1	 0	 0	 1	 1	 "Item_17"
83	 17	 5	 0	 0	 2	 2	 3	 1	 1	 "Item_17"
84	 17	 5	 0	 0	 1	 2	 1	 0	 1	 "Item_17"
85	 17	 5	 1	 1	 4	 4	 3	 3	 1	 "Item_17"
86	 17	 5	 1	 0	 0	 0	 0	 2	 0	 "Item_17"
87	 17	 5	 0	 1	 2	 2	 1	 2	 0	 "Item_17"
88	 17	 5	 1	 1	 2	 3	 3	 3	 0	 "Item_17"
89	 17	 5	 1	 0	 1	 2	 0	 1	 0	 "Item_17"
90	 17	 5	 1	 1	 1	 2	 2	 1	 1	 "Item_17"
91	 17	 5	 1	 2	 4	 4	 4	 4	 0	 "Item_17"
92	 17	 5	 1	 0	 1	 2	 2	 2	 0	 "Item_17"
93	 17	 5	 1	 1	 4	 2	 3	 3	 0	 "Item_17"
94	 17	 5	 1	 2	 4	 3	 4	 4	 1	 "Item_17"
95	 17	 5	 0	 0	 2	 2	 2	 1	 0	 "Item_17"
96	 17	 5	 1	 1	 2	 2	 4	 3	 0	 "Item_17"
97	 17	 5	 1	 3	 4	 3	 4	 4	 1	 "Item_17"
98	 17	 5	 0	 2	 3	 2	 2	 1	 0	 "Item_17"
99	 17	 5	 1	 0	 3	 2	 2	 3	 0	 "Item_17"
100	 17	 5	 1	 1	 4	 3	 3	 3	 0	 "Item_17"
101	 17	 5	 0	 0	 2	 2	 2	 1	 0	 "Item_17"
102	 17	 5	 1	 2	 4	 3	 3	 3	 1	 "Item_17"
103	 17	 5	 1	 0	 2	 2	 3	 2	 0	 "Item_17"
104	 17	 5	 1	 0	 2	 2	 2	 2	 1	 "Item_17"
105	 17	 5	 1	 1	 4	 3	 4	 3	 0	 "Item_17"
106	 17	 5	 0	 0	 3	 3	 2	 2	 0	 "Item_17"
107	 17	 5	 1	 0	 1	 1	 1	 2	 1	 "Item_17"
108	 17	 5	 1	 2	 2	 4	 4	 4	 1	 "Item_17"
109	 17	 5	 1	 1	 1	 3	 1	 3	 1	 "Item_17"
110	 17	 5	 1	 2	 3	 3	 2	 3	 0	 "Item_17"
111	 17	 5	 1	 0	 3	 2	 1	 2	 1	 "Item_17"
112	 17	 5	 1	 1	 2	 3	 2	 2	 0	 "Item_17"
113	 17	 5	 0	 0	 1	 3	 3	 3	 1	 "Item_17"
114	 17	 5	 1	 1	 3	 3	 4	 3	 1	 "Item_17"
115	 17	 5	 1	 0	 2	 2	 1	 2	 1	 "Item_17"
116	 17	 5	 1	 1	 2	 1	 1	 2	 1	 "Item_17"
117	 17	 5	 1	 4	 4	 4	 4	 4	 1	 "Item_17"
118	 17	 5	 1	 1	 3	 2	 1	 3	 1	 "Item_17"
119	 17	 5	 1	 2	 4	 3	 4	 2	 1	 "Item_17"
120	 17	 5	 1	 1	 1	 3	 3	 2	 1	 "Item_17"
121	 17	 5	 1	 2	 4	 4	 4	 4	 0	 "Item_17"
122	 17	 5	 0	 1	 1	 3	 1	 1	 0	 "Item_17"
123	 17	 5	 0	 0	 1	 2	 2	 1	 0	 "Item_17"
124	 17	 5	 0	 0	 1	 3	 3	 1	 0	 "Item_17"
125	 17	 5	 0	 0	 1	 0	 0	 0	 0	 "Item_17"
126	 17	 5	 1	 1	 2	 3	 3	 2	 0	 "Item_17"
127	 17	 5	 1	 3	 4	 3	 4	 3	 1	 "Item_17"
128	 17	 5	 0	 0	 2	 3	 3	 1	 0	 "Item_17"
129	 17	 5	 0	 1	 2	 2	 1	 1	 1	 "Item_17"
130	 17	 5	 0	 0	 2	 1	 1	 0	 0	 "Item_17"
131	 17	 5	 1	 1	 3	 3	 4	 2	 0	 "Item_17"
132	 17	 5	 1	 1	 3	 3	 4	 2	 0	 "Item_17"
133	 17	 5	 0	 1	 0	 2	 3	 1	 1	 "Item_17"
134	 17	 5	 1	 0	 3	 3	 4	 4	 0	 "Item_17"
135	 17	 5	 0	 1	 2	 3	 4	 2	 1	 "Item_17"
136	 17	 5	 0	 0	 1	 2	 1	 1	 0	 "Item_17"
137	 17	 5	 1	 1	 1	 1	 4	 1	 0	 "Item_17"
138	 17	 5	 1	 2	 2	 1	 0	 2	 0	 "Item_17"
139	 17	 5	 1	 2	 3	 3	 4	 3	 1	 "Item_17"
140	 17	 5	 0	 0	 0	 0	 0	 0	 0	 "Item_17"
141	 17	 5	 1	 0	 1	 1	 1	 2	 0	 "Item_17"
142	 17	 5	 1	 1	 1	 2	 2	 1	 0	 "Item_17"
143	 17	 5	 1	 1	 4	 3	 1	 2	 1	 "Item_17"
144	 17	 5	 1	 1	 4	 4	 4	 3	 1	 "Item_17"
