"ID"	"Problem"	"Item"	"Y"	"Ytot"	"Ysub"	"RTsub"	"RT.tot"	"RT"	"gender"	"language"
41	1	1	1	20	4	132	760	27	"Male"	"FR"
41	1	2	1	20	4	132	760	68	"Male"	"FR"
41	1	3	1	20	4	132	760	21	"Male"	"FR"
41	1	4	1	20	4	132	760	16	"Male"	"FR"
41	2	5	1	20	4	104	760	42	"Male"	"FR"
41	2	6	1	20	4	104	760	29	"Male"	"FR"
41	2	7	1	20	4	104	760	10	"Male"	"FR"
41	2	8	1	20	4	104	760	23	"Male"	"FR"
41	3	10	1	20	4	79	760	23	"Male"	"FR"
41	3	11	1	20	4	79	760	15	"Male"	"FR"
41	3	12	1	20	4	79	760	12	"Male"	"FR"
41	3	9	1	20	4	79	760	29	"Male"	"FR"
41	4	13	1	20	4	281	760	89	"Male"	"FR"
41	4	14	1	20	4	281	760	105	"Male"	"FR"
41	4	15	1	20	4	281	760	33	"Male"	"FR"
41	4	16	1	20	4	281	760	54	"Male"	"FR"
41	5	17	1	20	4	164	760	96	"Male"	"FR"
41	5	18	1	20	4	164	760	18	"Male"	"FR"
41	5	19	1	20	4	164	760	36	"Male"	"FR"
41	5	20	1	20	4	164	760	14	"Male"	"FR"
41	6	21	NA	20	NA	NA	760	NA	"Male"	"FR"
232	1	1	1	20	4	128	625	52	"Male"	"FR"
232	1	2	1	20	4	128	625	34	"Male"	"FR"
232	1	3	1	20	4	128	625	9	"Male"	"FR"
232	1	4	1	20	4	128	625	33	"Male"	"FR"
232	2	5	1	20	4	61	625	37	"Male"	"FR"
232	2	6	1	20	4	61	625	5	"Male"	"FR"
232	2	7	1	20	4	61	625	9	"Male"	"FR"
232	2	8	1	20	4	61	625	10	"Male"	"FR"
232	3	10	1	20	4	69	625	12	"Male"	"FR"
232	3	11	1	20	4	69	625	6	"Male"	"FR"
232	3	12	1	20	4	69	625	7	"Male"	"FR"
232	3	9	1	20	4	69	625	44	"Male"	"FR"
232	4	13	1	20	3	162	625	88	"Male"	"FR"
232	4	14	0	20	3	162	625	28	"Male"	"FR"
