"ID"	"Gender"	"Language"	"Item"	"Problem"	"Y"	"RT"	"Y.sub"	"RT.sub"	"Y.tot"	"RT.tot"
"4"	1	"Male"	"FR"	1	1	0	41	0	146	7	NA
"3"	1	"Male"	"FR"	2	1	0	55	0	146	7	NA
"1"	1	"Male"	"FR"	3	1	0	13	0	146	7	NA
"2"	1	"Male"	"FR"	4	1	0	37	0	146	7	NA
"5"	1	"Male"	"FR"	5	2	0	82	1	140	7	NA
"6"	1	"Male"	"FR"	6	2	0	19	1	140	7	NA
"7"	1	"Male"	"FR"	7	2	1	16	1	140	7	NA
"8"	1	"Male"	"FR"	8	2	0	23	1	140	7	NA
"10"	1	"Male"	"FR"	9	3	0	41	0	69	7	NA
"9"	1	"Male"	"FR"	10	3	0	9	0	69	7	NA
"12"	1	"Male"	"FR"	11	3	0	6	0	69	7	NA
"11"	1	"Male"	"FR"	12	3	0	13	0	69	7	NA
"13"	1	"Male"	"FR"	13	4	1	13	3	206	7	NA
"16"	1	"Male"	"FR"	14	4	1	39	3	206	7	NA
"15"	1	"Male"	"FR"	15	4	0	154	3	206	7	NA
"14"	1	"Male"	"FR"	16	4	NA	NA	NA	206	NA	NA
"17"	1	"Male"	"FR"	17	5	NA	NA	NA	NA	NA	NA
"18"	1	"Male"	"FR"	18	5	NA	NA	NA	NA	NA	NA
"19"	1	"Male"	"FR"	19	5	NA	NA	NA	NA	NA	NA
"20"	1	"Male"	"FR"	20	5	NA	NA	NA	NA	NA	NA
"21"	1	"Male"	"FR"	21	6	NA	NA	NA	NA	NA	NA
"25"	2	"Female"	"FR"	1	1	1	214	2	403	13	NA
"23"	2	"Female"	"FR"	2	1	1	67	2	403	13	NA
"24"	2	"Female"	"FR"	3	1	0	38	2	403	13	NA
"22"	2	"Female"	"FR"	4	1	0	84	2	403	13	NA
"26"	2	"Female"	"FR"	5	2	0	60	3	239	13	NA
"29"	2	"Female"	"FR"	6	2	1	35	3	239	13	NA
"28"	2	"Female"	"FR"	7	2	1	97	3	239	13	NA
"27"	2	"Female"	"FR"	8	2	1	47	3	239	13	NA
"33"	2	"Female"	"FR"	9	3	0	42	2	200	13	NA
"30"	2	"Female"	"FR"	10	3	1	35	2	200	13	NA
"32"	2	"Female"	"FR"	11	3	0	30	2	200	13	NA
"31"	2	"Female"	"FR"	12	3	1	93	2	200	13	NA
"34"	2	"Female"	"FR"	13	4	NA	NA	NA	NA	NA	NA
"35"	2	"Female"	"FR"	14	4	NA	NA	NA	NA	NA	NA
"36"	2	"Female"	"FR"	15	4	NA	NA	NA	NA	NA	NA
"37"	2	"Female"	"FR"	16	4	NA	NA	NA	NA	NA	NA
"38"	2	"Female"	"FR"	17	5	NA	NA	NA	NA	NA	NA
"39"	2	"Female"	"FR"	18	5	NA	NA	NA	NA	NA	NA
"40"	2	"Female"	"FR"	19	5	NA	NA	NA	NA	NA	NA
"41"	2	"Female"	"FR"	20	5	NA	NA	NA	NA	NA	NA
"42"	2	"Female"	"FR"	21	6	NA	NA	NA	NA	NA	NA
"46"	3	"Female"	"FR"	1	1	0	66	0	273	5	NA
"44"	3	"Female"	"FR"	2	1	0	66	0	273	5	NA
"43"	3	"Female"	"FR"	3	1	0	56	0	273	5	NA
"45"	3	"Female"	"FR"	4	1	0	85	0	273	5	NA
"49"	3	"Female"	"FR"	5	2	0	112	1	278	5	NA
"50"	3	"Female"	"FR"	6	2	0	45	1	278	5	NA
"48"	3	"Female"	"FR"	7	2	1	70	1	278	5	NA
"47"	3	"Female"	"FR"	8	2	0	51	1	278	5	NA
"51"	3	"Female"	"FR"	9	3	1	28	2	155	5	NA
"52"	3	"Female"	"FR"	10	3	1	58	2	155	5	NA
"53"	3	"Female"	"FR"	11	3	0	30	2	155	5	NA
"54"	3	"Female"	"FR"	12	3	0	39	2	155	5	NA
"55"	3	"Female"	"FR"	13	4	NA	NA	NA	NA	NA	NA
"56"	3	"Female"	"FR"	14	4	NA	NA	NA	NA	NA	NA
"57"	3	"Female"	"FR"	15	4	NA	NA	NA	NA	NA	NA
"58"	3	"Female"	"FR"	16	4	NA	NA	NA	NA	NA	NA
"59"	3	"Female"	"FR"	17	5	NA	NA	NA	NA	NA	NA
"60"	3	"Female"	"FR"	18	5	NA	NA	NA	NA	NA	NA
"61"	3	"Female"	"FR"	19	5	NA	NA	NA	NA	NA	NA
"62"	3	"Female"	"FR"	20	5	NA	NA	NA	NA	NA	NA
"63"	3	"Female"	"FR"	21	6	NA	NA	NA	NA	NA	NA
"64"	4	"Male"	"NL"	1	1	0	116	1	181	14	NA
"65"	4	"Male"	"NL"	2	1	0	16	1	181	14	NA
"67"	4	"Male"	"NL"	3	1	1	26	1	181	14	NA
"66"	4	"Male"	"NL"	4	1	0	23	1	181	14	NA
"69"	4	"Male"	"NL"	5	2	1	74	4	108	14	NA
"71"	4	"Male"	"NL"	6	2	1	8	4	108	14	NA
"68"	4	"Male"	"NL"	7	2	1	12	4	108	14	NA
"70"	4	"Male"	"NL"	8	2	1	14	4	108	14	NA
"73"	4	"Male"	"NL"	9	3	1	31	2	53	14	NA
"74"	4	"Male"	"NL"	10	3	0	9	2	53	14	NA
"75"	4	"Male"	"NL"	11	3	0	6	2	53	14	NA
"72"	4	"Male"	"NL"	12	3	1	7	2	53	14	NA
"77"	4	"Male"	"NL"	13	4	1	12	4	149	14	NA
"76"	4	"Male"	"NL"	14	4	1	35	4	149	14	NA
