"Person"	"Gender"	"Language"	"Item"	"Problem"	"Y"	"RT"	"Y.sub"	"RT.sub"	"Y.tot"	"RT.tot"
"1"	1	"M"	"FR"	1	1	0	41	0	146	7	561
"2"	1	"M"	"FR"	10	3	0	9	0	69	7	561
"3"	1	"M"	"FR"	11	3	0	6	0	69	7	561
"4"	1	"M"	"FR"	12	3	0	13	0	69	7	561
"5"	1	"M"	"FR"	13	4	1	154	3	206	7	561
"6"	1	"M"	"FR"	14	4	1	39	3	206	7	561
"7"	1	"M"	"FR"	15	4	0	13	3	206	7	561
"8"	1	"M"	"FR"	16	4	1	0	3	206	7	561
"9"	1	"M"	"FR"	17	5	0	0	2	0	7	561
"10"	1	"M"	"FR"	18	5	1	0	2	0	7	561
"11"	1	"M"	"FR"	19	5	0	0	2	0	7	561
"12"	1	"M"	"FR"	2	1	0	55	0	146	7	561
"13"	1	"M"	"FR"	20	5	1	0	2	0	7	561
"14"	1	"M"	"FR"	21	6	1	0	1	0	7	561
"15"	1	"M"	"FR"	3	1	0	13	0	146	7	561
"16"	1	"M"	"FR"	4	1	0	37	0	146	7	561
"17"	1	"M"	"FR"	5	2	0	82	1	140	7	561
"18"	1	"M"	"FR"	6	2	0	19	1	140	7	561
"19"	1	"M"	"FR"	7	2	1	16	1	140	7	561
"20"	1	"M"	"FR"	8	2	0	23	1	140	7	561
"21"	1	"M"	"FR"	9	3	0	41	0	69	7	561
"22"	10	"M"	"NL"	1	1	0	103	1	217	8	594
"23"	10	"M"	"NL"	10	3	0	22	0	150	8	594
"24"	10	"M"	"NL"	11	3	0	24	0	150	8	594
"25"	10	"M"	"NL"	12	3	0	32	0	150	8	594
"26"	10	"M"	"NL"	13	4	1	0	4	0	8	594
"27"	10	"M"	"NL"	14	4	1	0	4	0	8	594
"28"	10	"M"	"NL"	15	4	1	0	4	0	8	594
"29"	10	"M"	"NL"	16	4	1	0	4	0	8	594
"30"	10	"M"	"NL"	17	5	1	0	2	0	8	594
"31"	10	"M"	"NL"	18	5	0	0	2	0	8	594
"32"	10	"M"	"NL"	19	5	0	0	2	0	8	594
"33"	10	"M"	"NL"	2	1	1	35	1	217	8	594
"34"	10	"M"	"NL"	20	5	1	0	2	0	8	594
"35"	10	"M"	"NL"	21	6	0	0	0	0	8	594
"36"	10	"M"	"NL"	3	1	0	26	1	217	8	594
"37"	10	"M"	"NL"	4	1	0	53	1	217	8	594
"38"	10	"M"	"NL"	5	2	0	130	1	227	8	594
"39"	10	"M"	"NL"	6	2	0	18	1	227	8	594
"40"	10	"M"	"NL"	7	2	1	15	1	227	8	594
"41"	10	"M"	"NL"	8	2	0	64	1	227	8	594
"42"	10	"M"	"NL"	9	3	0	72	0	150	8	594
"43"	100	"F"	"NL"	1	1	0	69	1	150	14	557
"44"	100	"F"	"NL"	10	3	1	20	3	132	14	557
"45"	100	"F"	"NL"	11	3	0	13	3	132	14	557
"46"	100	"F"	"NL"	12	3	1	16	3	132	14	557
"47"	100	"F"	"NL"	13	4	0	0	3	74	14	557
"48"	100	"F"	"NL"	14	4	1	43	3	74	14	557
"49"	100	"F"	"NL"	15	4	1	31	3	74	14	557
"50"	100	"F"	"NL"	16	4	1	0	3	74	14	557
"51"	100	"F"	"NL"	17	5	1	0	3	0	14	557
"52"	100	"F"	"NL"	18	5	1	0	3	0	14	557
"53"	100	"F"	"NL"	19	5	0	0	3	0	14	557
"54"	100	"F"	"NL"	2	1	0	30	1	150	14	557
"55"	100	"F"	"NL"	20	5	1	0	3	0	14	557
"56"	100	"F"	"NL"	21	6	0	0	0	0	14	557
"57"	100	"F"	"NL"	3	1	1	27	1	150	14	557
"58"	100	"F"	"NL"	4	1	0	24	1	150	14	557
"59"	100	"F"	"NL"	5	2	1	130	4	201	14	557
"60"	100	"F"	"NL"	6	2	1	24	4	201	14	557
"61"	100	"F"	"NL"	7	2	1	26	4	201	14	557
"62"	100	"F"	"NL"	8	2	1	21	4	201	14	557
"63"	100	"F"	"NL"	9	3	1	83	3	132	14	557
"64"	101	"M"	"NL"	1	1	0	217	0	435	7	768
"65"	101	"M"	"NL"	10	3	1	63	2	169	7	768
"66"	101	"M"	"NL"	11	3	0	27	2	169	7	768
"67"	101	"M"	"NL"	12	3	1	35	2	169	7	768
"68"	101	"M"	"NL"	13	4	0	0	2	0	7	768
"69"	101	"M"	"NL"	14	4	1	0	2	0	7	768
"70"	101	"M"	"NL"	15	4	0	0	2	0	7	768
"71"	101	"M"	"NL"	16	4	1	0	2	0	7	768
"72"	101	"M"	"NL"	17	5	0	0	1	0	7	768
"73"	101	"M"	"NL"	18	5	0	0	1	0	7	768
"74"	101	"M"	"NL"	19	5	0	0	1	0	7	768
"75"	101	"M"	"NL"	2	1	0	83	0	435	7	768
"76"	101	"M"	"NL"	20	5	1	0	1	0	7	768
"77"	101	"M"	"NL"	21	6	0	0	0	0	7	768
"78"	101	"M"	"NL"	3	1	0	23	0	435	7	768
"79"	101	"M"	"NL"	4	1	0	112	0	435	7	768
"80"	101	"M"	"NL"	5	2	0	66	2	164	7	768
"81"	101	"M"	"NL"	6	2	0	47	2	164	7	768
"82"	101	"M"	"NL"	7	2	1	22	2	164	7	768
"83"	101	"M"	"NL"	8	2	1	29	2	164	7	768
"84"	101	"M"	"NL"	9	3	0	44	2	169	7	768
"85"	102	"M"	"NL"	1	1	0	74	2	245	16	638
"86"	102	"M"	"NL"	10	3	1	54	3	200	16	638
"87"	102	"M"	"NL"	11	3	0	33	3	200	16	638
"88"	102	"M"	"NL"	12	3	1	71	3	200	16	638
"89"	102	"M"	"NL"	13	4	1	0	3	0	16	638
"90"	102	"M"	"NL"	14	4	1	0	3	0	16	638
"91"	102	"M"	"NL"	15	4	1	0	3	0	16	638
"92"	102	"M"	"NL"	16	4	0	0	3	0	16	638
"93"	102	"M"	"NL"	17	5	1	0	3	0	16	638
"94"	102	"M"	"NL"	18	5	1	0	3	0	16	638
"95"	102	"M"	"NL"	19	5	0	0	3	0	16	638
"96"	102	"M"	"NL"	2	1	1	36	2	245	16	638
"97"	102	"M"	"NL"	20	5	1	0	3	0	16	638
"98"	102	"M"	"NL"	21	6	1	0	1	0	16	638
"99"	102	"M"	"NL"	3	1	1	51	2	245	16	638
"100"	102	"M"	"NL"	4	1	0	84	2	245	16	638
"101"	102	"M"	"NL"	5	2	1	64	4	193	16	638
"102"	102	"M"	"NL"	6	2	1	32	4	193	16	638
"103"	102	"M"	"NL"	7	2	1	42	4	193	16	638
"104"	102	"M"	"NL"	8	2	1	55	4	193	16	638
"105"	102	"M"	"NL"	9	3	1	42	3	200	16	638
"106"	103	"M"	"NL"	1	1	0	59	0	293	9	650
"107"	103	"M"	"NL"	10	3	1	78	2	148	9	650
"108"	103	"M"	"NL"	11	3	0	22	2	148	9	650
"109"	103	"M"	"NL"	12	3	1	23	2	148	9	650
"110"	103	"M"	"NL"	13	4	1	0	3	0	9	650
"111"	103	"M"	"NL"	14	4	1	0	3	0	9	650
"112"	103	"M"	"NL"	15	4	0	0	3	0	9	650
"113"	103	"M"	"NL"	16	4	1	0	3	0	9	650
"114"	103	"M"	"NL"	17	5	1	0	2	0	9	650
"115"	103	"M"	"NL"	18	5	0	0	2	0	9	650
"116"	103	"M"	"NL"	19	5	0	0	2	0	9	650
"117"	103	"M"	"NL"	2	1	0	106	0	293	9	650
"118"	103	"M"	"NL"	20	5	1	0	2	0	9	650
"119"	103	"M"	"NL"	21	6	0	0	0	0	9	650
"120"	103	"M"	"NL"	3	1	0	26	0	293	9	650
"121"	103	"M"	"NL"	4	1	0	102	0	293	9	650
"122"	103	"M"	"NL"	5	2	1	53	2	209	9	650
"123"	103	"M"	"NL"	6	2	0	24	2	209	9	650
"124"	103	"M"	"NL"	7	2	1	106	2	209	9	650
"125"	103	"M"	"NL"	8	2	0	26	2	209	9	650
"126"	103	"M"	"NL"	9	3	0	25	2	148	9	650
"127"	104	"M"	"FR"	1	1	0	54	0	219	9	773
"128"	104	"M"	"FR"	10	3	1	18	2	83	9	773
"129"	104	"M"	"FR"	11	3	0	7	2	83	9	773
"130"	104	"M"	"FR"	12	3	1	9	2	83	9	773
"131"	104	"M"	"FR"	13	4	0	78	2	205	9	773
"132"	104	"M"	"FR"	14	4	0	91	2	205	9	773
"133"	104	"M"	"FR"	15	4	1	14	2	205	9	773
"134"	104	"M"	"FR"	16	4	1	22	2	205	9	773
"135"	104	"M"	"FR"	17	5	1	0	2	48	9	773
"136"	104	"M"	"FR"	18	5	0	20	2	48	9	773
"137"	104	"M"	"FR"	19	5	0	28	2	48	9	773
