"ID"	 "Gender"	 "Language"	 "Problem"	 "item"	 "Y"	 "RT"	 "Y.sub"	 "RT.sub"	 "Y.tot"	 "RT.tot"
1	 "Male"	 "FR"	 1	 1	 0	 41	 0	 146	 7	 561
1	 "Male"	 "FR"	 1	 2	 0	 55	 0	 146	 7	 561
1	 "Male"	 "FR"	 1	 3	 0	 13	 0	 146	 7	 561
1	 "Male"	 "FR"	 1	 4	 0	 37	 0	 146	 7	 561
1	 "Male"	 "FR"	 2	 5	 0	 82	 1	 140	 7	 561
1	 "Male"	 "FR"	 2	 6	 0	 19	 1	 140	 7	 561
1	 "Male"	 "FR"	 2	 7	 0	 16	 1	 140	 7	 561
1	 "Male"	 "FR"	 2	 8	 0	 23	 1	 140	 7	 561
1	 "Male"	 "FR"	 3	 9	 0	 41	 0	 69	 7	 561
1	 "Male"	 "FR"	 3	 10	 1	 9	 0	 69	 7	 561
1	 "Male"	 "FR"	 3	 11	 0	 6	 0	 69	 7	 561
1	 "Male"	 "FR"	 3	 12	 0	 13	 0	 69	 7	 561
1	 "Male"	 "FR"	 4	 13	 0	 13	 3	 206	 7	 561
1	 "Male"	 "FR"	 4	 14	 1	 39	 3	 206	 7	 561
1	 "Male"	 "FR"	 4	 15	 1	 154	 3	 206	 7	 561
1	 "Male"	 "FR"	 4	 16	 1	 0	 3	 206	 7	 561
1	 "Male"	 "FR"	 5	 17	 1	 0	 2	 0	 7	 561
1	 "Male"	 "FR"	 5	 18	 0	 0	 2	 0	 7	 561
1	 "Male"	 "FR"	 5	 19	 1	 0	 2	 0	 7	 561
1	 "Male"	 "FR"	 5	 20	 0	 0	 2	 0	 7	 561
1	 "Male"	 "FR"	 6	 21	 1	 0	 1	 0	 7	 561
10	 "Male"	 "NL"	 1	 1	 1	 103	 1	 217	 8	 594
10	 "Male"	 "NL"	 1	 2	 0	 35	 1	 217	 8	 594
10	 "Male"	 "NL"	 1	 3	 0	 26	 1	 217	 8	 594
10	 "Male"	 "NL"	 1	 4	 1	 53	 1	 217	 8	 594
10	 "Male"	 "NL"	 2	 5	 0	 130	 1	 227	 8	 594
10	 "Male"	 "NL"	 2	 6	 0	 18	 1	 227	 8	 594
10	 "Male"	 "NL"	 2	 7	 1	 15	 1	 227	 8	 594
10	 "Male"	 "NL"	 2	 8	 0	 64	 1	 227	 8	 594
10	 "Male"	 "NL"	 3	 9	 0	 72	 0	 150	 8	 594
10	 "Male"	 "NL"	 3	 10	 1	 22	 0	 150	 8	 594
10	 "Male"	 "NL"	 3	 11	 0	 24	 0	 150	 8	 594
10	 "Male"	 "NL"	 3	 12	 0	 32	 0	 150	 8	 594
10	 "Male"	 "NL"	 4	 13	 0	 0	 4	 0	 8	 594
10	 "Male"	 "NL"	 4	 14	 1	 0	 4	 0	 8	 594
10	 "Male"	 "NL"	 4	 15	 1	 0	 4	 0	 8	 594
10	 "Male"	 "NL"	 4	 16	 1	 0	 4	 0	 8	 594
10	 "Male"	 "NL"	 5	 17	 1	 0	 2	 0	 8	 594
10	 "Male"	 "NL"	 5	 18	 0	 0	 2	 0	 8	 594
10	 "Male"	 "NL"	 5	 19	 0	 0	 2	 0	 8	 594
10	 "Male"	 "NL"	 5	 20	 0	 0	 2	 0	 8	 594
10	 "Male"	 "NL"	 6	 21	 0	 0	 0	 0	 8	 594
100	 "Female"	 "NL"	 1	 1	 1	 69	 1	 150	 14	 557
100	 "Female"	 "NL"	 1	 2	 1	 30	 1	 150	 14	 557
100	 "Female"	 "NL"	 1	 3	 1	 27	 1	 150	 14	 557
100	 "Female"	 "NL"	 1	 4	 1	 24	 1	 150	 14	 557
100	 "Female"	 "NL"	 2	 5	 1	 130	 4	 201	 14	 557
100	 "Female"	 "NL"	 2	 6	 1	 24	 4	 201	 14	 557
100	 "Female"	 "NL"	 2	 7	 0	 26	 4	 201	 14	 557
100	 "Female"	 "NL"	 2	 8	 0	 21	 4	 201	 14	 557
100	 "Female"	 "NL"	 3	 9	 1	 83	 3	 132	 14	 557
100	 "Female"	 "NL"	 3	 10	 1	 20	 3	 132	 14	 557
100	 "Female"	 "NL"	 3	 11	 1	 13	 3	 132	 14	 557
100	 "Female"	 "NL"	 3	 12	 0	 16	 3	 132	 14	 557
100	 "Female"	 "NL"	 4	 13	 1	 31	 3	 74	 14	 557
100	 "Female"	 "NL"	 4	 14	 1	 43	 3	 74	 14	 557
100	 "Female"	 "NL"	 4	 15	 1	 0	 3	 74	 14	 557
100	 "Female"	 "NL"	 4	 16	 0	 0	 3	 74	 14	 557
100	 "Female"	 "NL"	 5	 17	 1	 0	 3	 0	 14	 557
100	 "Female"	 "NL"	 5	 18	 0	 0	 3	 0	 14	 557
100	 "Female"	 "NL"	 5	 19	 1	 0	 3	 0	 14	 557
100	 "Female"	 "NL"	 5	 20	 0	 0	 3	 0	 14	 557
100	 "Female"	 "NL"	 6	 21	 0	 0	 0	 0	 14	 557
101	 "Male"	 "NL"	 1	 1	 0	 217	 0	 435	 7	 768
101	 "Male"	 "NL"	 1	 2	 1	 83	 0	 435	 7	 768
101	 "Male"	 "NL"	 1	 3	 0	 23	 0	 435	 7	 768
101	 "Male"	 "NL"	 1	 4	 0	 112	 0	 435	 7	 768
101	 "Male"	 "NL"	 2	 5	 0	 66	 2	 164	 7	 768
101	 "Male"	 "NL"	 2	 6	 1	 47	 2	 164	 7	 768
101	 "Male"	 "NL"	 2	 7	 0	 22	 2	 164	 7	 768
101	 "Male"	 "NL"	 2	 8	 0	 29	 2	 164	 7	 768
101	 "Male"	 "NL"	 3	 9	 0	 44	 2	 169	 7	 768
101	 "Male"	 "NL"	 3	 10	 1	 63	 2	 169	 7	 768
101	 "Male"	 "NL"	 3	 11	 0	 27	 2	 169	 7	 768
101	 "Male"	 "NL"	 3	 12	 0	 35	 2	 169	 7	 768
101	 "Male"	 "NL"	 4	 13	 1	 0	 2	 0	 7	 768
101	 "Male"	 "NL"	 4	 14	 1	 0	 2	 0	 7	 768
101	 "Male"	 "NL"	 4	 15	 1	 0	 2	 0	 7	 768
101	 "Male"	 "NL"	 4	 16	 0	 0	 2	 0	 7	 768
101	 "Male"	 "NL"	 5	 17	 1	 0	 1	 0	 7	 768
101	 "Male"	 "NL"	 5	 18	 0	 0	 1	 0	 7	 768
101	 "Male"	 "NL"	 5	 19	 0	 0	 1	 0	 7	 768
101	 "Male"	 "NL"	 5	 20	 0	 0	 1	 0	 7	 768
101	 "Male"	 "NL"	 6	 21	 0	 0	 0	 0	 7	 768
