"ID" "IDproblem" "Language" "Gender" "Item" "Y" "RT" "problem" "Y.sub" "RT.sub" "Y.tot" "RT.tot"
"1" 1 11 "FR" "M" 1 0 41 1 0 146 3 561
"2" 1 11 "FR" "M" 2 0 55 1 0 146 3 561
"3" 1 11 "FR" "M" 3 0 13 1 0 146 3 561
"4" 1 11 "FR" "M" 4 0 37 1 0 146 3 561
"5" 1 12 "FR" "M" 5 0 82 2 1 140 3 561
"6" 1 12 "FR" "M" 6 0 19 2 1 140 3 561
"7" 1 12 "FR" "M" 7 1 16 2 1 140 3 561
"8" 1 12 "FR" "M" 8 0 23 2 1 140 3 561
"9" 1 13 "FR" "M" 9 0 41 3 0 69 3 561
"10" 1 13 "FR" "M" 10 0 9 3 0 69 3 561
"11" 1 13 "FR" "M" 11 0 6 3 0 69 3 561
"12" 1 13 "FR" "M" 12 0 13 3 0 69 3 561
"13" 1 14 "FR" "M" 13 1 154 4 2 206 3 561
"14" 1 14 "FR" "M" 14 1 39 4 2 206 3 561
"15" 1 14 "FR" "M" 15 0 13 4 2 206 3 561
"16" 1 14 "FR" "M" 16 NA NA 4 2 206 3 561
"17" 1 15 "FR" "M" 17 NA NA 5 NA NA 3 561
"18" 1 15 "FR" "M" 18 NA NA 5 NA NA 3 561
"19" 1 15 "FR" "M" 19 NA NA 5 NA NA 3 561
"20" 1 15 "FR" "M" 20 NA NA 5 NA NA 3 561
"21" 1 16 "FR" "M" 21 NA NA 6 NA NA 3 561
"22" 2 21 "FR" "F" 1 1 214 1 2 403 7 842
"23" 2 21 "FR" "F" 2 1 67 1 2 403 7 842
"24" 2 21 "FR" "F" 3 0 38 1 2 403 7 842
"25" 2 21 "FR" "F" 4 0 84 1 2 403 7 842
"26" 2 22 "FR" "F" 5 0 60 2 3 239 7 842
"27" 2 22 "FR" "F" 6 1 35 2 3 239 7 842
"28" 2 22 "FR" "F" 7 1 97 2 3 239 7 842
"29" 2 22 "FR" "F" 8 1 47 2 3 239 7 842
"30" 2 23 "FR" "F" 9 0 42 3 2 200 7 842
"31" 2 23 "FR" "F" 10 1 35 3 2 200 7 842
"32" 2 23 "FR" "F" 11 0 30 3 2 200 7 842
"33" 2 23 "FR" "F" 12 1 93 3 2 200 7 842
"34" 2 24 "FR" "F" 13 NA NA 4 NA NA 7 842
"35" 2 24 "FR" "F" 14 NA NA 4 NA NA 7 842
"36" 2 24 "FR" "F" 15 NA NA 4 NA NA 7 842
"37" 2 24 "FR" "F" 16 NA NA 4 NA NA 7 842
"38" 2 25 "FR" "F" 17 NA NA 5 NA NA 7 842
"39" 2 25 "FR" "F" 18 NA NA 5 NA NA 7 842
"40" 2 25 "FR" "F" 19 NA NA 5 NA NA 7 842
"41" 2 25 "FR" "F" 20 NA NA 5 NA NA 7 842
"42" 2 26 "FR" "F" 21 NA NA 6 NA NA 7 842
"43" 3 31 "FR" "F" 1 0 66 1 0 273 3 706
"44" 3 31 "FR" "F" 2 0 66 1 0 273 3 706
"45" 3 31 "FR" "F" 3 0 56 1 0 273 3 706
"46" 3 31 "FR" "F" 4 0 85 1 0 273 3 706
"47" 3 32 "FR" "F" 5 0 112 2 1 278 3 706
"48" 3 32 "FR" "F" 6 0 45 2 1 278 3 706
"49" 3 32 "FR" "F" 7 1 70 2 1 278 3 706
"50" 3 32 "FR" "F" 8 0 51 2 1 278 3 706
"51" 3 33 "FR" "F" 9 1 28 3 2 155 3 706
"52" 3 33 "FR" "F" 10 1 58 3 2 155 3 706
"53" 3 33 "FR" "F" 11 0 30 3 2 155 3 706
"54" 3 33 "FR" "F" 12 0 39 3 2 155 3 706
"55" 3 34 "FR" "F" 13 NA NA 4 NA NA 3 706
"56" 3 34 "FR" "F" 14 NA NA 4 NA NA 3 706
"57" 3 34 "FR" "F" 15 NA NA 4 NA NA 3 706
"58" 3 34 "FR" "F" 16 NA NA 4 NA NA 3 706
"59" 3 35 "FR" "F" 17 NA NA 5 NA NA 3 706
"60" 3 35 "FR" "F" 18 NA NA 5 NA NA 3 706
"61" 3 35 "FR" "F" 19 NA NA 5 NA NA 3 706
"62" 3 35 "FR" "F" 20 NA NA 5 NA NA 3 706
"63" 3 36 "FR" "F" 21 NA NA 6 NA NA 3 706
"64" 4 41 "NL" "M" 1 0 116 1 1 181 14 646
"65" 4 41 "NL" "M" 2 0 16 1 1 181 14 646
