"ID"	"Gender"	"Language"	"Item"	"Problem"	"Y"	"RT"	"Y.sub"	"RT.sub"	"Y.tot"	"RT.tot"
1	"M"	"FR"	15	4	1	154	3	206	7	561
1	"M"	"FR"	16	4	1	0	3	206	7	561
1	"M"	"FR"	17	4	1	0	3	206	7	561
1	"M"	"FR"	18	5	0	0	2	94	7	561
1	"M"	"FR"	19	5	1	0	2	94	7	561
1	"M"	"FR"	20	5	0	0	2	94	7	561
1	"M"	"FR"	21	5	1	0	2	94	7	561
1	"M"	"FR"	NA	6	NA	NA	1	0	7	561
1	"M"	"FR"	10	3	1	9	1	38	7	561
1	"M"	"FR"	11	3	0	6	1	38	7	561
1	"M"	"FR"	12	3	0	13	1	38	7	561
1	"M"	"FR"	13	3	0	13	1	38	7	561
1	"M"	"FR"	14	4	1	39	3	206	7	561
1	"M"	"FR"	1	1	0	41	0	63	7	561
1	"M"	"FR"	2	1	0	55	0	63	7	561
1	"M"	"FR"	3	1	0	13	0	63	7	561
1	"M"	"FR"	4	1	0	37	0	63	7	561
1	"M"	"FR"	5	1	0	82	0	63	7	561
1	"M"	"FR"	6	2	0	19	0	160	7	561
1	"M"	"FR"	7	2	0	16	0	160	7	561
1	"M"	"FR"	8	2	0	23	0	160	7	561
1	"M"	"FR"	9	2	0	41	0	160	7	561
2	"F"	"FR"	20	5	0	0	3	395	13	842
2	"F"	"FR"	21	5	0	0	3	395	13	842
2	"F"	"FR"	NA	6	NA	NA	0	0	13	842
2	"F"	"FR"	19	5	1	0	3	395	13	842
2	"F"	"FR"	1	1	1	214	2	77	13	842
2	"F"	"FR"	2	1	1	67	2	77	13	842
2	"F"	"FR"	3	1	0	38	2	77	13	842
2	"F"	"FR"	4	1	0	84	2	77	13	842
2	"F"	"FR"	5	1	0	60	2	77	13	842
2	"F"	"FR"	6	2	1	35	2	174	13	842
2	"F"	"FR"	7	2	1	97	2	174	13	842
2	"F"	"FR"	8	2	0	47	2	174	13	842
2	"F"	"FR"	9	2	1	42	2	174	13	842
2	"F"	"FR"	10	3	1	35	2	103	13	842
2	"F"	"FR"	11	3	0	30	2	103	13	842
2	"F"	"FR"	12	3	0	93	2	103	13	842
2	"F"	"FR"	13	3	1	0	2	103	13	842
2	"F"	"FR"	14	4	1	0	4	93	13	842
2	"F"	"FR"	15	4	1	0	4	93	13	842
2	"F"	"FR"	16	4	1	0	4	93	13	842
2	"F"	"FR"	17	4	1	0	4	93	13	842
2	"F"	"FR"	18	5	1	0	3	395	13	842
3	"F"	"FR"	7	2	0	70	0	229	5	706
3	"F"	"FR"	8	2	0	51	0	229	5	706
