"ID" "Group" "Item" "RT" "Problem"
500 "Gender_FemaleFR_BE" 1 81 1
499 "Gender_FemaleNL_BE" 1 118 1
498 "Gender_MaleFR_BE" 1 51 1
497 "Gender_UnknownNL_BE" 1 78 1
496 "Gender_MaleNL_BE" 1 138 1
495 "Gender_MaleFR_BE" 1 128 1
494 "Gender_MaleNL_BE" 1 58 1
493 "Gender_MaleFR_BE" 1 223 1
492 "Gender_MaleFR_BE" 1 118 1
491 "Gender_MaleFR_BE" 1 195 1
490 "Gender_UnknownNL_BE" 1 89 1
489 "Gender_MaleFR_BE" 1 52 1
488 "Gender_FemaleFR_BE" 1 74 1
487 "Gender_FemaleNL_BE" 1 58 1
486 "Gender_FemaleNL_BE" 1 68 1
485 "Gender_MaleNL_BE" 1 149 1
484 "Gender_MaleNL_BE" 1 52 1
483 "Gender_MaleNL_BE" 1 82 1
482 "Gender_MaleFR_BE" 1 177 1
481 "Gender_MaleFR_BE" 1 127 1
480 "Gender_MaleNL_BE" 1 89 1
479 "Gender_MaleNL_BE" 1 419 1
478 "Gender_MaleNL_BE" 1 143 1
477 "Gender_UnknownNL_BE" 1 201 1
476 "Gender_MaleFR_BE" 1 171 1
475 "Gender_MaleFR_BE" 1 72 1
474 "Gender_FemaleNL_BE" 1 54 1
473 "Gender_FemaleFR_BE" 1 21 1
472 "Gender_MaleNL_BE" 1 79 1
469 "Gender_MaleFR_BE" 1 62 1
468 "Gender_MaleFR_BE" 1 155 1
467 "Gender_MaleFR_BE" 1 124 1
466 "Gender_MaleFR_BE" 1 87 1
465 "Gender_MaleFR_BE" 1 61 1
464 "Gender_MaleFR_BE" 1 52 1
463 "Gender_FemaleFR_BE" 1 113 1
462 "Gender_FemaleNL_BE" 1 53 1
461 "Gender_MaleFR_BE" 1 133 1
460 "Gender_FemaleNL_BE" 1 91 1
459 "Gender_UnknownNL_BE" 1 45 1
458 "Gender_MaleNL_BE" 1 195 1
457 "Gender_MaleFR_BE" 1 83 1
456 "Gender_MaleNL_BE" 1 123 1
455 "Gender_FemaleFR_BE" 1 139 1
454 "Gender_MaleNL_BE" 1 93 1
453 "Gender_MaleFR_BE" 1 136 1
452 "Gender_MaleNL_BE" 1 65 1
451 "Gender_MaleNL_BE" 1 87 1
450 "Gender_FemaleFR_BE" 1 30 1
449 "Gender_FemaleFR_BE" 1 105 1
448 "Gender_MaleNL_BE" 1 87 1
447 "Gender_MaleFR_BE" 1 110 1
446 "Gender_FemaleNL_BE" 1 49 1
445 "Gender_MaleNL_BE" 1 125 1
444 "Gender_MaleFR_BE" 1 76 1
443 "Gender_FemaleNL_BE" 1 62 1
442 "Gender_MaleFR_BE" 1 56 1
441 "Gender_MaleFR_BE" 1 60 1
440 "Gender_MaleFR_BE" 1 88 1
439 "Gender_MaleFR_BE" 1 58 1
438 "Gender_MaleFR_BE" 1 113 1
437 "Gender_MaleFR_BE" 1 36 1
436 "Gender_FemaleFR_BE" 1 95 1
435 "Gender_UnknownNL_BE" 1 83 1
434 "Gender_MaleNL_BE" 1 119 1
433 "Gender_FemaleNL_BE" 1 93 1
432 "Gender_MaleFR_BE" 1 81 1
431 "Gender_MaleNL_BE" 1 94 1
430 "Gender_MaleNL_BE" 1 94 1
429 "Gender_MaleNL_BE" 1 48 1
428 "Gender_MaleNL_BE" 1 45 1
427 "Gender_MaleFR_BE" 1 43 1
426 "Gender_MaleNL_BE" 1 96 1
425 "Gender_MaleNL_BE" 1 44 1
424 "Gender_FemaleFR_BE" 1 81 1
423 "Gender_FemaleNL_BE" 1 38 1
422 "Gender_MaleFR_BE" 1 61 1
421 "Gender_MaleNL_BE" 1 94 1
420 "Gender_MaleFR_BE" 1 28 1
419 "Gender_MaleFR_BE" 1 47 1
418 "Gender_MaleFR_BE" 1 67 1
417 "Gender_MaleFR_BE" 1 57 1
416 "Gender_MaleFR_BE" 1 46 1
415 "Gender_MaleFR_BE" 1 83 1
414 "Gender_MaleFR_BE" 1 80 1
413 "Gender_FemaleFR_BE" 1 37 1
412 "Gender_FemaleFR_BE" 1 105 1
411 "Gender_FemaleFR_BE" 1 75 1
410 "Gender_MaleNL_BE" 1 89 1
409 "Gender_FemaleNL_BE" 1 67 1
408 "Gender_FemaleFR_BE" 1 78 1
407 "Gender_FemaleNL_BE" 1 81 1
406 "Gender_MaleNL_BE" 1 130 1
405 "Gender_MaleFR_BE" 1 127 1
404 "Gender_FemaleNL_BE" 1 147 1
403 "Gender_MaleFR_BE" 1 112 1
402 "Gender_MaleNL_BE" 1 127 1
501 "Gender_MaleNL_BE" 1 72 1
400 "Gender_FemaleFR_BE" 1 54 1
399 "Gender_MaleFR_BE" 1 71 1
398 "Gender_FemaleFR_BE" 1 59 1
397 "Gender_MaleNL_BE" 1 61 1
396 "Gender_FemaleFR_BE" 1 35 1
395 "Gender_MaleNL_BE" 1 52 1
394 "Gender_FemaleFR_BE" 1 22 1
393 "Gender_UnknownNL_BE" 1 113 1
392 "Gender_MaleNL_BE" 1 107 1
391 "Gender_MaleNL_BE" 1 50 1
