item1	item2	item3	Y
-0.91	1.78	0.71	1
-1.93	0.23	-0.25	-1
0.08	0.38	-0.57	1
-0.62	-0.83	0.71	-1
0.85	-0.71	-0.53	-1
1.79	-0.55	1.06	0
0.4	-1.15	-0.96	0
1.14	0.83	-0.09	3
0.01	0.14	2.23	2
1.26	-1.18	-0.68	0
0.52	1.35	2.67	0
0.53	0.13	-1.1	-1
0.8	-1.49	0.06	1
0.16	-0.52	-1.14	1
0.13	-0.91	0.26	-1
-0.84	1.86	-1.45	1
0.62	-1.53	-0.67	2
-1.15	-1.92	1.03	0
-1.37	1.08	1.15	0
-1.15	-1.92	1.03	2
-0.24	1.08	1.99	1
-1.21	-0.86	0.67	-1
-1.31	-0.94	0.06	-1
0.42	-0.03	0.47	0
-0.87	0.14	-0.54	0
-0.49	-1.29	-1.05	0
-0.6	-1.22	-1.04	-1
1.41	0.66	-0.71	2
0.37	-1.6	-0.53	1
-1.08	-0.71	2.55	1
0.52	0.35	-0.69	0
0.39	-0.58	-0.09	-2
-0.45	-0.12	0.47	0
-0.2	0.24	-1.22	1
-0.6	-1.22	-1.04	0
0.79	1.29	0.75	1
-0.26	-0.3	-0.18	-2
0.1	1.34	0.73	1
0.42	-0.03	0.47	-1
0.44	1.18	-0.2	0
1.41	0.66	-0.71	-1
-0.58	1.14	1.02	0
0.58	-0.8	1.03	1
-0.3	0.7	-1.27	0
-1.87	-1.2	-1.75	1
0.05	-0.63	-0.55	-1
1.4	0.37	1.49	0
-1.17	-0.89	1.54	1
-0.04	-0.66	0.87	0
0.64	-0.06	-1.25	1
-1.81	-1.14	0.05	0
1.29	-0.03	-0.24	0
0.27	1.29	-0.1	3
0.19	1.01	-1.49	-2
0.4	1.66	0.37	1
1.3	-0.23	-0.17	-1
-1.08	0.2	-0.28	0
-0.54	1.49	-2.59	0
-0.48	-0.73	0.37	1
0.59	0.03	-0.63	-1
-0.82	-0.64	-0.04	1
-0.06	0.68	-0.82	0
-0.6	0.24	0.82	-1
1.03	0.12	0.43	-1
0.85	-0.71	-0.53	2
-1.05	-1.53	-0.68	0
0.88	-0.71	1.25	1
0.27	-0.55	-0.14	1
-0.01	2.49	-1.04	-1
-0.17	-0.55	0.7	-1
0.52	1.35	2.67	-1
1.42	0.34	0.87	0
-0.78	-0.8	1.37	-1
-0.63	-0.14	1.39	1
-0.98	1.17	0.36	0
-1.81	-1.14	0.05	0
0.13	-0.42	-0.47	0
-0.61	-0.32	1	0
-0.55	-0.55	0.39	0
1.6	-0.6	-0.98	2
0.4	-1.15	-0.96	2
-0.24	1.08	1.99	-1
-0.42	0.06	-1.31	0
1.4	0.37	1.49	0
0.63	-1.48	-0.55	-1
-0.81	0.56	-0.84	0
-0.65	-1.39	-0.13	-1
-0.72	0.12	-1.08	2
0.82	0.64	-0.89	1
-1.63	0.35	-0.51	-1
0.91	0.09	1.03	-2
-0.76	0.07	0.37	0
0.28	-0.89	-1.08	-1
0.29	0.45	-0.73	-1
-0.53	0.62	-0.4	-2
0.53	0.1	-1.62	0
-1.63	0.35	-0.51	-1
-0.09	-0.74	-1.65	-1
-0.82	-0.64	-0.04	0
-0.26	-0.3	-0.18	1
-0.49	0.24	-1.07	-1
0.19	1.01	-1.49	-2
0.38	-0.68	0.81	-1
0.13	0.89	1.57	0
-1.45	0.82	-0.65	0
1.02	1.32	0.33	2
0.38	-0.39	0.16	0
0.34	0.27	0.5	-1
-0.36	0.63	1.1	1
-0.35	0.54	-0.25	0
-0.35	0.54	-0.25	1
1.44	0.13	-0.06	0
-1.2	-0.39	1.03	0
0.4	-1.35	-0.4	0
1.02	1.32	0.33	1
0.29	0.03	0.17	0
0.05	-1.89	-0.48	-1
-1.82	0.35	-0.65	1
-0.8	-0.31	-1.5	-1
0.38	-0.39	0.16	1
0.79	1.29	0.75	0
-1.93	0.23	-0.25	-2
-1.86	0.55	-0.29	-1
0.28	-0.89	-1.08	-2
-0.9	1.63	-0.54	-1
0.64	-0.49	0.39	0
2.49	0.07	-0.48	0
0.57	0.62	0.21	0
0.36	0.92	-0.44	-1
0.36	-0.36	-0.28	1
-0.64	0.26	2	-1
-0.73	-1.03	1.29	2
-1.2	-0.39	1.03	-1
0.51	-0.88	0.59	2
-2.61	0.92	-0.46	-1
1	0.68	0.56	0
1.28	-1.63	-0.04	-1
0.03	-0.45	0.62	-2
-0.75	1.87	-0.07	1
0.31	-0.4	0.71	0
-0.71	0.36	-0.49	0
1	0.68	0.56	1
-0.9	-0.03	-0.11	2
0.32	2.05	-0.81	0
0.89	2.14	0.46	0
1.44	-1.04	-1.14	1
-0.73	-1.03	1.29	0
-0.8	-0.85	0.98	0
-1.37	1.08	1.15	0
-0.2	-2.27	0.08	1
