row school normexam schavg standLRT sex student id
1 1 1 0.2613242 0.1661752 0.6190592 F 143 1.143
2 2 1 0.1340672 0.1661752 0.2058022 F 145 1.145
3 3 1 -1.723882 0.1661752 -1.364576 M 142 1.142
4 4 1 0.9675862 0.1661752 0.2058022 F 141 1.141
5 5 1 0.5443412 0.1661752 0.3711052 F 138 1.138
6 6 1 1.7348992 0.1661752 2.1894372 M 155 1.155
7 7 1 1.0396082 0.1661752 -1.116621 M 158 1.158
8 8 1 -0.129085 0.1661752 -1.03397 M 115 1.115
9 9 1 -0.939378 0.1661752 -0.538061 F 117 1.117
10 10 1 -1.219486 0.1661752 -1.447227 M 113 1.113
11 11 1 2.4086922 0.1661752 2.4373912 M 112 1.112
12 12 1 0.6107292 0.1661752 2.1067862 M 137 1.137
13 13 1 -1.836687 0.1661752 0.0404992 M 134 1.134
14 14 1 -0.129085 0.1661752 1.1976192 M 124 1.124
15 15 1 2.2031212 0.1661752 2.5200432 M 121 1.121
16 16 1 1.2405332 0.1661752 1.1149682 F 205 1.205
17 17 1 1.7348992 0.1661752 1.0323172 F 208 1.208
18 18 1 1.3101422 0.1661752 0.7843622 M 211 1.211
19 19 1 -0.623051 0.1661752 -1.116621 M 202 1.202
20 20 1 1.0396082 0.1661752 -1.199273 F 199 1.199
21 21 1 -1.029067 0.1661752 -0.372758 F 198 1.198
22 22 1 -1.219486 0.1661752 -1.364576 M 220 1.220
23 23 1 0.3280722 0.1661752 -0.951318 F 221 1.221
24 24 1 -0.492781 0.1661752 -2.356393 M 212 1.212
25 25 1 1.9003352 0.1661752 -0.042152 F 219 1.219
26 26 1 0.8965662 0.1661752 0.3711052 M 215 1.215
27 27 1 0.0735362 0.1661752 1.1149682 M 172 1.172
28 28 1 0.1941492 0.1661752 0.0404992 M 177 1.177
29 29 1 1.5061852 0.1661752 0.6190592 F 183 1.183
30 30 1 1.9003352 0.1661752 2.0241342 M 175 1.175
31 31 1 0.3280722 0.1661752 -0.620713 M 173 1.173
32 32 1 0.8965662 0.1661752 -1.116621 M 197 1.197
33 33 1 1.6618062 0.1661752 0.2884532 M 192 1.192
34 34 1 -0.776109 0.1661752 -0.124804 M 193 1.193
35 35 1 0.4026692 0.1661752 0.3711052 M 191 1.191
36 36 1 0.9675862 0.1661752 1.0323172 M 188 1.188
37 37 1 0.4781942 0.1661752 -0.124804 M 223 1.223
38 38 1 0.1340672 0.1661752 0.1231502 M 27 1.27
39 39 1 2.3136012 0.1661752 0.6190592 M 28 1.28
40 40 1 -0.197611 0.1661752 0.2884532 M 31 1.31
41 41 1 0.4781942 0.1661752 -0.290107 M 22 1.22
42 42 1 0.8219882 0.1661752 0.7843622 M 43 1.43
43 43 1 1.0396082 0.1661752 -0.290107 F 36 1.36
44 44 1 -0.555112 0.1661752 -1.03397 F 4 1.4
45 45 1 -1.335315 0.1661752 -0.951318 M 6 1.6
46 46 1 -0.555112 0.1661752 -2.356393 M 7 1.7
47 47 1 1.5061852 0.1661752 0.7843622 F 1 1.1
48 48 1 -0.939378 0.1661752 -0.372758 M 19 1.19
49 49 1 2.3136012 0.1661752 0.7843622 F 16 1.16
50 50 1 -0.062088 0.1661752 -0.703364 F 17 1.17
51 51 1 -0.197611 0.1661752 0.0404992 M 14 1.14
52 52 1 -0.197611 0.1661752 -0.290107 M 13 1.13
53 53 1 2.0397092 0.1661752 1.6108772 F 109 1.109
54 54 1 1.6618062 0.1661752 0.3711052 F 84 1.84
55 55 1 1.4395322 0.1661752 1.6108772 F 86 1.86
56 56 1 0.3280722 0.1661752 0.3711052 F 88 1.88
57 57 1 0.0735362 0.1661752 -0.042152 F 82 1.82
58 58 1 0.9675862 0.1661752 -0.290107 F 80 1.80
59 59 1 -1.029067 0.1661752 -0.620713 F 105 1.105
60 60 1 1.7348992 0.1661752 1.6108772 M 108 1.108
61 61 1 2.4086922 0.1661752 1.1976192 F 95 1.95
62 62 1 -1.526653 0.1661752 -0.620713 M 90 1.90
63 63 1 1.4395322 0.1661752 0.8670142 M 56 1.56
64 64 1 1.5061852 0.1661752 0.5364082 F 61 1.61
65 65 1 1.8138272 0.1661752 0.4537562 M 62 1.62
66 66 1 0.7472282 0.1661752 1.2802712 F 63 1.63
67 67 1 -1.029067 0.1661752 -1.281924 M 59 1.59
68 68 1 -0.129085 0.1661752 -0.124804 M 57 1.57
69 69 1 1.5792202 0.1661752 0.2058022 M 73 1.73
70 70 1 1.3101422 0.1661752 1.6935282 M 68 1.68
71 71 1 -1.118624 0.1661752 -0.868667 F 64 1.64
72 72 1 0.8965662 0.1661752 0.8670142 M 65 1.65
73 73 1 0.2613242 0.1661752 0.3711052 M 66 1.66
74 129 3 -0.197611 0.5141552 -0.042152 F 136 3.136
75 130 3 2.9246672 0.5141552 1.3629222 F 169 3.169
76 131 3 -0.699505 0.5141552 1.3629222 F 171 3.171
77 132 3 2.4086922 0.5141552 1.4455742 M 121 3.121
78 133 3 0.8965662 0.5141552 -0.124804 M 122 3.122
79 134 3 0.1340672 0.5141552 -0.538061 M 120 3.120
80 135 3 -0.699505 0.5141552 0.7017112 M 119 3.119
81 136 3 0.0043222 0.5141552 -0.042152 M 134 3.134
82 137 3 -0.062088 0.5141552 -1.860484 M 123 3.123
83 138 3 1.1758492 0.5141552 0.1231502 F 125 3.125
84 139 3 1.9771072 0.5141552 2.4373912 M 204 3.204
85 140 3 -0.265159 0.5141552 1.2802712 F 206 3.206
86 141 3 0.6787592 0.5141552 -0.620713 F 197 3.197
87 142 3 0.2613242 0.5141552 1.1976192 F 195 3.195
88 143 3 0.9675862 0.5141552 0.2058022 F 212 3.212
89 144 3 1.5061852 0.5141552 -0.207455 F 207 3.207
90 145 3 1.3747412 0.5141552 0.3711052 M 211 3.211
91 146 3 0.2613242 0.5141552 -0.207455 M 208 3.208
92 147 3 1.8138272 0.5141552 1.1976192 M 172 3.172
93 148 3 0.1340672 0.5141552 0.3711052 F 181 3.181
94 149 3 -1.118624 0.5141552 -1.116621 M 180 3.180
95 150 3 0.4026692 0.5141552 0.2884532 F 173 3.173
96 151 3 1.5792202 0.5141552 0.7017112 F 194 3.194
97 152 3 0.7472282 0.5141552 0.6190592 M 188 3.188
98 153 3 0.4026692 0.5141552 0.2884532 F 219 3.219
99 154 3 1.8138272 0.5141552 1.2802712 F 41 3.41
100 155 3 2.0397092 0.5141552 2.4373912 M 36 3.36
101 156 3 2.2031212 0.5141552 1.8588312 M 42 3.42
102 157 3 0.8219882 0.5141552 1.0323172 F 46 3.46
103 158 3 2.0397092 0.5141552 0.9496652 F 50 3.50
104 159 3 1.9771072 0.5141552 2.4373912 M 12 3.12
105 160 3 1.4395322 0.5141552 0.7017112 M 9 3.9
106 161 3 1.5792202 0.5141552 0.9496652 F 22 3.22
107 162 3 1.2405332 0.5141552 1.0323172 M 18 3.18
108 163 3 1.3747412 0.5141552 0.3711052 F 20 3.20
109 164 3 0.8965662 0.5141552 1.1976192 F 104 3.104
110 165 3 0.8219882 0.5141552 -0.620713 M 90 3.90
111 166 3 2.1029752 0.5141552 0.9496652 F 94 3.94
112 167 3 -0.338842 0.5141552 -0.951318 M 88 3.88
113 168 3 1.0396082 0.5141552 0.0404992 M 87 3.87
114 169 3 1.4395322 0.5141552 0.0404992 M 86 3.86
115 170 3 0.1340672 0.5141552 0.6190592 M 103 3.103
116 171 3 1.1094382 0.5141552 0.2058022 M 102 3.102
117 172 3 1.5061852 0.5141552 0.9496652 F 98 3.98
118 173 3 -0.939378 0.5141552 -0.290107 M 51 3.51
119 174 3 -0.265159 0.5141552 -0.868667 M 64 3.64
120 175 3 0.6107292 0.5141552 1.2802712 F 67 3.67
121 176 3 0.7472282 0.5141552 0.5364082 M 60 3.60
122 177 3 -0.492781 0.5141552 0.2884532 F 54 3.54
123 178 3 -0.197611 0.5141552 0.6190592 M 83 3.83
124 179 3 0.9675862 0.5141552 0.5364082 M 71 3.71
125 180 3 2.2031212 0.5141552 -0.042152 M 73 3.73
126 181 4 0.6787592 0.0917642 0.3711052 F 133 4.133
127 182 4 0.4781942 0.0917642 -0.207455 M 121 4.121
128 183 4 0.2613242 0.0917642 1.8588312 M 116 4.116
129 184 4 0.1941492 0.0917642 0.1231502 F 143 4.143
130 185 4 -1.723882 0.0917642 -1.281924 M 138 4.138
131 186 4 -0.419801 0.0917642 -0.538061 M 145 4.145
132 187 4 0.4026692 0.0917642 -0.372758 F 92 4.92
133 188 4 -0.197611 0.0917642 -0.45541 M 93 4.93
134 189 4 0.0735362 0.0917642 0.8670142 F 98 4.98
135 190 4 -1.526653 0.0917642 -0.868667 M 91 4.91
136 191 4 -0.265159 0.0917642 -0.290107 F 90 4.90
137 192 4 -0.85267 0.0917642 -1.03397 M 113 4.113
138 193 4 0.3280722 0.0917642 1.9414832 M 108 4.108
139 194 4 -0.85267 0.0917642 -0.703364 M 110 4.110
140 195 4 0.4026692 0.0917642 -0.042152 M 102 4.102
141 196 4 -0.699505 0.0917642 -0.207455 M 104 4.104
142 197 4 0.6787592 0.0917642 -0.45541 F 107 4.107
143 198 4 2.5323522 0.0917642 0.8670142 F 105 4.105
144 199 4 1.5792202 0.0917642 0.3711052 M 87 4.87
145 200 4 -1.62373 0.0917642 -2.356393 M 182 4.182
146 201 4 -0.338842 0.0917642 0.2884532 M 185 4.185
147 202 4 -0.419801 0.0917642 -0.124804 F 178 4.178
148 203 4 -0.623051 0.0917642 0.2058022 M 169 4.169
149 204 4 1.3101422 0.0917642 0.6190592 F 190 4.190
150 205 4 0.6787592 0.0917642 0.9496652 F 187 4.187
151 206 4 -0.265159 0.0917642 -0.868667 M 154 4.154
152 207 4 -2.291731 0.0917642 -0.868667 F 155 4.155
153 208 4 -0.699505 0.0917642 -1.199273 M 156 4.156
154 209 4 -1.438662 0.0917642 -1.777833 F 153 4.153
155 210 4 -0.129085 0.0917642 0.6190592 M 150 4.150
