year;month;day;dep_time;sched_dep_time;dep_delay;arr_time;sched_arr_time;arr_delay;carrier;flight;tailnum;origin;dest;air_time;distance;hour;minute;time_hour
2013;5;31;1642;1451;111;1750;1605;105;EV;3822;N12540;EWR;IAD;40;212;14;51;2013-05-31 14:00:00
2013;6;26;2242;1930;192;141;2244;177;DL;1854;N309US;LGA;FLL;154;1076;19;30;2013-06-26 19:00:00
2013;12;20;1150;1155;-5;1403;1417;-14;EV;4495;N13964;EWR;SAV;107;708;11;55;2013-12-20 11:00:00
2013;12;8;1434;1430;4;1809;1757;12;UA;1296;N14118;EWR;SFO;368;2565;14;30;2013-12-08 14:00:00
2013;6;19;1812;1818;-6;2107;2120;-13;B6;35;N652JB;JFK;PBI;142;1028;18;18;2013-06-19 18:00:00
2013;7;13;1939;1940;-1;2110;2144;-34;EV;4543;N33182;EWR;DSM;124;1017;19;40;2013-07-13 19:00:00
2013;7;30;922;930;-8;1056;1051;5;EV;4240;N14923;EWR;BUF;55;282;9;30;2013-07-30 09:00:00
2013;2;15;1939;1925;14;2055;2105;-10;WN;2714;N239WN;LGA;MKE;109;738;19;25;2013-02-15 19:00:00
2013;9;10;1535;1540;-5;1825;1901;-36;DL;2280;N909DE;JFK;FLL;144;1069;15;40;2013-09-10 15:00:00
2013;9;29;606;615;-9;736;813;-37;US;1989;N103US;EWR;CLT;75;529;6;15;2013-09-29 06:00:00
2013;8;28;722;705;17;947;955;-8;AA;707;N3GEAA;LGA;DFW;180;1389;7;5;2013-08-28 07:00:00
2013;12;17;2113;2030;43;2247;2150;57;MQ;3604;N505MQ;EWR;ORD;107;719;20;30;2013-12-17 20:00:00
2013;10;19;1452;1456;-4;1716;1652;24;9E;4120;N824AY;JFK;CLE;88;425;14;56;2013-10-19 14:00:00
2013;6;14;802;805;-3;1031;1055;-24;DL;1109;N348NW;LGA;TPA;128;1010;8;5;2013-06-14 08:00:00
2013;2;21;630;635;-5;848;852;-4;EV;4423;N14173;EWR;IND;117;645;6;35;2013-02-21 06:00:00
2013;7;26;646;650;-4;802;812;-10;UA;1106;N33264;EWR;BOS;54;200;6;50;2013-07-26 06:00:00
2013;5;19;1302;1300;2;1552;1615;-23;VX;411;N847VA;JFK;LAX;321;2475;13;0;2013-05-19 13:00:00
2013;12;9;1759;1700;59;2050;2020;30;AA;172;N5DNAA;EWR;MIA;147;1085;17;0;2013-12-09 17:00:00
2013;8;1;1453;1445;8;1736;1720;16;B6;477;N304JB;JFK;JAX;127;828;14;45;2013-08-01 14:00:00
2013;8;13;641;640;1;942;924;18;UA;1115;N77510;EWR;TPA;143;997;6;40;2013-08-13 06:00:00
2013;1;12;1309;1310;-1;1420;1424;-4;EV;4241;N15980;EWR;BUF;55;282;13;10;2013-01-12 13:00:00
2013;2;12;1705;1710;-5;1856;1912;-16;US;894;N188US;LGA;CLT;95;544;17;10;2013-02-12 17:00:00
2013;1;25;746;745;1;1221;1234;-13;UA;1481;N75858;EWR;SJU;197;1608;7;45;2013-01-25 07:00:00
2013;6;29;636;641;-5;834;845;-11;UA;311;N584UA;EWR;DEN;205;1605;6;41;2013-06-29 06:00:00
2013;7;13;628;630;-2;855;920;-25;UA;797;N505UA;JFK;LAX;297;2475;6;30;2013-07-13 06:00:00
2013;5;13;1611;1455;76;1728;1638;50;9E;3318;N932XJ;JFK;BUF;57;301;14;55;2013-05-13 14:00:00
2013;8;27;803;809;-6;1002;1018;-16;EV;4407;N14125;EWR;OMA;147;1134;8;9;2013-08-27 08:00:00
2013;7;22;2225;1840;225;121;2109;252;9E;4245;N8928A;JFK;CHS;86;636;18;40;2013-07-22 18:00:00
2013;8;31;834;840;-6;924;938;-14;EV;5811;N13956;EWR;PVD;34;160;8;40;2013-08-31 08:00:00
2013;5;20;1030;1030;0;1329;1350;-21;UA;1120;N37413;EWR;SFO;323;2565;10;30;2013-05-20 10:00:00
2013;10;14;1558;1559;-1;1825;1858;-33;UA;1593;N39415;EWR;MCO;122;937;15;59;2013-10-14 15:00:00
2013;6;18;1707;1659;8;2006;2000;6;UA;334;N441UA;EWR;SAT;220;1569;16;59;2013-06-18 16:00:00
2013;1;7;1153;1200;-7;1303;1315;-12;MQ;4425;N856MQ;JFK;DCA;46;213;12;0;2013-01-07 12:00:00
2013;5;4;922;925;-3;1209;1235;-26;AA;1097;N538AA;LGA;DFW;185;1389;9;25;2013-05-04 09:00:00
2013;10;16;1553;1555;-2;1801;1804;-3;EV;3825;N13997;EWR;IND;108;645;15;55;2013-10-16 15:00:00
2013;8;7;1513;1430;43;1845;1754;51;UA;1146;N14250;EWR;SFO;355;2565;14;30;2013-08-07 14:00:00
2013;8;2;818;830;-12;958;1015;-17;MQ;3272;N723MQ;LGA;CLE;66;419;8;30;2013-08-02 08:00:00
2013;7;16;1925;1905;20;2125;2103;22;9E;3433;N909XJ;JFK;PIT;58;340;19;5;2013-07-16 19:00:00
2013;3;23;940;835;65;1402;1150;132;AA;717;N3BCAA;LGA;DFW;237;1389;8;35;2013-03-23 08:00:00
2013;3;30;1739;1650;49;1838;1820;18;AA;1790;N3HBAA;JFK;BOS;35;187;16;50;2013-03-30 16:00:00
2013;9;22;1641;1645;-4;2106;2015;51;B6;415;N768JB;JFK;SFO;359;2586;16;45;2013-09-22 16:00:00
2013;8;20;2015;2010;5;2153;2220;-27;EV;4543;N12163;EWR;DSM;131;1017;20;10;2013-08-20 20:00:00
2013;4;18;835;840;-5;1300;1150;70;UA;443;N505UA;JFK;LAX;362;2475;8;40;2013-04-18 08:00:00
2013;8;3;2242;2245;-3;12;3;9;B6;486;N179JB;JFK;ROC;52;264;22;45;2013-08-03 22:00:00
2013;9;15;1756;1800;-4;2103;2103;0;B6;263;N523JB;JFK;SEA;335;2422;18;0;2013-09-15 18:00:00
2013;1;8;1700;1700;0;2038;2036;2;DL;127;N704X;JFK;LAX;338;2475;17;0;2013-01-08 17:00:00
2013;9;15;856;900;-4;1155;1204;-9;DL;120;N707TW;JFK;LAX;325;2475;9;0;2013-09-15 09:00:00
2013;1;25;1112;1105;7;1231;1245;-14;WN;542;N451WN;LGA;MDW;121;725;11;5;2013-01-25 11:00:00
2013;10;19;728;729;-1;1016;1021;-5;B6;461;N559JB;LGA;PBI;149;1035;7;29;2013-10-19 07:00:00
2013;7;6;1902;1900;2;2133;2131;2;DL;947;N908DE;LGA;ATL;117;762;19;0;2013-07-06 19:00:00
2013;6;20;1816;1819;-3;2106;2118;-12;B6;153;N504JB;JFK;PBI;141;1028;18;19;2013-06-20 18:00:00
2013;3;7;1525;1530;-5;1758;1805;-7;MQ;4525;N736MQ;LGA;XNA;167;1147;15;30;2013-03-07 15:00:00
2013;2;11;NA;1135;NA;NA;1330;NA;MQ;4553;N723MQ;LGA;CLE;NA;419;11;35;2013-02-11 11:00:00
2013;11;5;638;645;-7;834;840;-6;EV;4099;N12900;EWR;STL;151;872;6;45;2013-11-05 06:00:00
2013;3;19;2224;2100;84;2355;2235;80;MQ;4507;N713MQ;LGA;RDU;75;431;21;0;2013-03-19 21:00:00
2013;7;4;1343;1340;3;1535;1555;-20;WN;2261;N736SA;EWR;PHX;269;2133;13;40;2013-07-04 13:00:00
2013;10;3;1353;1400;-7;1447;1506;-19;B6;2480;N284JB;EWR;BOS;35;200;14;0;2013-10-03 14:00:00
2013;9;4;817;820;-3;1051;1110;-19;B6;281;N231JB;JFK;HOU;182;1428;8;20;2013-09-04 08:00:00
