Area	Station	Autumn	Spring	Summer 	Winter
NC	R70	 33.970 	 33.669 	 33.523 	
NC	T100	 34.638 	 34.566 	 34.480 	 34.689 
NC	T135	 34.759 	 34.668 	 34.627 	 34.712 
NC	T175	 34.809 	 34.739 	 34.742 	 34.728 
NC	T235	 34.819 	 34.919 	 34.885 	 34.849 
KZ	N02	 29.209 	 28.382 	 29.209 	 28.504 
KZ	N10	 30.969 	 30.176 	 30.661 	 29.931 
KZ	N20	 32.380 	 31.711 	 31.890 	 31.926 
KZ	R03	 30.755 	 30.126 	 31.219 	 29.658 
KZ	T004	 32.354 	 31.919 	 32.378 	 31.719 
KZ	T010	 33.064 	 32.527 	 32.804 	 32.483 

