"id" "grump1" "grump2" "grump3" "confid1" "confid2" "confid3" "foop1" "foop2" "foop3"
"1" 1 23 30 40 28 25 43 32 20 44
"2" 3 41 20 43 42 16 43 47 11 43
"3" 5 32 26 42 37 20 47 44 17 46
"4" 7 30 32 35 32 28 35 36 24 38
"5" 9 36 19 38 39 18 40 44 12 40
"6" 11 39 22 38 40 20 42 39 13 43
"7" 13 46 27 46 45 25 48 47 20 50
"8" 15 35 30 47 35 26 47 39 21 47
"9" 17 40 27 40 40 22 40 41 29 39
"10" 19 40 20 44 41 13 49 42 15 49
"11" 21 38 23 44 40 19 44 39 21 44
"12" 23 32 22 36 31 18 38 32 22 39
"13" 25 35 19 39 37 14 40 38 14 42
"14" 27 38 18 40 40 14 44 41 16 45
"15" 29 36 26 32 38 22 33 37 28 33
