ID,ClassID,Age,Male,SES,Y01,Y02,Y11,Y12,Y21,Y22,Y23,Y24,Y25
1,1,14.25,0,1,2,1,5,1,119,473,962,3060,4980
2,1,14.45,0,3,1,6,5,6,95,512,1002,3031,4953
3,1,14.07,1,1,3,1,3,4,101,488,1053,2990,4956
4,1,13.61,1,1,6,1,2,3,96,493,1042,2979,4858
5,1,14.34,1,2,2,6,5,2,81,469,965,2949,5015
6,1,14.12,1,3,1,5,2,1,112,505,996,2998,5047
7,1,13.89,1,3,1,5,4,5,82,526,966,2974,5103
8,1,13.88,0,2,5,5,4,4,118,471,958,3012,5095
9,1,14.12,1,3,6,4,6,4,110,487,990,3022,5053
10,1,13.95,0,3,1,2,4,6,106,492,996,3050,5016
11,1,13.82,1,3,1,1,6,2,93,494,1035,2977,5010
12,1,13.64,0,1,4,3,6,4,112,523,986,3087,4965
13,1,13.99,1,1,1,4,5,4,108,488,978,3049,5017
14,1,13.87,0,3,2,5,6,3,108,437,1000,3066,5140
15,1,14.17,1,1,4,3,4,1,101,509,980,3029,5016
16,2,14.3,1,3,3,5,4,1,110,474,958,2956,5069
17,2,13.64,1,3,3,5,1,1,99,473,975,3000,5075
18,2,14.36,0,2,5,5,6,4,95,498,1001,3096,4982
19,2,14.04,1,3,6,5,6,4,89,482,1032,2914,4984
20,2,14.42,1,3,4,1,1,3,96,498,1047,2960,5074
21,2,13.47,1,2,5,5,6,3,92,476,990,2988,5154
22,2,14.44,0,2,6,2,1,1,87,541,1005,2990,4906
23,2,14.07,0,3,4,1,4,1,91,476,1015,2992,4926
24,2,13.48,1,1,1,3,3,3,112,487,1000,2991,4934
25,2,13.9,1,1,1,2,5,2,114,475,986,2953,4894
26,2,14.01,1,3,5,5,5,3,93,504,1018,2981,5078
27,2,13.83,1,1,3,4,6,4,117,479,981,2983,5047
28,2,13.87,1,2,4,3,6,2,102,506,905,2934,4974
29,2,14.28,0,3,1,2,3,6,95,533,890,3083,4979
30,2,14.19,1,1,6,1,2,6,105,505,1043,3046,4950
