"Family";"ID";"Gender";"O";"C";"E";"A";"N"
1;1;"M";30;37;20;35;14
3;3;"M";25;34;23;36;19
4;4;"M";27;15;27;32;12
5;5;"M";27;20;16;35;13
6;6;"M";28;26;20;35;16
7;7;"M";35;28;30;35;32
9;9;"M";36;27;24;32;19
10;10;"M";32;22;25;31;24
12;12;"M";33;30;18;36;16
13;13;"M";24;30;13;31;13
14;14;"M";35;41;31;34;23
15;15;"M";25;22;20;37;13
18;18;"M";33;33;24;40;14
20;20;"M";35;30;27;31;29
21;21;"M";23;28;26;33;24
22;22;"M";30;17;24;NA;11
23;23;"M";34;40;17;33;12
25;25;"M";32;35;16;36;14
28;28;"M";31;37;11;36;15
29;29;"M";20;42;NA;33;14
31;31;"M";36;37;14;42;10
32;32;"M";41;40;NA;38;38
33;33;"M";32;37;30;36;11
34;34;"M";34;18;17;33;6
35;35;"M";35;35;16;36;13
36;36;"M";25;37;18;37;13
38;38;"M";21;33;26;31;29
39;39;"M";17;31;25;35;18
40;40;"M";26;29;22;36;20
46;46;"M";42;20;14;42;17
50;50;"M";27;NA;28;35;22
51;51;"M";28;30;23;35;17
55;55;"M";26;NA;23;33;20
57;57;"M";22;28;27;33;19
58;58;"M";28;18;29;28;33
59;59;"M";21;15;25;35;13
60;60;"M";26;17;18;37;14
63;63;"M";31;25;32;36;15
66;66;"M";24;18;26;34;18
67;67;"M";27;29;24;28;27
68;68;"M";35;NA;16;37;10
69;69;"M";34;39;30;32;24
70;70;"M";28;22;19;32;19
71;71;"M";23;26;16;39;11
72;72;"M";33;28;20;39;18
73;73;"M";23;30;22;34;19
74;74;"M";34;30;19;39;12
75;75;"M";31;36;22;34;21
77;77;"M";26;NA;27;32;23
78;78;"M";36;38;25;33;19
79;79;"M";27;14;28;36;18
80;80;"M";34;36;22;36;12
82;82;"M";30;19;12;41;9
86;86;"M";29;36;22;36;15
87;87;"M";37;22;20;32;25
91;91;"M";33;31;NA;37;23
92;92;"M";23;22;15;35;23
93;93;"M";21;16;28;33;31
95;95;"M";27;33;20;38;26
97;97;"M";30;11;15;40;25
99;99;"M";25;22;22;32;26
101;101;"M";27;23;30;35;26
102;102;"M";27;36;19;33;17
103;103;"M";34;32;23;37;17
106;106;"M";25;33;14;36;11
107;107;"M";31;34;NA;35;13
108;108;"M";32;27;24;30;23
109;109;"M";39;33;15;42;6
110;110;"M";34;35;26;33;25
111;111;"M";22;17;18;33;22
113;113;"M";29;18;19;33;18
114;114;"M";25;35;25;35;23
115;115;"M";30;32;31;33;26
116;116;"M";21;16;24;30;12
117;117;"M";33;33;17;37;13
118;118;"M";27;36;13;36;15
120;120;"M";35;29;NA;NA;13
121;121;"M";39;39;20;36;17
122;122;"M";31;34;20;34;15
124;124;"M";38;37;21;38;31
127;127;"M";33;33;24;30;24
128;128;"M";34;31;16;33;19
129;129;"M";26;14;24;33;21
130;130;"M";22;36;22;38;20
131;131;"M";26;27;15;NA;14
132;132;"M";32;21;22;35;28
133;133;"M";28;25;24;31;26
134;134;"M";31;31;18;36;19
135;135;"M";35;33;17;39;13
137;137;"M";40;42;23;42;13
139;139;"M";31;36;20;36;12
140;140;"M";33;28;24;34;25
141;141;"M";32;42;12;30;7
142;142;"M";32;23;18;36;21
143;143;"M";26;21;14;35;14
144;144;"M";31;37;13;40;NA
145;145;"M";26;25;21;37;12
146;146;"M";35;31;23;33;18
147;147;"M";21;32;17;30;13
148;148;"M";28;35;17;36;13
1;149;"F";38;23;15;36;15
3;151;"F";28;37;16;36;21
4;152;"F";30;35;17;37;NA
5;153;"F";33;37;20;37;12
6;154;"F";33;40;18;38;21
7;155;"F";35;28;24;30;34
9;157;"F";29;33;13;36;14
10;158;"F";21;41;24;37;27
12;160;"F";28;26;17;31;22
13;161;"F";NA;37;11;36;20
14;162;"F";33;39;27;34;27
15;163;"F";19;33;20;33;12
18;166;"F";37;31;34;36;33
20;168;"F";29;28;22;36;20
21;169;"F";31;42;16;35;21
22;170;"F";22;40;13;NA;17
23;171;"F";29;36;16;36;19
25;173;"F";24;33;21;33;26
28;176;"F";28;28;24;32;24
29;177;"F";32;39;13;38;23
31;179;"F";38;21;27;39;23
32;180;"F";22;25;21;29;15
33;181;"F";33;24;16;38;18
34;182;"F";27;27;13;36;17
35;183;"F";20;30;12;36;11
36;184;"F";37;33;18;36;19
38;186;"F";31;37;19;36;17
39;187;"F";40;26;15;33;22
40;188;"F";22;18;28;NA;27
46;194;"F";33;27;12;36;13
50;198;"F";19;42;28;40;35
51;199;"F";31;26;20;31;17
55;203;"F";31;34;21;36;15
57;205;"F";20;36;27;33;18
58;206;"F";36;41;16;33;20
59;207;"F";32;33;17;36;26
60;208;"F";37;29;16;41;NA
63;211;"F";29;27;27;36;17
66;214;"F";33;38;11;39;9
67;215;"F";34;38;26;28;19
68;216;"F";30;34;15;35;21
69;217;"F";31;39;32;40;25
70;218;"F";30;31;18;35;18
71;219;"F";21;29;29;39;29
72;220;"F";26;31;20;38;21
73;221;"F";28;28;28;35;26
74;222;"F";30;35;15;36;11
75;223;"F";24;36;22;29;26
77;225;"F";29;36;19;36;14
78;226;"F";27;25;12;32;11
79;227;"F";33;30;23;28;18
80;228;"F";36;37;19;36;22
82;230;"F";20;22;20;39;NA
86;234;"F";34;30;15;37;27
87;235;"F";25;39;29;38;23
91;239;"F";21;41;27;41;23
92;240;"F";32;31;25;36;18
93;241;"F";39;26;16;38;17
95;243;"F";28;33;17;38;16
97;245;"F";19;35;26;36;23
99;247;"F";32;41;13;38;22
101;249;"F";25;39;35;38;40
102;250;"F";23;31;19;36;18
103;251;"F";30;26;22;32;25
106;254;"F";NA;32;20;NA;16
107;255;"F";35;24;26;37;10
108;256;"F";18;26;16;36;23
109;257;"F";37;23;16;36;14
110;258;"F";24;36;22;NA;18
111;259;"F";20;35;15;36;13
113;261;"F";28;37;30;25;26
114;262;"F";28;42;12;34;15
115;263;"F";32;31;16;36;16
116;264;"F";28;12;19;40;16
117;265;"F";24;35;17;35;23
118;266;"F";23;34;24;36;NA
120;268;"F";38;NA;13;40;19
121;269;"F";39;38;19;36;17
122;270;"F";35;37;18;36;14
124;272;"F";42;29;17;30;11
127;275;"F";33;36;NA;36;27
128;276;"F";23;34;16;36;20
129;277;"F";23;25;23;26;21
130;278;"F";30;34;25;33;18
131;279;"F";13;32;16;36;10
132;280;"F";19;30;19;31;20
133;281;"F";28;33;19;36;16
134;282;"F";30;27;19;35;15
135;283;"F";37;39;27;38;19
137;285;"F";34;40;28;41;23
139;287;"F";32;32;22;32;22
140;288;"F";18;42;22;40;15
141;289;"F";30;30;18;35;18
142;290;"F";35;28;18;37;10
143;291;"F";20;21;24;36;27
144;292;"F";31;38;17;33;15
145;293;"F";25;37;17;36;17
146;294;"F";26;39;23;34;23
147;295;"F";32;41;15;42;10
148;296;"F";24;36;22;33;18
